negatives
"('Q99459', 'Q99460')"
"('Q92851', 'Q9UNN5')"
"('Q99856', 'P63279')"
"('P51116', 'P38159')"
"('Q92905', 'P22087')"
"('Q9Y5W5', 'O96014')"
"('Q8NGZ4', 'P38405')"
"('Q96BK5', 'P37802')"
"('Q05519', 'Q00839')"
"('Q96AG4', 'Q9UL18')"
"('Q12996', 'Q92797')"
"('Q16659', 'Q71U36')"
"('Q12986', 'Q13151')"
"('P34932', 'O95831')"
"('P05783', 'P53680')"
"('O14933', 'Q86Y13')"
"('P62701', 'Q9H1D9')"
"('P01903', 'P28068')"
"('P05129', 'P14598')"
"('P12931', 'Q8IZP0')"
"('O60664', 'Q15796')"
"('P20936', 'O14807')"
"('P41227', 'O95197')"
"('Q969G3', 'Q99459')"
"('Q16663', 'P08311')"
"('P05412', 'Q8NHY2')"
"('Q9UQF2', 'O94762')"
"('Q12778', 'Q13541')"
"('Q15388', 'Q7Z419')"
"('P0CG48', 'Q8TF42')"
"('P51668', 'O00762')"
"('P51817', 'O14610')"
"('P06213', 'Q05209')"
"('P14923', 'P15924')"
"('P32121', 'O76001')"
"('Q9UK08', 'P43657')"
"('P30419', 'P04637')"
"('Q9BRQ0', 'Q12962')"
"('Q8N257', 'P16401')"
"('Q9Y2K7', 'P01100')"
"('Q12933', 'Q03135')"
"('Q8NEV4', 'P0CAP2')"
"('Q2QGD7', 'P04183')"
"('O14832', 'P07498')"
"('Q92905', 'Q16531')"
"('Q9NRG1', 'P51692')"
"('Q86WV1', 'O15117')"
"('Q9NYK6', 'Q15834')"
"('Q9UM73', 'Q7RTS7')"
"('P07437', 'Q14204')"
"('O15047', 'P58876')"
"('O96017', 'Q14676')"
"('O75618', 'P42574')"
"('P53803', 'Q8N7H5')"
"('Q9GZQ8', 'Q9HAU5')"
"('P24534', 'P01033')"
"('Q9HAV0', 'O60840')"
"('Q00005', 'P30153')"
"('P05546', 'P02787')"
"('Q9C005', 'Q6DN03')"
"('Q9H0E3', 'O75528')"
"('O60610', 'O60861')"
"('Q8TBB1', 'Q96CG3')"
"('Q14978', 'P67870')"
"('P47898', 'Q9HAV0')"
"('Q7KZ85', 'P19387')"
"('O75533', 'O94817')"
"('O43570', 'Q16659')"
"('Q9NR97', 'P04637')"
"('P16035', 'P50281')"
"('P26651', 'Q96B26')"
"('P07948', 'Q9NRA0')"
"('P46779', 'P05386')"
"('Q8WU39', 'Q16659')"
"('Q13573', 'P50570')"
"('Q92633', 'P63211')"
"('Q9Y250', 'P62875')"
"('O75822', 'P78344')"
"('P29317', 'Q15147')"
"('Q9GZQ8', 'Q12929')"
"('Q00975', 'Q9Y605')"
"('P00533', 'P53680')"
"('P54132', 'P38398')"
"('Q8N474', 'P56704')"
"('P46060', 'Q99666')"
"('Q03181', 'Q04206')"
"('Q15796', 'P68104')"
"('P16234', 'P42336')"
"('O14818', 'Q16665')"
"('P41221', 'O60353')"
"('Q09472', 'Q92585')"
"('O95741', 'Q9Y6K8')"
"('P06729', 'P13987')"
"('Q9NWF9', 'Q9Y3C5')"
"('Q9H832', 'Q12933')"
"('Q9Y3Q8', 'P63244')"
"('Q13185', 'P16402')"
"('Q13555', 'Q9UF02')"
"('Q9H8E8', 'Q92831')"
"('P62140', 'P62955')"
"('Q13018', 'P61812')"
"('Q6ZVK8', 'P33316')"
"('Q07960', 'P60953')"
"('P23508', 'Q96CX2')"
"('Q9UJF2', 'Q07890')"
"('Q14192', 'P05556')"
"('O00422', 'Q9H7L9')"
"('P34931', 'Q9Y4K3')"
"('P08581', 'Q96B97')"
"('64397', 'P63279')"
"('Q01844', 'P17096')"
"('P10244', 'P0CG47')"
"('Q6UWE0', 'P51668')"
"('P01133', 'P09619')"
"('O15054', 'P67870')"
"('Q9UQP3', 'Q9UKX5')"
"('Q13404', 'P11171')"
"('Q15036', 'P12757')"
"('O00237', 'O75800')"
"('Q9GZM8', 'P55197')"
"('Q13557', 'Q13698')"
"('Q9H0H5', 'Q07889')"
"('P04637', 'P00491')"
"('Q15628', 'P08670')"
