negatives
"('Q15428', 'Q15029')"
"('Q9Y5B9', 'Q10586')"
"('Q15052', 'P63000')"
"('406907', 'O75116')"
"('Q9UNM6', 'Q9H936')"
"('Q9UI14', 'P31150')"
"('Q9HBM6', 'Q96BN2')"
"('Q8TEW0', 'P35221')"
"('Q9HBE4', 'P40189')"
"('Q9NWA0', 'Q9Y2X0')"
"('P62304', 'P62306')"
"('O00463', 'O00459')"
"('Q5VZP5', 'Q9Y4K3')"
"('P23508', 'P36543')"
"('P17301', 'P63261')"
"('P07333', 'P35568')"
"('Q15628', 'P02533')"
"('P26951', 'P41182')"
"('P35626', 'P62879')"
"('O14920', 'Q92918')"
"('O14593', 'P39656')"
"('Q15287', 'Q9Y3F4')"
"('P98175', 'Q92733')"
"('Q8WVM7', 'Q9BSI4')"
"('Q9BUQ8', 'Q6P2Q9')"
"('P09884', 'Q14683')"
"('P50591', 'P25445')"
"('P17152', 'Q9Y5J5')"
"('O60291', 'P63279')"
"('Q7Z6B7', 'P15153')"
"('Q9P2S5', 'P61626')"
"('P28324', 'P19419')"
"('O94817', 'Q03252')"
"('Q969Q1', 'Q14315')"
"('P41143', 'P16615')"
"('P01106', 'O94805')"
"('P35544', 'P08865')"
"('O43292', 'Q13002')"
"('P04626', 'Q9H299')"
"('Q14833', 'Q9P2W3')"
"('Q969H4', 'Q8TCX5')"
"('P60520', 'P18507')"
"('Q16625', 'C9JDP6')"
"('Q9P0J0', 'O43677')"
"('P62979', 'P46934')"
"('Q14164', 'P41250')"
"('Q9HCE6', 'P22736')"
"('P09919', 'P78552')"
"('Q16539', 'Q9H869')"
"('P12956', 'P00533')"
"('O75508', 'Q8N6F1')"
"('Q8NGS5', 'P38405')"
"('Q15645', 'Q96JB6')"
"('P52735', 'P21860')"
"('Q8NEB9', 'P31749')"
"('P53567', 'P15407')"
"('Q9BWJ5', 'Q15427')"
