negatives
"('P35226', 'O75525')"
"('Q9NQ50', 'P49406')"
"('P13473', 'Q09028')"
"('Q9BRK4', 'Q9ULW3')"
"('Q0VDF9', 'Q99661')"
"('Q8NFD5', 'Q13617')"
"('Q14192', 'Q13950')"
"('Q9H0U4', 'O95433')"
"('Q9BQ66', 'Q6L8G9')"
"('P30153', 'Q9Y4B6')"
"('Q5JWF2', 'P29992')"
"('P26678', 'Q16623')"
"('P38398', 'Q96EZ8')"
"('Q13426', 'P17844')"
"('P68402', 'Q15056')"
"('P84098', 'P62851')"
"('O15297', 'P67936')"
"('Q9Y4E8', 'P47929')"
"('Q9BY27', 'Q15323')"
"('Q07955', 'O76054')"
"('Q7L5N1', 'Q96GG9')"
"('Q9Y230', 'P63261')"
"('Q96CS4', 'Q9UGY1')"
"('Q8N726', 'Q14191')"
"('Q96CW5', 'Q9Y2Q9')"
"('Q9Y3I0', 'P49903')"
"('Q3ZCQ8', 'O94826')"
"('Q96PV6', 'P36873')"
"('Q7L9L4', 'O75170')"
"('P07900', 'Q9UKC9')"
"('Q12874', 'Q9UHX1')"
"('O43463', 'Q9BS31')"
"('P00519', 'P15391')"
"('Q9H1I8', 'P39019')"
"('Q15813', 'P68366')"
"('Q00839', 'Q86VP6')"
"('Q9UM82', 'P05067')"
"('O43251', 'Q6ZRY4')"
"('Q14152', 'P60033')"
"('P29992', 'P47712')"
"('P01242', 'P26951')"
"('Q8WXS3', 'Q99750')"
"('P05161', 'O75083')"
"('P31153', 'Q13618')"
"('O76003', 'Q96T76')"
"('P29353', 'P08238')"
"('P04637', 'P19447')"
"('P54278', 'P31749')"
"('Q06203', 'P00492')"
"('Q8NBE8', 'Q8IVD9')"
"('Q15691', 'Q13586')"
"('Q99714', 'P04075')"
"('P62241', 'P52756')"
"('Q9Y296', 'Q9UL33')"
"('P14210', 'P24821')"
"('Q13326', 'Q96A32')"
"('O00222', 'Q14344')"
"('Q99996', 'O95551')"
"('Q9Y680', 'Q96LA8')"
"('O15504', 'Q9H4D5')"
"('Q9UPN4', 'Q9NWT8')"
"('Q8NGL1', 'O60262')"
"('P63244', 'Q08752')"
"('Q13625', 'Q9NPB6')"
"('P28566', 'O60262')"
"('Q96PK6', 'Q9UHI6')"
"('O94913', 'P78362')"
"('Q86YS7', 'P51148')"
"('P19438', 'P62136')"
"('P52701', 'O43918')"
"('P20648', 'P33121')"
"('Q16557', 'Q7Z7M0')"
"('P61224', 'Q8NFA0')"
"('A5PL33', 'Q9Y2M5')"
"('Q6IQ23', 'P52907')"
"('P53396', 'Q8N726')"
"('Q16543', 'Q15025')"
"('P22670', 'Q99459')"
"('P24941', 'Q96EK4')"
"('Q9BQ95', 'O95169')"
"('Q8N122', 'O60573')"
"('P62140', 'P19338')"
"('Q5T0J3', 'Q13423')"
"('P11387', 'Q99459')"
"('O00463', 'Q8TBB1')"
"('O15372', 'P24941')"
"('P00533', 'P29317')"
"('Q16891', 'Q9NRR5')"
"('Q5JVL4', 'Q92558')"
"('P63272', 'P68400')"
"('Q92917', 'Q9NYB0')"
"('P33176', 'P12830')"
"('Q9UNE7', 'Q16543')"
"('Q93079', 'P13612')"
"('P22612', 'O14827')"
"('Q96A33', 'Q8IVT5')"
"('Q9UER7', 'O15350')"
"('Q9UBN7', 'Q8NHQ1')"
"('P55265', 'O43638')"
"('P23258', 'P43405')"
"('Q6ZYL4', 'P32780')"
"('P18848', 'P52790')"
"('Q15276', 'P61981')"
"('P62508', 'P62195')"
"('Q9BRV8', 'Q96HA8')"
"('Q6UWE0', 'P17844')"
"('Q7L0Q8', 'Q16798')"
"('Q93009', 'Q13547')"
"('P50148', 'P49407')"
"('Q13315', 'Q9NZT1')"
"('P68400', 'Q92504')"
"('P00749', 'Q9BY14')"
"('Q7L5D6', 'Q9BYQ3')"
"('Q96T88', 'Q15170')"
"('A6NHR9', 'Q16666')"
"('Q9BT22', 'Q9HCE1')"
"('Q01518', 'P19105')"
"('Q9NS23', 'O60341')"
"('P00751', 'P00746')"
"('A8K8V0', 'Q99750')"
"('P04004', 'Q8NHV9')"
"('P62888', 'Q9NRC8')"
"('O95782', 'Q9NZN4')"
"('Q9NRC8', 'P15880')"
"('Q96DX7', 'P05067')"
"('Q04917', 'Q96CV9')"
"('Q8N5N7', 'Q9BYD1')"
"('Q9H1A4', 'P19338')"
"('Q8NGG6', 'O60262')"
"('P02751', 'O15247')"
"('P22090', 'P62979')"
"('Q86WC6', 'Q96HA8')"
"('Q96RI1', 'Q86X55')"
"('O95817', 'Q9UJY5')"
"('P30050', 'Q13148')"
"('P55072', 'Q08426')"
"('Q9UHK0', 'Q05193')"
"('P62805', 'Q9NY74')"
"('Q4VC31', 'P99999')"
"('Q7KZI7', 'P47755')"
"('P60369', 'Q6P087')"
"('Q9Y264', 'P21802')"
"('P27695', 'P78527')"
"('Q9BYD1', 'Q02218')"
"('P52815', 'Q86TS9')"
"('P51784', 'Q9Y4G8')"
"('P61604', 'Q9UBN6')"
"('O43395', 'O43172')"
"('Q6DD88', 'P55884')"
"('P04637', 'P06753')"
"('Q8IYH5', 'Q86V42')"
"('Q15485', 'P26022')"
"('Q93077', 'P06899')"
"('Q9NTX9', 'Q96L12')"
"('Q8N184', 'P61457')"
"('P11021', 'P27816')"
"('Q92793', 'O43889')"
"('P19012', 'Q6P597')"
"('Q13573', 'Q16514')"
"('Q9BPZ2', 'Q9Y657')"
"('P08047', 'Q9BXP5')"
"('P49736', 'P09382')"
"('O60678', 'O00469')"
"('Q9NY93', 'P62910')"
"('Q0VDD7', 'Q9UBV8')"
"('P35244', 'Q9Y2B9')"
"('P34931', 'Q00613')"
"('P47813', 'P62826')"
"('P61006', 'P51149')"
"('Q9H1J5', 'Q13467')"
"('Q9Y3E0', 'Q9H444')"
"('Q9Y5K6', 'Q7Z6Z7')"
"('P09104', 'P26038')"
"('Q99460', 'P68363')"
"('P35609', 'P49458')"
"('P35244', 'P30480')"
"('P54652', 'Q9UGN5')"
"('P22307', 'Q9NQX4')"
"('Q13547', 'Q8WW38')"
"('Q9P0M6', 'Q96DB2')"
"('Q9H9E1', 'Q9UQL6')"
"('Q9NRV9', 'Q9H2U1')"
"('O95231', 'P0C853')"
"('P16871', 'Q3ZCW2')"
"('Q14526', 'O75925')"
"('Q9BQS8', 'Q9H492')"
"('Q9BTP7', 'Q9NPI8')"
"('Q14344', 'Q3MJ16')"
"('Q96RL1', 'P38398')"
"('Q86U86', 'Q9P2P5')"
"('Q9NUP9', 'Q71U36')"
"('Q15274', 'Q9UPN9')"
"('Q969H0', 'P41219')"
"('P57678', 'Q86YT6')"
"('P61221', 'P54819')"
"('Q99436', 'P51668')"
"('Q01804', 'O95466')"
"('Q9BT43', 'Q9H1D9')"
"('Q8IWL3', 'Q9BYT8')"
"('Q13286', 'Q8WVX9')"
"('O00257', 'O00189')"
"('P15289', 'Q86YD3')"
"('Q00535', 'P12931')"
"('P07910', 'O75531')"
"('P31946', 'Q96JH8')"
"('Q9Y618', 'P41182')"
"('Q969T4', 'Q9H6Y7')"
"('O43818', 'Q9NRC8')"
"('O95837', 'P41146')"
"('P53992', 'Q14194')"
"('P19419', 'Q09472')"
"('P50914', 'P15880')"
"('P61254', 'P62851')"
"('P16144', 'A8K7I4')"
"('Q13042', 'Q96B97')"
"('O43920', 'O75489')"
"('Q16629', 'P18583')"
"('O60341', 'Q9H9H4')"
"('P15941', 'O00410')"
"('P49407', 'Q96B67')"
"('Q8IWL3', 'P45974')"
"('Q9BW61', 'P19623')"
"('P14373', 'Q6IPM2')"
"('P21757', 'Q7L5A8')"
"('O94776', 'Q9UGL1')"
"('Q06481', 'O14964')"
"('O75152', 'Q9BTL4')"
"('Q9UKS6', 'Q9ULH1')"
"('Q562R1', 'Q8IW35')"
"('Q13620', 'P04075')"
"('P79522', 'P45983')"
"('Q9NYJ8', 'P11142')"
"('Q9UJW3', 'O00716')"
"('Q7Z4I7', 'Q13137')"
"('P60709', 'P12755')"
"('Q9P0N5', 'P30519')"
"('P07900', 'Q07002')"
"('Q13148', 'Q92841')"
"('Q13573', 'Q96FV9')"
"('Q8N987', 'Q7Z6G3')"
"('Q00005', 'O60840')"
"('O43854', 'O00165')"
"('Q14166', 'P13612')"
"('P27361', 'Q9BX93')"
"('Q9H993', 'Q9UI12')"
"('Q96C01', 'Q8IVD9')"
"('P08238', 'Q6J9G0')"
"('Q9Y2W1', 'Q9UJV9')"
"('P21580', 'P04637')"
"('P36406', 'P55040')"
"('Q9HD23', 'Q9NQ29')"
"('P50221', 'Q9HAT8')"
"('O95996', 'Q12959')"
"('P51668', 'Q9Y508')"
"('Q04726', 'Q8WXX7')"
"('Q9Y294', 'P33993')"
"('Q15717', 'P09651')"
"('P12268', 'Q13309')"
"('O00221', 'O00743')"
"('P11021', 'Q04323')"
"('Q8IVD9', 'Q8N4N3')"
"('Q8NFW5', 'Q8TB40')"
"('P15172', 'Q8IXJ6')"
"('P27694', 'P61019')"
"('O14980', 'P63279')"
"('Q07889', 'P10398')"
"('A6NC98', 'Q9BXY8')"
"('P78396', 'P49736')"
"('P30101', 'Q969S8')"
"('Q9UPN4', 'Q5BJF6')"
"('Q9P2E3', 'Q9NV31')"
"('P49736', 'Q9BVC6')"
"('P29033', 'Q7L804')"
"('P83881', 'P84098')"
"('P08579', 'Q9Y675')"
"('P41252', 'P03372')"
"('O43189', 'Q92917')"
"('Q9UMX0', 'P55072')"
"('P55795', 'Q9BWF3')"
"('P12236', 'Q04206')"
"('Q9H9G7', 'Q93034')"
"('Q96CN9', 'Q7Z353')"
"('Q9NRD1', 'P01033')"
"('Q14974', 'O43918')"
"('Q86X19', 'O60858')"
"('P56645', 'P05412')"
"('Q9UNN5', 'P78406')"
"('P61962', 'P85037')"
"('O94817', 'Q07820')"
"('P50148', 'Q9NS28')"
"('P02776', 'P32246')"
"('P0DP25', 'P15336')"
"('Q6PEY2', 'Q99832')"
"('P36543', 'Q9Y2Q5')"
"('Q96J02', 'Q92997')"
"('Q92597', 'P07900')"
"('P40123', 'Q9NPJ6')"
"('P01241', 'Q99665')"
"('P61020', 'P51149')"
"('Q13547', 'P01100')"
"('Q969X5', 'Q8IZV5')"
"('O00488', 'Q9P1U0')"
"('Q16623', 'P48067')"
"('Q86V97', 'Q96CW1')"
"('Q9UNL2', 'P05412')"
"('Q676U5', 'Q96CW1')"
"('Q15532', 'O94805')"
"('P45974', 'Q14657')"
"('Q13469', 'Q9P0L0')"
"('Q13137', 'Q9Y4Z0')"
"('P43304', 'P48553')"
"('Q9UBP5', 'Q9Y297')"
"('Q9Y2I1', 'Q9Y4H2')"
"('Q9NTJ3', 'Q9ULD6')"
"('O60907', 'Q13363')"
"('P27694', 'Q9BRJ6')"
"('P36639', 'Q9GZQ8')"
"('P36575', 'P32121')"
"('P02671', 'P00488')"
"('Q9UKS6', 'Q07666')"
"('Q96EP1', 'P62837')"
"('P43307', 'P60468')"
"('P14324', 'O95630')"
"('P23284', 'Q14164')"
"('P32249', 'Q86WK6')"
"('Q9HCE1', 'Q15649')"
"('Q9Y2H6', 'P05067')"
"('P28482', 'Q96AC1')"
"('P51788', 'P58340')"
"('Q9Y4L1', 'Q7Z7A1')"
"('P42166', 'Q9H4L7')"
"('O60504', 'Q14151')"
"('Q8IVT5', 'P48556')"
"('P08754', 'Q9P219')"
"('Q9NQR1', 'Q9NQB0')"
"('Q13620', 'Q8WWQ0')"
"('Q9UKX2', 'P27348')"
"('P09651', 'P38398')"
"('Q3MJ62', 'Q9Y5A6')"
"('P53370', 'Q53S33')"
"('P55316', 'Q9UFC0')"
"('Q07973', 'Q9BQ95')"
"('Q9Y265', 'Q9WJR5')"
"('Q13643', 'O95391')"
"('Q9P0U4', 'Q6DRA6')"
"('P24278', 'Q9BYP8')"
"('Q16626', 'O60216')"
"('Q9BT49', 'Q9UBB9')"
"('Q99567', 'O14980')"
"('Q8NHQ1', 'Q63HK5')"
"('Q92544', 'Q15717')"
"('Q9NWS0', 'Q99550')"
"('Q15393', 'O75940')"
"('P38936', 'P24864')"
"('P27105', 'Q9UHX1')"
"('Q04695', 'Q13191')"
"('P50135', 'P54274')"
"('Q9NR31', 'P11586')"
"('P01036', 'Q8IU85')"
"('Q9Y4D1', 'Q8TCI5')"
"('Q5RKV6', 'Q13347')"
"('P56693', 'P25189')"
"('Q96RT1', 'P11274')"
"('P54652', 'Q8IWX7')"
"('Q9BYE0', 'Q8WWB5')"
"('O15432', 'O60894')"
"('P46199', 'Q9BQ95')"
"('P35544', 'Q15545')"
"('P15880', 'P62280')"
"('P19838', 'Q99731')"
"('Q07955', 'P14866')"
"('Q15649', 'O14770')"
"('Q9HCE1', 'Q9H6Z4')"
"('Q9UF56', 'Q9UMX1')"
"('Q9BUN8', 'Q92611')"
"('O95817', 'P46108')"
"('Q6DKI1', 'O00541')"
"('Q5TAP6', 'P14373')"
"('Q9H6H4', 'Q9Y3M2')"
"('Q9BYV2', 'Q9UI95')"
"('O60341', 'O43295')"
"('Q9BQ04', 'P09012')"
"('Q9Y275', 'Q92545')"
"('Q9UPQ3', 'Q6ZW31')"
"('Q16621', 'P57086')"
"('Q16629', 'Q504Q3')"
"('Q07812', 'P10909')"
"('Q9BQ24', 'Q96HR9')"
"('O95391', 'O43395')"
"('Q9UL42', 'Q9Y5P4')"
"('Q15233', 'Q9Y616')"
"('Q99575', 'Q15527')"
"('P61968', 'P03372')"
"('Q9NYW8', 'Q9BSW2')"
"('Q9HCE7', 'Q13642')"
"('P53621', 'Q16637')"
"('O43298', 'Q13421')"
"('P22612', 'Q8NH16')"
"('Q9Y3D0', 'Q6P2E9')"
"('P54274', 'Q99741')"
"('Q9UNH7', 'Q15631')"
"('P40855', 'Q9NQE9')"
"('Q8IW19', 'Q8TCJ0')"
"('P04629', 'P27348')"
"('Q5JST6', 'O75716')"
"('Q7Z6G3', 'Q63ZY3')"
"('P49959', 'Q00839')"
"('Q13368', 'Q9NUP9')"
"('O00560', 'P53999')"
"('Q15393', 'Q14683')"
"('P49755', 'Q02127')"
"('Q9NRH1', 'Q13618')"
"('Q08722', 'Q01105')"
"('Q8TCC3', 'Q9NYK5')"
"('Q9UGP8', 'Q9P0N5')"
"('P68036', 'Q13263')"
"('Q96QD9', 'P12931')"
"('P30450', 'P50222')"
"('Q12824', 'O95257')"
"('Q86UK7', 'Q6VAB6')"
"('Q9P2S5', 'Q6UB35')"
"('P48443', 'P13631')"
"('P24534', 'Q14164')"
"('P49916', 'Q9H0W5')"
"('P28566', 'Q9UBI6')"
"('P42167', 'Q9C0B0')"
"('Q9H257', 'P31946')"
"('P14784', 'O60674')"
"('Q96HL8', 'Q5HYK7')"
"('Q9NUD5', 'Q02539')"
"('Q00005', 'P68363')"
"('O76003', 'Q9NWS6')"
"('P40692', 'Q15910')"
"('Q9BQE5', 'A6ZKI3')"
"('Q3SY00', 'Q9UGI0')"
"('Q8N3C0', 'Q8N6M0')"
"('Q15654', 'Q9NU39')"
"('Q9BTE6', 'Q71U36')"
"('P49918', 'Q00526')"
"('Q9UQP3', 'P17301')"
"('P01112', 'P27986')"
"('Q9BZL1', 'P60410')"
"('P61764', 'O15145')"
"('P61006', 'Q9H7D7')"
"('Q9BZV1', 'Q96CS7')"
"('Q9H0H5', 'P61964')"
"('Q15714', 'Q9UBC3')"
"('Q9BUQ8', 'Q53GS9')"
"('P63173', 'P06748')"
"('Q96DI7', 'Q9BTD8')"
"('Q96GY0', 'P05067')"
"('Q92804', 'Q9NRC8')"
"('Q9H492', 'P10599')"
"('P61764', 'Q9UHK0')"
"('Q9NRD1', 'Q8N1G4')"
"('Q9Y5B9', 'Q99880')"
"('P63151', 'Q9Y698')"
"('Q96GX9', 'P36873')"
"('P78527', 'O95817')"
"('Q92519', 'Q5S007')"
"('P62993', 'Q9NYF8')"
"('Q96D03', 'Q9BVJ7')"
"('Q15349', 'P01111')"
"('Q8IVT5', 'P36507')"
"('P00533', 'O00170')"
"('P61978', 'P46934')"
"('Q9Y5P3', 'Q14192')"
"('P68363', 'P25788')"
"('Q8IYB3', 'P49792')"
"('P60903', 'P62906')"
"('P01889', 'P22309')"
"('Q9GZX6', 'Q14626')"
"('Q00613', 'Q7Z7B0')"
"('Q86Y82', 'Q9BQQ3')"
"('Q9NYQ6', 'Q86Y78')"
"('Q9Y258', 'P51677')"
"('P55786', 'P63172')"
"('P11802', 'Q9UKA8')"
"('Q9NVC6', 'Q9H944')"
"('P51858', 'Q9UKD2')"
"('Q9NSE4', 'Q2M3T9')"
"('Q15170', 'Q9Y463')"
"('Q08380', 'Q14697')"
"('P51398', 'P09651')"
"('O60262', 'P62070')"
"('Q8IY81', 'Q9BQG0')"
"('P62834', 'O75937')"
"('Q9UJY5', 'Q9NY15')"
"('Q14203', 'O00399')"
"('Q6PD62', 'Q9Y697')"
"('Q8IZT6', 'Q6NZ67')"
"('Q9NVP1', 'Q13616')"
"('Q7L2J0', 'O00505')"
"('Q07889', 'P63010')"
"('P62942', 'Q13363')"
"('O15228', 'Q8IY92')"
"('Q16600', 'O60271')"
"('Q6PEX3', 'Q8WU58')"
"('P34932', 'O75506')"
"('Q15843', 'P0DMV9')"
"('O00534', 'P06126')"
"('O95229', 'P52597')"
"('P26368', 'P60842')"
"('Q9BXA5', 'Q9Y6C9')"
"('P52294', 'Q09028')"
"('P51553', 'P0C7P4')"
"('Q86VP6', 'Q8IY81')"
"('Q00005', 'O60359')"
"('Q9Y3A5', 'Q9UKX7')"
"('Q9Y2T4', 'Q01668')"
"('Q9H0E2', 'P63000')"
"('P68400', 'P67775')"
"('Q9UMS4', 'Q9Y3B4')"
"('P49411', 'Q13564')"
"('Q96QZ7', 'Q86SQ0')"
"('O15498', 'P02545')"
"('Q9NRY6', 'Q0VD86')"
"('Q15717', 'O00512')"
"('O95782', 'P00519')"
"('P14373', 'O76041')"
"('P31751', 'Q96AT9')"
"('P15880', 'P22087')"
"('P55072', 'P31946')"
"('P21333', 'Q6P1J9')"
"('P51572', 'Q9BQB6')"
"('P62995', 'P26368')"
"('P21333', 'Q6NYC8')"
"('P62136', 'Q13936')"
"('Q9UPY3', 'Q16637')"
"('Q32MK0', 'Q9BUA6')"
"('O94782', 'P61626')"
"('Q8NHV4', 'Q9H8K7')"
"('O75554', 'O43670')"
"('P36873', 'Q14CS0')"
"('P60510', 'P04637')"
"('P54253', 'P12955')"
"('Q96PY6', 'Q9BRX9')"
"('P55957', 'Q9UHD9')"
"('Q6NUS6', 'Q9NRK6')"
"('Q86US8', 'P63151')"
"('P06850', 'P24387')"
"('Q9HCE7', 'Q8N6M0')"
"('P04629', 'Q96S59')"
"('O14907', 'Q96D59')"
"('Q86Y78', 'Q9UQ16')"
"('P56545', 'Q9UKS7')"
"('Q9Y265', 'Q96A08')"
"('O94952', 'Q6P1J9')"
"('O94921', 'P37802')"
"('P58107', 'P49642')"
"('Q99570', 'O14980')"
"('P50990', 'P60900')"
"('Q9NRD1', 'P53621')"
"('Q9NYL9', 'P11021')"
"('P54368', 'Q9Y6K0')"
"('Q15436', 'O95456')"
"('Q8NHQ9', 'P60410')"
"('Q14CX5', 'P29992')"
"('Q9NWV8', 'Q13573')"
"('P33527', 'Q9UHX1')"
"('P63208', 'O96020')"
"('Q92904', 'Q8TB72')"
"('Q96B54', 'Q6K0P9')"
"('O75558', 'O60341')"
"('P08670', 'P55211')"
"('Q9UKP3', 'Q16586')"
"('Q9BTT4', 'Q9NVC6')"
"('P0DP23', 'O43167')"
"('Q71U36', 'P07437')"
"('Q14999', 'Q15029')"
"('Q01664', 'Q9H147')"
"('P20073', 'Q8NFF5')"
"('P56748', 'Q8N7P3')"
"('Q16620', 'P19174')"
"('Q13137', 'Q14997')"
"('P09919', 'P52333')"
"('P05161', 'P26641')"
"('Q7Z6B7', 'Q7L0Q8')"
"('O75821', 'Q96DH6')"
"('C9JRZ8', 'P49773')"
"('Q9H115', 'P42858')"
"('P25325', 'A5PLL7')"
"('Q12905', 'P62899')"
"('O95059', 'P06576')"
"('P51571', 'P04843')"
"('P38646', 'P25963')"
"('Q96EB6', 'P40337')"
"('Q6AWC2', 'Q8IX03')"
"('Q96Q05', 'Q9UL33')"
"('O60880', 'O14796')"
"('Q5T0T0', 'P51668')"
"('P62829', 'P05412')"
"('P83111', 'Q9P2E3')"
"('Q8TES7', 'Q8IY31')"
"('Q96NA2', 'P04350')"
"('P21815', 'P08514')"
"('Q96HB5', 'Q8IUH5')"
"('Q5JUX0', 'Q9BUA3')"
"('P98174', 'Q6PCT2')"
"('O43610', 'Q5T7P3')"
"('Q86UV5', 'O94855')"
"('Q9BRQ3', 'Q5T619')"
"('Q8TDQ0', 'P05067')"
"('O15294', 'Q96EZ8')"
"('Q9NR45', 'P12277')"
"('P49761', 'P61981')"
"('Q15907', 'Q92887')"
"('Q8TD90', 'Q99459')"
"('Q9H0R8', 'P58107')"
"('Q9UQM7', 'Q9Y3B7')"
"('P46934', 'Q99683')"
"('O43707', 'Q9UQM7')"
"('Q9NY65', 'P32121')"
"('Q9UNA3', 'Q9H6Y7')"
"('Q06187', 'Q9Y2C9')"
"('P62851', 'P35544')"
"('Q86VP6', 'Q13405')"
"('Q9UHB6', 'O75369')"
"('O60258', 'P00533')"
"('Q96HE9', 'Q96CS4')"
"('P42858', 'Q13562')"
"('O94953', 'Q15637')"
"('Q92731', 'O00567')"
"('Q9Y2B1', 'P46089')"
"('Q8IWB6', 'Q53EZ4')"
"('P62807', 'P17098')"
"('Q9Y4X5', 'P46527')"
"('Q6XQN6', 'Q9GZT8')"
"('Q5JSH3', 'P55735')"
"('P11474', 'P11766')"
"('Q13490', 'Q9NNX1')"
"('Q14152', 'Q13409')"
"('Q03701', 'P48443')"
"('P08047', 'P35749')"
"('Q9H2G2', 'P16383')"
"('Q13127', 'Q8IWB6')"
"('Q9Y5B8', 'Q8TD31')"
"('O00267', 'P19388')"
"('P17612', 'Q96RD2')"
"('P29692', 'Q6ZQN5')"
"('Q15427', 'Q9Y5M8')"
"('P12081', 'P56192')"
"('Q15714', 'P04844')"
"('P36871', 'Q8NFV4')"
"('Q9H2C0', 'Q92888')"
"('Q9BVK8', 'Q9P2A4')"
"('P04629', 'P11142')"
"('P42858', 'Q9Y450')"
"('P80370', 'O14733')"
"('O60783', 'Q6PF06')"
"('P00966', 'Q06830')"
"('Q9BYR7', 'Q3LI76')"
"('P12004', 'P58753')"
"('Q01844', 'Q14103')"
"('Q9Y3U8', 'Q9NVP1')"
"('Q9UMW8', 'Q9BYV2')"
"('Q8IY17', 'Q9Y6I9')"
"('P00441', 'P78406')"
"('P07900', 'Q9UBU9')"
"('O94806', 'Q02930')"
"('P10276', 'Q00056')"
"('Q14416', 'P63096')"
"('Q9C0B0', 'P10809')"
"('P02751', 'Q92979')"
"('Q9UPT9', 'Q96BN2')"
"('Q9H9V4', 'P62837')"
"('Q92900', 'Q96S82')"
"('Q9HCU4', 'O95433')"
"('P61604', 'P36969')"
"('Q5VU43', 'Q9H8T0')"
"('Q6ZWJ1', 'Q9P2K6')"
"('P07814', 'O75494')"
"('Q14680', 'O15075')"
"('Q29980', 'P40763')"
"('Q13535', 'Q8N5F7')"
"('Q96NW7', 'P19022')"
"('Q96RK0', 'P04629')"
"('Q09028', 'P84243')"
"('Q8NGJ0', 'P62873')"
"('P59768', 'Q9H1C0')"
"('P04798', 'P23193')"
"('P07948', 'Q86WV1')"
"('Q9NUP9', 'Q4VCS5')"
"('Q8IW41', 'P04637')"
"('P61073', 'P01730')"
"('Q8N616', 'P06729')"
"('P63279', 'Q9NQR1')"
"('P13688', 'P06731')"
"('O94972', 'Q9UBZ4')"
"('P12830', 'Q86VR7')"
"('P61978', 'Q5I0X4')"
"('Q6NZ67', 'P04637')"
"('P04629', 'Q9UN70')"
"('Q99962', 'P05067')"
"('P28482', 'P05787')"
"('Q5T3F8', 'Q9BQB6')"
"('Q9Y2D8', 'Q15561')"
"('Q15785', 'P19320')"
"('P60866', 'P36578')"
"('Q6IQ23', 'Q9UJV9')"
"('Q02880', 'Q16181')"
"('O14495', 'O14494')"
"('Q99731', 'P61073')"
"('Q15052', 'P60763')"
"('P0DMM9', 'P34896')"
"('P62807', 'Q9UBN7')"
"('P07814', 'P21281')"
"('O75044', 'P42768')"
"('Q9BY44', 'Q14203')"
"('P04003', 'P02751')"
"('Q9UM11', 'Q96GD4')"
"('Q13257', 'Q92731')"
"('P62140', 'P07951')"
"('P62195', 'Q13515')"
"('P17096', 'P78362')"
"('Q07869', 'Q3L8U1')"
"('P19113', 'Q9Y6K9')"
"('Q68G74', 'O43167')"
"('P27797', 'P04275')"
"('Q9BTD8', 'Q9Y3C6')"
"('Q08043', 'P56945')"
"('Q86XR8', 'Q15323')"
"('P85299', 'Q8WWY3')"
"('O95816', 'P20749')"
"('Q05329', 'Q96B96')"
"('Q8TCU4', 'Q8TEP8')"
"('Q9P0N9', 'Q0VD86')"
"('Q9UBF6', 'Q8IWE4')"
"('Q9BU02', 'Q9UH62')"
"('O43617', 'Q8IUR0')"
"('Q01844', 'Q06187')"
"('Q92851', 'O14730')"
"('P52735', 'P31323')"
"('Q9NPJ4', 'Q9NPI6')"
"('Q13490', 'P68036')"
"('Q14118', 'Q05397')"
"('Q02086', 'P10914')"
"('P39687', 'O95619')"
"('P53992', 'P02751')"
"('P30048', 'Q92905')"
"('Q8NI60', 'Q8N138')"
"('P50747', 'P26371')"
"('Q04837', 'Q16540')"
"('Q9H239', 'Q9Y3F4')"
"('Q9C0C7', 'P31948')"
"('Q96P16', 'Q9UJ41')"
"('Q9H1I8', 'Q96N21')"
"('P54253', 'Q13554')"
"('Q00987', 'Q92736')"
"('Q8N6Y0', 'Q14005')"
"('P36957', 'P10515')"
"('Q8WZA2', 'Q16539')"
"('Q6VVB1', 'Q8IVD9')"
"('Q5TCX8', 'O60573')"
"('Q8NGV6', 'P01871')"
"('Q92731', 'Q2NL98')"
"('P16871', 'P29597')"
"('Q96QH2', 'Q01860')"
"('P30050', 'O95166')"
"('Q96SW2', 'Q9UKV8')"
"('Q9H4L7', 'Q9Y5Q9')"
"('P51159', 'Q9UNE2')"
"('O75056', 'P09038')"
"('Q08426', 'O00291')"
"('P22307', 'O43889')"
"('O43318', 'Q9UNE7')"
"('Q504Y2', 'Q9H5K3')"
"('P13747', 'P23229')"
"('P78559', 'Q12959')"
"('P35869', 'P48552')"
"('P27708', 'Q04206')"
"('P54725', 'P22392')"
"('P35626', 'Q9H2C8')"
"('P06733', 'P13929')"
"('P10275', 'P13010')"
"('Q9H0F6', 'Q00987')"
"('P53041', 'P06401')"
"('P04234', 'Q9BUN8')"
"('P00751', 'P01024')"
"('Q13698', 'Q86UT5')"
"('Q8TCJ2', 'Q9Y3E5')"
"('Q13114', 'P54803')"
"('P52655', 'Q9H1R3')"
"('P09884', 'P12004')"
"('O43189', 'Q9HC98')"
"('P34931', 'Q12933')"
"('Q92945', 'Q9NRR4')"
"('Q86VS8', 'P04629')"
"('P55039', 'Q13616')"
"('Q99527', 'P12931')"
"('O60664', 'P53701')"
"('Q9UKG1', 'Q9Y243')"
"('P31321', 'P63279')"
"('Q96F45', 'Q96L14')"
"('O14757', 'P12956')"
"('Q9H4M9', 'P23381')"
"('Q9H0C1', 'P61968')"
"('P40337', 'Q13547')"
"('O94905', 'P49768')"
"('Q15025', 'Q8IW35')"
"('P11474', 'Q8N2W9')"
"('Q14004', 'P07437')"
"('P23528', 'P03372')"
"('Q96LK0', 'Q8N8K9')"
"('Q13315', 'Q15797')"
"('Q16586', 'Q8NC56')"
"('P14625', 'P10721')"
"('Q04917', 'Q68CZ1')"
"('Q68EM7', 'Q07890')"
"('P04629', 'Q00688')"
"('Q14103', 'Q92905')"
"('P0DMV9', 'P49841')"
"('P01282', 'P50222')"
