negatives
"frozenset({'O75347', 'P20823', 'TGFbetaReceptor'})"
"frozenset({'Q15691', 'P0DMV8', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q01844', 'Q96M83'})"
"frozenset({'Q9UBS5', 'TGFbetaReceptor', 'P46459'})"
"frozenset({'Q96SQ5', 'P23327', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8N205', 'Q9P0N8'})"
"frozenset({'Q9BVA1', 'TGFbetaReceptor', 'P68366'})"
"frozenset({'P42768', 'Q92624', 'TGFbetaReceptor'})"
"frozenset({'Q08379', 'P20226', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P10912', 'Q969D9'})"
"frozenset({'TGFbetaReceptor', 'O00267', 'Q9UMR5'})"
"frozenset({'O00329', 'O15530', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8TAE8', 'Q92997'})"
"frozenset({'P35610', 'P62491', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q13885', 'P05412'})"
"frozenset({'Q9H582', 'TGFbetaReceptor', 'P22415'})"
"frozenset({'Q8WWB3', 'O00459', 'TGFbetaReceptor'})"
"frozenset({'Q9UJU6', 'Q9GZZ9', 'TGFbetaReceptor'})"
"frozenset({'P49765', 'P00533', 'TGFbetaReceptor'})"
"frozenset({'P17948', 'Q92569', 'TGFbetaReceptor'})"
"frozenset({'Q9UH90', 'TGFbetaReceptor', 'P08238'})"
"frozenset({'P04792', 'TGFbetaReceptor', 'P01308'})"
"frozenset({'P45983', 'Q9HBH9', 'TGFbetaReceptor'})"
"frozenset({'Q5BJF6', 'Q9HCJ0', 'TGFbetaReceptor'})"
"frozenset({'Q53S58', 'Q96IR7', 'TGFbetaReceptor'})"
"frozenset({'O14965', 'Q9HCJ0', 'TGFbetaReceptor'})"
"frozenset({'Q969G6', 'Q9Y316', 'TGFbetaReceptor'})"
"frozenset({'Q5JT25', 'Q04864', 'TGFbetaReceptor'})"
"frozenset({'O75147', 'P07737', 'TGFbetaReceptor'})"
"frozenset({'Q9H6Z9', 'O94927', 'TGFbetaReceptor'})"
"frozenset({'Q16670', 'Q8WV44', 'TGFbetaReceptor'})"
"frozenset({'Q08999', 'TGFbetaReceptor', 'P24385'})"
"frozenset({'P15018', 'Q8N6P7', 'TGFbetaReceptor'})"
"frozenset({'P51817', 'O14980', 'TGFbetaReceptor'})"
"frozenset({'Q13085', 'P49368', 'TGFbetaReceptor'})"
"frozenset({'P60891', 'P62258', 'TGFbetaReceptor'})"
"frozenset({'Q9ULJ3', 'Q6UUV7', 'TGFbetaReceptor'})"
"frozenset({'Q96B97', 'O43426', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P17535', 'Q04759'})"
"frozenset({'P06730', 'Q5VYK3', 'TGFbetaReceptor'})"
"frozenset({'P13646', 'Q08117', 'TGFbetaReceptor'})"
"frozenset({'P38405', 'Q9Y4A9', 'TGFbetaReceptor'})"
"frozenset({'O14976', 'P49757', 'TGFbetaReceptor'})"
"frozenset({'P04629', 'TGFbetaReceptor', 'Q86YS7'})"
"frozenset({'P01570', 'Q6UWB1', 'TGFbetaReceptor'})"
"frozenset({'P60228', 'P60033', 'TGFbetaReceptor'})"
"frozenset({'Q9Y613', 'P63104', 'TGFbetaReceptor'})"
"frozenset({'Q5TCX8', 'Q8TC76', 'TGFbetaReceptor'})"
"frozenset({'Q9UM73', 'P29323', 'TGFbetaReceptor'})"
"frozenset({'O15244', 'P61956', 'TGFbetaReceptor'})"
"frozenset({'Q8IXZ2', 'Q08AG7', 'TGFbetaReceptor'})"
"frozenset({'Q96J02', 'Q13625', 'TGFbetaReceptor'})"
"frozenset({'Q15139', 'Q9GZQ8', 'TGFbetaReceptor'})"
"frozenset({'Q9H0W5', 'Q14669', 'TGFbetaReceptor'})"
"frozenset({'P27216', 'Q96DH6', 'TGFbetaReceptor'})"
"frozenset({'Q9BXW4', 'Q13501', 'TGFbetaReceptor'})"
"frozenset({'Q9BXM7', 'O95816', 'TGFbetaReceptor'})"
"frozenset({'P54278', 'TGFbetaReceptor', 'P46459'})"
"frozenset({'Q96EB6', 'Q07869', 'TGFbetaReceptor'})"
"frozenset({'P49407', 'TGFbetaReceptor', 'P25105'})"
"frozenset({'P49792', 'O15169', 'TGFbetaReceptor'})"
"frozenset({'P17040', 'Q8IWY8', 'TGFbetaReceptor'})"
"frozenset({'Q9H0W5', 'Q02878', 'TGFbetaReceptor'})"
"frozenset({'Q15573', 'Q6ZUT1', 'TGFbetaReceptor'})"
"frozenset({'Q9Y5E9', 'P0DJD3', 'TGFbetaReceptor'})"
"frozenset({'Q6NUQ1', 'Q96IZ5', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P54368', 'Q04446'})"
"frozenset({'Q12996', 'O95639', 'TGFbetaReceptor'})"
"frozenset({'P13051', 'TGFbetaReceptor', 'P24941'})"
"frozenset({'Q969R5', 'Q9HCK0', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O75746', 'P84022'})"
"frozenset({'Q58FG0', 'TGFbetaReceptor', 'P43121'})"
"frozenset({'P02458', 'P98161', 'TGFbetaReceptor'})"
"frozenset({'P45973', 'O75467', 'TGFbetaReceptor'})"
"frozenset({'Q02790', 'Q15306', 'TGFbetaReceptor'})"
"frozenset({'Q00005', 'TGFbetaReceptor', 'Q13177'})"
"frozenset({'Q9P2J5', 'Q9BSB4', 'TGFbetaReceptor'})"
"frozenset({'Q9Y3E0', 'P04083', 'TGFbetaReceptor'})"
"frozenset({'Q38SD2', 'P0CAP2', 'TGFbetaReceptor'})"
"frozenset({'Q13129', 'TGFbetaReceptor', 'Q92963'})"
"frozenset({'P12955', 'P17174', 'TGFbetaReceptor'})"
"frozenset({'Q9H211', 'Q9UIG0', 'TGFbetaReceptor'})"
"frozenset({'Q6ZU80', 'TGFbetaReceptor', 'Q8N137'})"
"frozenset({'Q9UKW6', 'TGFbetaReceptor', 'Q9NRR5'})"
"frozenset({'Q5SRE5', 'TGFbetaReceptor', 'O43493'})"
"frozenset({'P53041', 'Q49AN0', 'TGFbetaReceptor'})"
"frozenset({'P34897', 'O95379', 'TGFbetaReceptor'})"
"frozenset({'Q9UP38', 'TGFbetaReceptor', 'P56703'})"
"frozenset({'Q8NFM4', 'P61952', 'TGFbetaReceptor'})"
"frozenset({'P00338', 'Q9BSI4', 'TGFbetaReceptor'})"
"frozenset({'Q14974', 'Q92905', 'TGFbetaReceptor'})"
"frozenset({'O00626', 'P51677', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96HT8', 'Q8WWB5'})"
"frozenset({'TGFbetaReceptor', 'Q13564', 'Q8TBC4'})"
"frozenset({'P42338', 'P63000', 'TGFbetaReceptor'})"
"frozenset({'P29353', 'P10912', 'TGFbetaReceptor'})"
"frozenset({'P31947', 'P35749', 'TGFbetaReceptor'})"
"frozenset({'Q96GX1', 'Q9Y385', 'TGFbetaReceptor'})"
"frozenset({'P39656', 'O75844', 'TGFbetaReceptor'})"
"frozenset({'O00329', 'P40189', 'TGFbetaReceptor'})"
"frozenset({'Q7L804', 'Q9H4M9', 'TGFbetaReceptor'})"
"frozenset({'P15153', 'Q86VI3', 'TGFbetaReceptor'})"
"frozenset({'O14920', 'P21333', 'TGFbetaReceptor'})"
"frozenset({'P43243', 'Q9HCD5', 'TGFbetaReceptor'})"
"frozenset({'Q92845', 'P02462', 'TGFbetaReceptor'})"
"frozenset({'Q9UQ35', 'O75533', 'TGFbetaReceptor'})"
"frozenset({'P10768', 'Q8WUM4', 'TGFbetaReceptor'})"
"frozenset({'O43747', 'Q6VY07', 'TGFbetaReceptor'})"
"frozenset({'Q6P5W5', 'Q8IW92', 'TGFbetaReceptor'})"
"frozenset({'Q9NSK0', 'P62258', 'TGFbetaReceptor'})"
"frozenset({'P35240', 'P31689', 'TGFbetaReceptor'})"
"frozenset({'P78362', 'TGFbetaReceptor', 'P27695'})"
"frozenset({'Q06124', 'TGFbetaReceptor', 'P16885'})"
"frozenset({'Q9BQG0', 'Q9Y3A4', 'TGFbetaReceptor'})"
"frozenset({'O75815', 'P23526', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q15365', 'Q9UPE1'})"
"frozenset({'TGFbetaReceptor', 'P78527', 'P31270'})"
"frozenset({'Q7Z6Z7', 'Q15562', 'TGFbetaReceptor'})"
"frozenset({'Q13009', 'Q9UQF2', 'TGFbetaReceptor'})"
"frozenset({'Q92777', 'P63104', 'TGFbetaReceptor'})"
"frozenset({'Q99966', 'P03372', 'TGFbetaReceptor'})"
"frozenset({'P56524', 'P49716', 'TGFbetaReceptor'})"
"frozenset({'Q5H9R7', 'O14980', 'TGFbetaReceptor'})"
"frozenset({'Q99941', 'Q96EV2', 'TGFbetaReceptor'})"
"frozenset({'Q13625', 'Q9BUZ4', 'TGFbetaReceptor'})"
"frozenset({'P05141', 'Q13099', 'TGFbetaReceptor'})"
"frozenset({'Q8TDD5', 'Q9NQ11', 'TGFbetaReceptor'})"
"frozenset({'P02008', 'P68871', 'TGFbetaReceptor'})"
"frozenset({'Q08379', 'Q96DZ5', 'TGFbetaReceptor'})"
"frozenset({'P15927', 'Q9BTC0', 'TGFbetaReceptor'})"
"frozenset({'Q6TDU7', 'TGFbetaReceptor', 'Q9Y5B8'})"
"frozenset({'Q9Y337', 'TGFbetaReceptor', 'P68366'})"
"frozenset({'P25789', 'P28065', 'TGFbetaReceptor'})"
"frozenset({'Q8NC69', 'Q96HA8', 'TGFbetaReceptor'})"
"frozenset({'Q9H9H4', 'P23381', 'TGFbetaReceptor'})"
"frozenset({'Q9BV86', 'P58753', 'TGFbetaReceptor'})"
"frozenset({'Q00765', 'P54709', 'TGFbetaReceptor'})"
"frozenset({'Q9H9Y6', 'P61927', 'TGFbetaReceptor'})"
"frozenset({'P42679', 'P49023', 'TGFbetaReceptor'})"
"frozenset({'Q8WU79', 'O14503', 'TGFbetaReceptor'})"
"frozenset({'Q9Y3D9', 'Q8TAP6', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9GZV8', 'Q15022'})"
"frozenset({'Q9H9J2', 'Q9UBC1', 'TGFbetaReceptor'})"
"frozenset({'O60260', 'P07196', 'TGFbetaReceptor'})"
"frozenset({'Q6ZQN5', 'P51608', 'TGFbetaReceptor'})"
"frozenset({'Q96MF7', 'TGFbetaReceptor', 'Q9NXX6'})"
"frozenset({'P17980', 'Q5HYA8', 'TGFbetaReceptor'})"
"frozenset({'Q05397', 'P16234', 'TGFbetaReceptor'})"
"frozenset({'Q5TCZ1', 'P30305', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P63104', 'Q6P597'})"
"frozenset({'P46379', 'Q71DI3', 'TGFbetaReceptor'})"
"frozenset({'Q8IXZ2', 'Q8N5P1', 'TGFbetaReceptor'})"
"frozenset({'Q9NRD1', 'P07339', 'TGFbetaReceptor'})"
"frozenset({'Q14242', 'Q15025', 'TGFbetaReceptor'})"
"frozenset({'Q15560', 'Q8N8K9', 'TGFbetaReceptor'})"
"frozenset({'Q8NEP3', 'P27105', 'TGFbetaReceptor'})"
"frozenset({'P38117', 'O14980', 'TGFbetaReceptor'})"
"frozenset({'P63096', 'Q68DD2', 'TGFbetaReceptor'})"
"frozenset({'P49792', 'P21675', 'TGFbetaReceptor'})"
"frozenset({'P62273', 'TGFbetaReceptor', 'P08865'})"
"frozenset({'O94913', 'P27694', 'TGFbetaReceptor'})"
"frozenset({'P78552', 'TGFbetaReceptor', 'P01568'})"
"frozenset({'P35249', 'P38398', 'TGFbetaReceptor'})"
"frozenset({'Q96GX1', 'Q13636', 'TGFbetaReceptor'})"
"frozenset({'P52747', 'TGFbetaReceptor', 'Q6MZP7'})"
"frozenset({'P08620', 'P35916', 'TGFbetaReceptor'})"
"frozenset({'Q07890', 'P11487', 'TGFbetaReceptor'})"
"frozenset({'Q9UGJ0', 'Q9NP71', 'TGFbetaReceptor'})"
"frozenset({'Q9NSC5', 'O75360', 'TGFbetaReceptor'})"
"frozenset({'P17612', 'Q13185', 'TGFbetaReceptor'})"
"frozenset({'P68133', 'O00159', 'TGFbetaReceptor'})"
"frozenset({'O43597', 'P60411', 'TGFbetaReceptor'})"
"frozenset({'Q8WYN0', 'Q9H0R8', 'TGFbetaReceptor'})"
"frozenset({'Q6Y7W6', 'Q15717', 'TGFbetaReceptor'})"
"frozenset({'P60520', 'Q8WXU2', 'TGFbetaReceptor'})"
"frozenset({'P13569', 'TGFbetaReceptor', 'O94905'})"
"frozenset({'Q9NZL4', 'Q14CS0', 'TGFbetaReceptor'})"
"frozenset({'Q9BY84', 'P28482', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9NY12', 'O15160'})"
"frozenset({'Q9HAU5', 'Q96B26', 'TGFbetaReceptor'})"
"frozenset({'Q13683', 'Q13635', 'TGFbetaReceptor'})"
"frozenset({'Q13425', 'Q96EV8', 'TGFbetaReceptor'})"
"frozenset({'P49736', 'Q9NZL9', 'TGFbetaReceptor'})"
"frozenset({'O95467', 'P01106', 'TGFbetaReceptor'})"
"frozenset({'Q07954', 'P00451', 'TGFbetaReceptor'})"
"frozenset({'O14653', 'Q86VR2', 'TGFbetaReceptor'})"
"frozenset({'O00410', 'Q8WXK1', 'TGFbetaReceptor'})"
"frozenset({'P53618', 'P49755', 'TGFbetaReceptor'})"
"frozenset({'Q9UN86', 'P55072', 'TGFbetaReceptor'})"
"frozenset({'Q07890', 'TGFbetaReceptor', 'P31152'})"
"frozenset({'P63092', 'Q02818', 'TGFbetaReceptor'})"
"frozenset({'P49715', 'P36888', 'TGFbetaReceptor'})"
"frozenset({'Q9UPY6', 'O15511', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q99614', 'Q09161'})"
"frozenset({'TGFbetaReceptor', 'P55040', 'Q96MW5'})"
"frozenset({'O60260', 'Q13242', 'TGFbetaReceptor'})"
"frozenset({'Q15717', 'P29218', 'TGFbetaReceptor'})"
"frozenset({'P25786', 'TGFbetaReceptor', 'Q13177'})"
"frozenset({'P55042', 'P67870', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P25963', 'Q8NBF6'})"
"frozenset({'O43324', 'P41091', 'TGFbetaReceptor'})"
"frozenset({'Q9Y597', 'TGFbetaReceptor', 'Q6ZW31'})"
"frozenset({'TGFbetaReceptor', 'Q14344', 'O14640'})"
"frozenset({'Q9BVA1', 'O43318', 'TGFbetaReceptor'})"
"frozenset({'P16619', 'Q96EQ0', 'TGFbetaReceptor'})"
"frozenset({'Q8TAQ5', 'P42771', 'TGFbetaReceptor'})"
"frozenset({'P60371', 'Q5TA81', 'TGFbetaReceptor'})"
"frozenset({'P39019', 'P63220', 'TGFbetaReceptor'})"
"frozenset({'P82979', 'TGFbetaReceptor', 'Q92665'})"
"frozenset({'P25024', 'P22362', 'TGFbetaReceptor'})"
"frozenset({'Q14653', 'P01571', 'TGFbetaReceptor'})"
"frozenset({'Q9UER7', 'O15350', 'TGFbetaReceptor'})"
"frozenset({'Q6PKC3', 'Q9NRD1', 'TGFbetaReceptor'})"
"frozenset({'Q13315', 'Q5TAX3', 'TGFbetaReceptor'})"
"frozenset({'Q15276', 'Q9NZ32', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P29374', 'Q92769'})"
"frozenset({'Q9Y3T9', 'Q9NVP1', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P09429', 'Q04724'})"
"frozenset({'Q6NUN9', 'O76094', 'TGFbetaReceptor'})"
"frozenset({'P0DP23', 'P02686', 'TGFbetaReceptor'})"
"frozenset({'Q8TBB1', 'TGFbetaReceptor', 'Q8N720'})"
"frozenset({'Q96I15', 'TGFbetaReceptor', 'O75223'})"
"frozenset({'P27694', 'Q01844', 'TGFbetaReceptor'})"
"frozenset({'P62714', 'Q8IYT8', 'TGFbetaReceptor'})"
"frozenset({'Q9NX58', 'Q2NL82', 'TGFbetaReceptor'})"
"frozenset({'Q9P2E9', 'Q12906', 'TGFbetaReceptor'})"
"frozenset({'P26012', 'P02452', 'TGFbetaReceptor'})"
"frozenset({'O00567', 'Q9H4B7', 'TGFbetaReceptor'})"
"frozenset({'Q15311', 'P57105', 'TGFbetaReceptor'})"
"frozenset({'P23284', 'TGFbetaReceptor', 'Q15022'})"
"frozenset({'Q12874', 'P01100', 'TGFbetaReceptor'})"
"frozenset({'P53367', 'Q9Y383', 'TGFbetaReceptor'})"
"frozenset({'P14921', 'P11831', 'TGFbetaReceptor'})"
"frozenset({'P84095', 'Q96HP0', 'TGFbetaReceptor'})"
"frozenset({'P01024', 'TGFbetaReceptor', 'P40337'})"
"frozenset({'Q6A162', 'TGFbetaReceptor', 'P57086'})"
"frozenset({'Q8N5I2', 'Q9BZF3', 'TGFbetaReceptor'})"
"frozenset({'P04181', 'P22392', 'TGFbetaReceptor'})"
"frozenset({'Q8N6T7', 'O75150', 'TGFbetaReceptor'})"
"frozenset({'Q96A72', 'TGFbetaReceptor', 'Q15326'})"
"frozenset({'Q9UNM6', 'P17980', 'TGFbetaReceptor'})"
"frozenset({'Q08495', 'Q9UBU9', 'TGFbetaReceptor'})"
"frozenset({'P04629', 'Q9H3P7', 'TGFbetaReceptor'})"
"frozenset({'O00410', 'P54277', 'TGFbetaReceptor'})"
"frozenset({'Q9UBS5', 'P62879', 'TGFbetaReceptor'})"
"frozenset({'Q15056', 'TGFbetaReceptor', 'P13639'})"
"frozenset({'TGFbetaReceptor', 'Q9H492', 'P08238'})"
"frozenset({'Q86X83', 'Q00653', 'TGFbetaReceptor'})"
"frozenset({'P17612', 'Q8NGY9', 'TGFbetaReceptor'})"
"frozenset({'Q9UER7', 'P35250', 'TGFbetaReceptor'})"
"frozenset({'Q9Y4U1', 'Q99707', 'TGFbetaReceptor'})"
"frozenset({'P62249', 'Q7Z6Z7', 'TGFbetaReceptor'})"
"frozenset({'P62244', 'P13612', 'TGFbetaReceptor'})"
"frozenset({'Q96SQ5', 'P42681', 'TGFbetaReceptor'})"
"frozenset({'P13569', 'P51572', 'TGFbetaReceptor'})"
"frozenset({'Q13077', 'TGFbetaReceptor', 'Q494U1'})"
"frozenset({'TGFbetaReceptor', 'P46940', 'Q9UMR2'})"
"frozenset({'P01857', 'P62258', 'TGFbetaReceptor'})"
"frozenset({'P54920', 'TGFbetaReceptor', 'Q9UEU0'})"
"frozenset({'P0DP23', 'P0DPB3', 'TGFbetaReceptor'})"
"frozenset({'Q14204', 'TGFbetaReceptor', 'Q9C0C2'})"
"frozenset({'TGFbetaReceptor', 'P68032', 'P10916'})"
"frozenset({'P07327', 'Q16836', 'TGFbetaReceptor'})"
"frozenset({'P33992', 'Q969P6', 'TGFbetaReceptor'})"
"frozenset({'Q16539', 'Q12904', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P47756', 'Q6P1J9'})"
"frozenset({'Q6AWC2', 'P63104', 'TGFbetaReceptor'})"
"frozenset({'Q9UI30', 'Q9UKV3', 'TGFbetaReceptor'})"
"frozenset({'P50222', 'O43504', 'TGFbetaReceptor'})"
"frozenset({'Q13469', 'O15160', 'TGFbetaReceptor'})"
"frozenset({'Q96FV9', 'P27694', 'TGFbetaReceptor'})"
"frozenset({'P51178', 'Q15907', 'TGFbetaReceptor'})"
"frozenset({'P30050', 'Q15843', 'TGFbetaReceptor'})"
"frozenset({'Q14525', 'P42566', 'TGFbetaReceptor'})"
"frozenset({'P11441', 'TGFbetaReceptor', 'P13639'})"
"frozenset({'TGFbetaReceptor', 'Q969Q6', 'Q8IZS8'})"
"frozenset({'P04637', 'Q96GM5', 'TGFbetaReceptor'})"
"frozenset({'Q96P09', 'Q13404', 'TGFbetaReceptor'})"
"frozenset({'P26367', 'Q13111', 'TGFbetaReceptor'})"
"frozenset({'P12931', 'P50148', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8IZM9', 'Q96DA0'})"
"frozenset({'P09874', 'O60934', 'TGFbetaReceptor'})"
"frozenset({'O14576', 'TGFbetaReceptor', 'P50570'})"
"frozenset({'Q15717', 'Q9NZI7', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P16150', 'P15311'})"
"frozenset({'P63279', 'P08727', 'TGFbetaReceptor'})"
"frozenset({'P54257', 'TGFbetaReceptor', 'Q08170'})"
"frozenset({'Q9P2G9', 'O95050', 'TGFbetaReceptor'})"
"frozenset({'Q96QK1', 'Q6IN84', 'TGFbetaReceptor'})"
"frozenset({'O15111', 'Q00653', 'TGFbetaReceptor'})"
"frozenset({'P04049', 'P36507', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P55072', 'P17987'})"
"frozenset({'Q03001', 'TGFbetaReceptor', 'P24941'})"
"frozenset({'P27986', 'P26373', 'TGFbetaReceptor'})"
"frozenset({'P15927', 'Q14204', 'TGFbetaReceptor'})"
"frozenset({'Q12888', 'O75122', 'TGFbetaReceptor'})"
"frozenset({'P49450', 'O60610', 'TGFbetaReceptor'})"
"frozenset({'O60547', 'Q96BD8', 'TGFbetaReceptor'})"
"frozenset({'P08138', 'TGFbetaReceptor', 'P46109'})"
"frozenset({'Q6UXB4', 'TGFbetaReceptor', 'P00395'})"
"frozenset({'Q9UKA4', 'TGFbetaReceptor', 'P31323'})"
"frozenset({'P04629', 'Q92945', 'TGFbetaReceptor'})"
"frozenset({'O43639', 'Q8WV28', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96IR7', 'Q5JTV8'})"
"frozenset({'Q86W34', 'Q9P2E3', 'TGFbetaReceptor'})"
"frozenset({'Q7Z4Q2', 'O95274', 'TGFbetaReceptor'})"
"frozenset({'P32121', 'Q15029', 'TGFbetaReceptor'})"
"frozenset({'Q9H3R5', 'Q96NL6', 'TGFbetaReceptor'})"
"frozenset({'P11142', 'P11229', 'TGFbetaReceptor'})"
"frozenset({'O60674', 'TGFbetaReceptor', 'P09919'})"
"frozenset({'P50914', 'P27635', 'TGFbetaReceptor'})"
"frozenset({'Q96CP6', 'Q04771', 'TGFbetaReceptor'})"
"frozenset({'P05014', 'Q9HC73', 'TGFbetaReceptor'})"
"frozenset({'P19404', 'Q9UHD8', 'TGFbetaReceptor'})"
"frozenset({'P62979', 'Q9NZ52', 'TGFbetaReceptor'})"
"frozenset({'O60506', 'Q9Y224', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P56962', 'Q9P253'})"
"frozenset({'Q6A162', 'Q14119', 'TGFbetaReceptor'})"
"frozenset({'Q8IXL6', 'P12259', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q08E93', 'Q99750'})"
"frozenset({'Q9BRP7', 'Q9NXG2', 'TGFbetaReceptor'})"
"frozenset({'Q9GZT8', 'P62714', 'TGFbetaReceptor'})"
"frozenset({'P48736', 'Q9UK08', 'TGFbetaReceptor'})"
"frozenset({'Q00872', 'TGFbetaReceptor', 'Q13326'})"
"frozenset({'Q9Y2D8', 'Q9BSD7', 'TGFbetaReceptor'})"
"frozenset({'Q01196', 'P07333', 'TGFbetaReceptor'})"
"frozenset({'Q92731', 'P36578', 'TGFbetaReceptor'})"
"frozenset({'Q9Y2R2', 'P00533', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O95757', 'P54920'})"
"frozenset({'P46379', 'Q07021', 'TGFbetaReceptor'})"
"frozenset({'O96000', 'P67936', 'TGFbetaReceptor'})"
"frozenset({'Q96J88', 'P61218', 'TGFbetaReceptor'})"
"frozenset({'Q9UM73', 'Q15286', 'TGFbetaReceptor'})"
"frozenset({'Q86WN2', 'P31785', 'TGFbetaReceptor'})"
"frozenset({'P50914', 'Q14684', 'TGFbetaReceptor'})"
"frozenset({'P62993', 'P20963', 'TGFbetaReceptor'})"
"frozenset({'P82912', 'TGFbetaReceptor', 'Q13619'})"
"frozenset({'Q96HE9', 'Q9HCE1', 'TGFbetaReceptor'})"
"frozenset({'Q9BY44', 'P00519', 'TGFbetaReceptor'})"
"frozenset({'P13611', 'P10124', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P20963', 'P31943'})"
"frozenset({'P30530', 'Q06418', 'TGFbetaReceptor'})"
"frozenset({'Q8WVB6', 'P40937', 'TGFbetaReceptor'})"
"frozenset({'Q92731', 'Q9Y2S7', 'TGFbetaReceptor'})"
"frozenset({'Q14643', 'P61586', 'TGFbetaReceptor'})"
"frozenset({'Q6DD87', 'Q99496', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O00170', 'P50750'})"
"frozenset({'Q9H9G7', 'Q58FF6', 'TGFbetaReceptor'})"
"frozenset({'P55072', 'Q9BYE2', 'TGFbetaReceptor'})"
"frozenset({'Q96EB6', 'O15516', 'TGFbetaReceptor'})"
"frozenset({'Q96HW7', 'TGFbetaReceptor', 'O14498'})"
"frozenset({'Q07020', 'O00567', 'TGFbetaReceptor'})"
"frozenset({'Q93052', 'P61960', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P62269', 'P49207'})"
"frozenset({'Q5S007', 'Q9H2K8', 'TGFbetaReceptor'})"
"frozenset({'Q93074', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'Q8NH92', 'Q9P2W3', 'TGFbetaReceptor'})"
"frozenset({'Q6IQ23', 'O94832', 'TGFbetaReceptor'})"
"frozenset({'Q96A65', 'Q96EV8', 'TGFbetaReceptor'})"
"frozenset({'Q8IVT5', 'Q96J01', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9Y4L1', 'Q9H1H9'})"
"frozenset({'Q9H0B3', 'Q9BRK4', 'TGFbetaReceptor'})"
"frozenset({'P16615', 'Q5T3F8', 'TGFbetaReceptor'})"
"frozenset({'P84996', 'O95834', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P68371', 'Q13619'})"
"frozenset({'P16870', 'Q5UIP0', 'TGFbetaReceptor'})"
"frozenset({'Q96I24', 'Q96AE4', 'TGFbetaReceptor'})"
"frozenset({'O60238', 'Q07817', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O00182', 'Q8IZA0'})"
"frozenset({'Q9H0W5', 'Q3ZCQ8', 'TGFbetaReceptor'})"
"frozenset({'Q9UET6', 'TGFbetaReceptor', 'P61254'})"
"frozenset({'O75528', 'P61964', 'TGFbetaReceptor'})"
"frozenset({'Q12905', 'TGFbetaReceptor', 'Q96NB2'})"
"frozenset({'P83731', 'O75530', 'TGFbetaReceptor'})"
"frozenset({'P61964', 'P62807', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q6P1K2', 'Q14194'})"
"frozenset({'TGFbetaReceptor', 'P20618', 'Q9NP55'})"
"frozenset({'Q13428', 'TGFbetaReceptor', 'O95602'})"
"frozenset({'P41743', 'P62993', 'TGFbetaReceptor'})"
"frozenset({'Q3T906', 'P28482', 'TGFbetaReceptor'})"
"frozenset({'P29375', 'TGFbetaReceptor', 'Q05195'})"
"frozenset({'Q9H0E7', 'Q9NP81', 'TGFbetaReceptor'})"
"frozenset({'Q9ULE0', 'Q9Y5J5', 'TGFbetaReceptor'})"
"frozenset({'O75152', 'Q13148', 'TGFbetaReceptor'})"
"frozenset({'Q9Y592', 'Q9NVK5', 'TGFbetaReceptor'})"
"frozenset({'Q5VWZ2', 'Q96NL6', 'TGFbetaReceptor'})"
"frozenset({'Q9H6U8', 'P16104', 'TGFbetaReceptor'})"
"frozenset({'P51148', 'TGFbetaReceptor', 'P40337'})"
