negatives
"frozenset({'Q7Z4V0', 'TGFbetaReceptor', 'Q99750'})"
"frozenset({'Q504Q3', 'P62633', 'TGFbetaReceptor'})"
"frozenset({'Q14197', 'P49748', 'TGFbetaReceptor'})"
"frozenset({'P06493', 'Q9Y6Q9', 'TGFbetaReceptor'})"
"frozenset({'Q9UNS2', 'Q86U86', 'TGFbetaReceptor'})"
"frozenset({'O75369', 'O95466', 'TGFbetaReceptor'})"
"frozenset({'Q9C0C6', 'P67870', 'TGFbetaReceptor'})"
"frozenset({'Q8IV13', 'A8MPP1', 'TGFbetaReceptor'})"
"frozenset({'P62701', 'Q92731', 'TGFbetaReceptor'})"
"frozenset({'P01571', 'P31785', 'TGFbetaReceptor'})"
"frozenset({'O75674', 'P51692', 'TGFbetaReceptor'})"
"frozenset({'Q13501', 'P82933', 'TGFbetaReceptor'})"
"frozenset({'P62140', 'Q9UBN1', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9HCK0', 'Q96KB5'})"
"frozenset({'Q99575', 'P27635', 'TGFbetaReceptor'})"
"frozenset({'P35270', 'TGFbetaReceptor', 'P30086'})"
"frozenset({'Q9UBU8', 'Q6ZRS2', 'TGFbetaReceptor'})"
"frozenset({'P51798', 'Q6NUS6', 'TGFbetaReceptor'})"
"frozenset({'P20851', 'Q9UJW0', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P01574', 'P26992'})"
"frozenset({'P08185', 'P36955', 'TGFbetaReceptor'})"
"frozenset({'P55072', 'O95235', 'TGFbetaReceptor'})"
"frozenset({'P17096', 'P04141', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P0DP25', 'Q9NVR5'})"
"frozenset({'P46379', 'TGFbetaReceptor', 'P24522'})"
"frozenset({'P16152', 'TGFbetaReceptor', 'O60216'})"
"frozenset({'Q96B02', 'Q8N5U6', 'TGFbetaReceptor'})"
"frozenset({'Q07065', 'Q6P5W5', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q92905', 'Q01813'})"
"frozenset({'Q92624', 'Q6P1M9', 'TGFbetaReceptor'})"
"frozenset({'P35346', 'TGFbetaReceptor', 'Q9HD26'})"
"frozenset({'Q15154', 'Q96A65', 'TGFbetaReceptor'})"
