negatives
"frozenset({'P37231', 'P21283', 'Receptor'})"
"frozenset({'Q13145', 'Q9ULW2', 'Receptor'})"
"frozenset({'Receptor', 'P55055', 'P49327'})"
"frozenset({'Q92696', 'P04637', 'Receptor'})"
"frozenset({'P62979', 'Q8IYW5', 'Receptor'})"
"frozenset({'Q15542', 'Q10570', 'Receptor'})"
"frozenset({'Q16543', 'O60938', 'Receptor'})"
"frozenset({'Q9UHD9', 'O95967', 'Receptor'})"
"frozenset({'Q13573', 'Q92878', 'Receptor'})"
"frozenset({'P04629', 'Q99661', 'Receptor'})"
"frozenset({'Q2I0M4', 'Receptor', 'Q14164'})"
"frozenset({'O94992', 'Q15554', 'Receptor'})"
"frozenset({'Q7Z4V0', 'Receptor', 'Q99750'})"
"frozenset({'Q504Q3', 'P62633', 'Receptor'})"
"frozenset({'Q14197', 'P49748', 'Receptor'})"
"frozenset({'P06493', 'Q9Y6Q9', 'Receptor'})"
"frozenset({'Q9UNS2', 'Q86U86', 'Receptor'})"
"frozenset({'O75369', 'O95466', 'Receptor'})"
"frozenset({'Q9C0C6', 'P67870', 'Receptor'})"
"frozenset({'Q8IV13', 'A8MPP1', 'Receptor'})"
"frozenset({'P62701', 'Q92731', 'Receptor'})"
"frozenset({'P01571', 'P31785', 'Receptor'})"
"frozenset({'O75674', 'P51692', 'Receptor'})"
"frozenset({'Q13501', 'P82933', 'Receptor'})"
"frozenset({'P62140', 'Q9UBN1', 'Receptor'})"
"frozenset({'Receptor', 'Q9HCK0', 'Q96KB5'})"
"frozenset({'Q99575', 'P27635', 'Receptor'})"
"frozenset({'P35270', 'Receptor', 'P30086'})"
"frozenset({'Q9UBU8', 'Q6ZRS2', 'Receptor'})"
"frozenset({'P51798', 'Q6NUS6', 'Receptor'})"
"frozenset({'P20851', 'Q9UJW0', 'Receptor'})"
"frozenset({'Receptor', 'P01574', 'P26992'})"
"frozenset({'P08185', 'P36955', 'Receptor'})"
"frozenset({'P55072', 'O95235', 'Receptor'})"
"frozenset({'P17096', 'P04141', 'Receptor'})"
"frozenset({'Receptor', 'P0DP25', 'Q9NVR5'})"
"frozenset({'P46379', 'Receptor', 'P24522'})"
"frozenset({'P16152', 'Receptor', 'O60216'})"
"frozenset({'Q96B02', 'Q8N5U6', 'Receptor'})"
"frozenset({'Q07065', 'Q6P5W5', 'Receptor'})"
"frozenset({'Receptor', 'Q92905', 'Q01813'})"
"frozenset({'Q92624', 'Q6P1M9', 'Receptor'})"
"frozenset({'P35346', 'Receptor', 'Q9HD26'})"
"frozenset({'Q15154', 'Q96A65', 'Receptor'})"
"frozenset({'A0JLT2', 'P17480', 'Receptor'})"
"frozenset({'Q9HAH7', 'P61962', 'Receptor'})"
"frozenset({'Q14498', 'P27694', 'Receptor'})"
"frozenset({'Receptor', 'Q05516', 'Q92769'})"
"frozenset({'P19784', 'Q99496', 'Receptor'})"
"frozenset({'Q8NCE0', 'Q13315', 'Receptor'})"
"frozenset({'Q15717', 'Receptor', 'Q13177'})"
"frozenset({'Q9Y277', 'P48047', 'Receptor'})"
"frozenset({'P42677', 'Receptor', 'P18077'})"
"frozenset({'P30793', 'Receptor', 'O95433'})"
