negatives
"frozenset({'P61769', 'P46379', 'TWEAK'})"
"frozenset({'Q9NYL9', 'Q9H0W5', 'TWEAK'})"
"frozenset({'O43847', 'Q9BS26', 'TWEAK'})"
"frozenset({'P40933', 'P00533', 'TWEAK'})"
"frozenset({'P02654', 'TWEAK', 'P01857'})"
"frozenset({'P36508', 'TWEAK', 'Q15717'})"
"frozenset({'O60336', 'Q9BQ66', 'TWEAK'})"
"frozenset({'Q13042', 'TWEAK', 'P61201'})"
"frozenset({'Q14155', 'TWEAK', 'P01106'})"
"frozenset({'P07333', 'P62993', 'TWEAK'})"
"frozenset({'Q7Z2E3', 'TWEAK', 'Q9P1Z2'})"
"frozenset({'P78527', 'TWEAK', 'Q9NRF8'})"
"frozenset({'Q9UMS4', 'TWEAK', 'Q9UBU9'})"
"frozenset({'Q99571', 'TWEAK', 'Q7Z3S9'})"
"frozenset({'P33316', 'P63173', 'TWEAK'})"
"frozenset({'P98160', 'TWEAK', 'P15692'})"
"frozenset({'Q69YQ0', 'TWEAK', 'Q9H668'})"
"frozenset({'Q9UPM9', 'P49368', 'TWEAK'})"
"frozenset({'P15927', 'P62736', 'TWEAK'})"
"frozenset({'P52952', 'Q8IUC2', 'TWEAK'})"
"frozenset({'Q9GZV9', 'Q8IXL6', 'TWEAK'})"
"frozenset({'P38405', 'Q13607', 'TWEAK'})"
"frozenset({'P27361', 'TWEAK', 'Q02750'})"
"frozenset({'P49411', 'TWEAK', 'Q6NUN9'})"
"frozenset({'P62266', 'P05141', 'TWEAK'})"
"frozenset({'Q9UQ80', 'TWEAK', 'P62917'})"
"frozenset({'P46531', 'TWEAK', 'Q92585'})"
"frozenset({'Q8N1K5', 'P31146', 'TWEAK'})"
"frozenset({'Q13485', 'TWEAK', 'Q9NRA8'})"
"frozenset({'Q16181', 'TWEAK', 'P37108'})"
"frozenset({'O14519', 'TWEAK', 'Q9BTC8'})"
"frozenset({'Q16520', 'TWEAK', 'P53567'})"
"frozenset({'Q5T2D2', 'Q9Y2K1', 'TWEAK'})"
"frozenset({'P68431', 'Q9NPG3', 'TWEAK'})"
"frozenset({'Q14643', 'TWEAK', 'A8MW95'})"
"frozenset({'Q96HJ5', 'TWEAK', 'O95159'})"
"frozenset({'O75293', 'Q04206', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9Y277', 'Q8N5M9'})"
"frozenset({'P18146', 'TWEAK', 'Q00577'})"
"frozenset({'Q9NZH0', 'Q92633', 'TWEAK'})"
"frozenset({'P35498', 'TWEAK', 'O14775'})"
"frozenset({'Q8WXA9', 'TWEAK', 'Q08170'})"
"frozenset({'TWEAK', 'Q14781', 'O95503'})"
"frozenset({'Q9UMX0', 'Q86VU5', 'TWEAK'})"
"frozenset({'Q16695', 'TWEAK', 'Q6NUN9'})"
"frozenset({'TWEAK', 'P04899', 'Q9NQ66'})"
"frozenset({'Q04864', 'P54253', 'TWEAK'})"
"frozenset({'Q8WV93', 'O94760', 'TWEAK'})"
"frozenset({'O14976', 'P11142', 'TWEAK'})"
"frozenset({'O00626', 'P32302', 'TWEAK'})"
"frozenset({'O95425', 'TWEAK', 'Q16666'})"
"frozenset({'P51570', 'TWEAK', 'Q9Y468'})"
"frozenset({'P27695', 'TWEAK', 'O43390'})"
"frozenset({'TWEAK', 'Q99496', 'Q86SE9'})"
"frozenset({'P63104', 'Q7KZI7', 'TWEAK'})"
"frozenset({'Q8NHW5', 'TWEAK', 'Q02543'})"
"frozenset({'Q14999', 'TWEAK', 'Q9UFC0'})"
"frozenset({'Q9NRC8', 'P04844', 'TWEAK'})"
"frozenset({'O14764', 'Q9H0R8', 'TWEAK'})"
"frozenset({'Q6L8H2', 'Q9BYQ3', 'TWEAK'})"
"frozenset({'O94906', 'Q15637', 'TWEAK'})"
"frozenset({'Q96F85', 'Q9NXV2', 'TWEAK'})"
"frozenset({'A6NEM1', 'Q9BRR0', 'TWEAK'})"
"frozenset({'P05412', 'P06733', 'TWEAK'})"
"frozenset({'Q8WXA9', 'TWEAK', 'Q15717'})"
"frozenset({'P42892', 'Q9H3Z4', 'TWEAK'})"
"frozenset({'P61764', 'TWEAK', 'P34896'})"
"frozenset({'P78396', 'Q14566', 'TWEAK'})"
"frozenset({'Q9Y576', 'P35613', 'TWEAK'})"
"frozenset({'Q9BQE6', 'Q13535', 'TWEAK'})"
"frozenset({'P04629', 'TWEAK', 'Q9Y6C9'})"
"frozenset({'P22392', 'Q00613', 'TWEAK'})"
"frozenset({'Q9NWB7', 'TWEAK', 'Q8TD43'})"
"frozenset({'P22612', 'TWEAK', 'P16220'})"
"frozenset({'Q13547', 'Q5VT25', 'TWEAK'})"
"frozenset({'Q9NP71', 'P17612', 'TWEAK'})"
"frozenset({'P48995', 'Q03135', 'TWEAK'})"
"frozenset({'TWEAK', 'P20963', 'O95433'})"
"frozenset({'Q8WUH2', 'TWEAK', 'P36894'})"
"frozenset({'Q8IVT5', 'TWEAK', 'O15372'})"
"frozenset({'Q9Y6D9', 'TWEAK', 'O14777'})"
"frozenset({'P62269', 'TWEAK', 'P42766'})"
"frozenset({'Q8IWV8', 'TWEAK', 'Q96S66'})"
"frozenset({'Q9UNY4', 'Q9UPN7', 'TWEAK'})"
"frozenset({'P30042', 'P56381', 'TWEAK'})"
"frozenset({'O14908', 'P08648', 'TWEAK'})"
"frozenset({'Q5VTR2', 'P51965', 'TWEAK'})"
"frozenset({'P0DPB5', 'TWEAK', 'Q9H1D9'})"
"frozenset({'Q9NVK5', 'TWEAK', 'Q8NBT0'})"
"frozenset({'P17655', 'TWEAK', 'P62304'})"
"frozenset({'O43493', 'P63010', 'TWEAK'})"
"frozenset({'P48426', 'Q9BUQ8', 'TWEAK'})"
"frozenset({'Q9Y6X2', 'P63000', 'TWEAK'})"
"frozenset({'P07864', 'P78362', 'TWEAK'})"
"frozenset({'P98077', 'TWEAK', 'P43403'})"
"frozenset({'P11509', 'P00167', 'TWEAK'})"
"frozenset({'Q03468', 'Q15843', 'TWEAK'})"
"frozenset({'P15531', 'P51116', 'TWEAK'})"
"frozenset({'Q9NR28', 'Q96CA5', 'TWEAK'})"
"frozenset({'P16333', 'TWEAK', 'P29074'})"
"frozenset({'P63261', 'TWEAK', 'Q9NYJ8'})"
"frozenset({'Q70IA8', 'Q15025', 'TWEAK'})"
"frozenset({'Q9Y5V3', 'Q9UNF1', 'TWEAK'})"
"frozenset({'P27348', 'Q8IV61', 'TWEAK'})"
"frozenset({'Q16566', 'TWEAK', 'P15336'})"
"frozenset({'Q8NHL6', 'P18465', 'TWEAK'})"
"frozenset({'Q9BV38', 'Q8IZL8', 'TWEAK'})"
"frozenset({'P00519', 'P15391', 'TWEAK'})"
"frozenset({'P04908', 'Q13619', 'TWEAK'})"
"frozenset({'O75529', 'TWEAK', 'P02766'})"
"frozenset({'P05067', 'Q8N365', 'TWEAK'})"
"frozenset({'Q96EY5', 'P53367', 'TWEAK'})"
"frozenset({'Q96R67', 'TWEAK', 'O60262'})"
"frozenset({'O95347', 'Q9BZS1', 'TWEAK'})"
"frozenset({'Q16526', 'TWEAK', 'P62714'})"
"frozenset({'TWEAK', 'Q8IU57', 'Q9HBE4'})"
"frozenset({'O95104', 'O95292', 'TWEAK'})"
"frozenset({'Q13748', 'Q8NCM8', 'TWEAK'})"
