negatives
"frozenset({'Q9UL62', 'Q93045', 'TNFalpha'})"
"frozenset({'P03372', 'TNFalpha', 'P28356'})"
"frozenset({'Q9BZJ0', 'P04792', 'TNFalpha'})"
"frozenset({'P20929', 'P0DP23', 'TNFalpha'})"
"frozenset({'P55795', 'Q8IXT5', 'TNFalpha'})"
"frozenset({'Q9Y573', 'TNFalpha', 'Q9Y2M5'})"
"frozenset({'Q8WUU5', 'TNFalpha', 'Q9NWB1'})"
"frozenset({'P09471', 'Q14832', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9Y2K1', 'P12004'})"
"frozenset({'Q9P2B2', 'Q9HAT2', 'TNFalpha'})"
"frozenset({'Q9Y478', 'TNFalpha', 'P62993'})"
"frozenset({'P25789', 'TNFalpha', 'Q53H96'})"
"frozenset({'Q96CS3', 'TNFalpha', 'Q96RL7'})"
"frozenset({'Q13416', 'P12956', 'TNFalpha'})"
"frozenset({'P30085', 'Q9NQR4', 'TNFalpha'})"
"frozenset({'Q14197', 'TNFalpha', 'Q02978'})"
"frozenset({'P42677', 'TNFalpha', 'P40337'})"
"frozenset({'O43181', 'P41219', 'TNFalpha'})"
"frozenset({'Q96MF6', 'TNFalpha', 'O75439'})"
"frozenset({'P56545', 'TNFalpha', 'P15884'})"
"frozenset({'P61221', 'TNFalpha', 'Q8WWM7'})"
"frozenset({'Q9BRK4', 'Q494U1', 'TNFalpha'})"
"frozenset({'P36956', 'Q09472', 'TNFalpha'})"
"frozenset({'Q9BQ66', 'Q5TA79', 'TNFalpha'})"
"frozenset({'P52298', 'TNFalpha', 'Q15428'})"
"frozenset({'Q96DU9', 'TNFalpha', 'Q9UFF9'})"
"frozenset({'Q6MZP7', 'Q52LA3', 'TNFalpha'})"
"frozenset({'P09601', 'Q9NUX5', 'TNFalpha'})"
"frozenset({'Q99684', 'O95376', 'TNFalpha'})"
"frozenset({'P10070', 'TNFalpha', 'P08887'})"
"frozenset({'Q8IYB7', 'TNFalpha', 'O00257'})"
"frozenset({'Q12805', 'TNFalpha', 'Q9UHD9'})"
"frozenset({'Q9Y2D8', 'Q9NW38', 'TNFalpha'})"
"frozenset({'Q01844', 'P0CG13', 'TNFalpha'})"
"frozenset({'Q68E01', 'Q13404', 'TNFalpha'})"
"frozenset({'Q08211', 'Q01130', 'TNFalpha'})"
"frozenset({'O95071', 'P49716', 'TNFalpha'})"
"frozenset({'P13598', 'Q9NP72', 'TNFalpha'})"
"frozenset({'Q9P286', 'P54727', 'TNFalpha'})"
"frozenset({'Q8IVT5', 'Q14966', 'TNFalpha'})"
"frozenset({'P68431', 'TNFalpha', 'Q8IX03'})"
"frozenset({'Q92560', 'Q13404', 'TNFalpha'})"
"frozenset({'Q8N448', 'TNFalpha', 'O94827'})"
"frozenset({'Q96SB3', 'P38398', 'TNFalpha'})"
"frozenset({'P62841', 'TNFalpha', 'Q93050'})"
"frozenset({'P62851', 'P35544', 'TNFalpha'})"
"frozenset({'Q6PKC3', 'TNFalpha', 'Q99784'})"
"frozenset({'TNFalpha', 'P31689', 'Q9UM11'})"
"frozenset({'Q6P5W5', 'Q9UEU0', 'TNFalpha'})"
"frozenset({'Q7L2E3', 'Q92905', 'TNFalpha'})"
"frozenset({'Q9Y478', 'TNFalpha', 'P08559'})"
"frozenset({'Q96ST3', 'P85037', 'TNFalpha'})"
"frozenset({'Q6PH81', 'TNFalpha', 'Q92769'})"
"frozenset({'P26371', 'P50747', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q7KZ85', 'Q86WV1'})"
"frozenset({'P12931', 'O43150', 'TNFalpha'})"
"frozenset({'Q9H9D4', 'TNFalpha', 'Q15415'})"
"frozenset({'Q9UKV5', 'Q92890', 'TNFalpha'})"
"frozenset({'O14980', 'Q96AP0', 'TNFalpha'})"
"frozenset({'Q08E93', 'TNFalpha', 'Q6A162'})"
"frozenset({'Q05655', 'Q9Y4H2', 'TNFalpha'})"
"frozenset({'Q9BWH6', 'TNFalpha', 'Q9HCH5'})"
"frozenset({'Q9UMX0', 'Q8WXS4', 'TNFalpha'})"
"frozenset({'P07550', 'P17612', 'TNFalpha'})"
"frozenset({'P08253', 'P02462', 'TNFalpha'})"
"frozenset({'Q05513', 'Q12933', 'TNFalpha'})"
"frozenset({'O75147', 'O00567', 'TNFalpha'})"
"frozenset({'Q12778', 'Q09472', 'TNFalpha'})"
"frozenset({'Q96EB6', 'Q13573', 'TNFalpha'})"
"frozenset({'O15492', 'P04899', 'TNFalpha'})"
"frozenset({'Q9Y587', 'TNFalpha', 'O60308'})"
"frozenset({'Q8TDS5', 'Q3LI72', 'TNFalpha'})"
"frozenset({'Q53H47', 'TNFalpha', 'P11388'})"
"frozenset({'P00519', 'TNFalpha', 'P30876'})"
"frozenset({'TNFalpha', 'P03971', 'Q96NC0'})"
"frozenset({'Q9NP71', 'TNFalpha', 'O15294'})"
"frozenset({'O60573', 'TNFalpha', 'Q7Z6G3'})"
"frozenset({'Q01844', 'TNFalpha', 'Q8NDD1'})"
"frozenset({'TNFalpha', 'P0DMV9', 'Q16526'})"
"frozenset({'Q13490', 'Q9NP84', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P48059', 'P04818'})"
"frozenset({'P62899', 'TNFalpha', 'P52272'})"
"frozenset({'TNFalpha', 'Q86UW9', 'Q494R0'})"
"frozenset({'Q9BYG5', 'TNFalpha', 'Q15147'})"
"frozenset({'Q92905', 'P82914', 'TNFalpha'})"
"frozenset({'Q13895', 'O14787', 'TNFalpha'})"
"frozenset({'Q9H4K1', 'TNFalpha', 'Q7L5N1'})"
"frozenset({'Q9NRC8', 'P42696', 'TNFalpha'})"
"frozenset({'P62910', 'P63173', 'TNFalpha'})"
"frozenset({'P68133', 'P78371', 'TNFalpha'})"
"frozenset({'Q13164', 'P11021', 'TNFalpha'})"
"frozenset({'P35611', 'TNFalpha', 'P63172'})"
"frozenset({'O60907', 'TNFalpha', 'Q6STE5'})"
"frozenset({'Q8N0Z3', 'TNFalpha', 'Q4VCS5'})"
"frozenset({'Q9H213', 'O15535', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P09651', 'Q9UHD9'})"
"frozenset({'Q07065', 'TNFalpha', 'Q15717'})"
"frozenset({'O60684', 'TNFalpha', 'Q9UKX7'})"
"frozenset({'Q05086', 'TNFalpha', 'P04278'})"
"frozenset({'P02654', 'P02652', 'TNFalpha'})"
"frozenset({'Q9UER7', 'TNFalpha', 'P15884'})"
"frozenset({'P07949', 'Q99523', 'TNFalpha'})"
"frozenset({'Q8IWL3', 'TNFalpha', 'Q9Y3D0'})"
"frozenset({'P05106', 'TNFalpha', 'O15335'})"
"frozenset({'Q13885', 'Q8TDR0', 'TNFalpha'})"
"frozenset({'P46063', 'TNFalpha', 'Q6ZQN5'})"
"frozenset({'Q15834', 'Q12929', 'TNFalpha'})"
"frozenset({'Q15834', 'TNFalpha', 'O95990'})"
"frozenset({'TNFalpha', 'P82979', 'Q92733'})"
"frozenset({'Q06830', 'Q92905', 'TNFalpha'})"
"frozenset({'P63098', 'O94916', 'TNFalpha'})"
"frozenset({'Q14103', 'TNFalpha', 'P09913'})"
"frozenset({'P19883', 'Q05655', 'TNFalpha'})"
"frozenset({'Q07869', 'Q5VT06', 'TNFalpha'})"
"frozenset({'O43809', 'TNFalpha', 'P04222'})"
"frozenset({'Q13191', 'Q8N6P7', 'TNFalpha'})"
"frozenset({'P27694', 'Q14008', 'TNFalpha'})"
"frozenset({'P50452', 'Q9H993', 'TNFalpha'})"
"frozenset({'P86480', 'P78424', 'TNFalpha'})"
"frozenset({'P00519', 'Q9NZQ3', 'TNFalpha'})"
"frozenset({'Q16659', 'TNFalpha', 'P43686'})"
"frozenset({'Q16665', 'TNFalpha', 'P51532'})"
"frozenset({'O75147', 'TNFalpha', 'Q99459'})"
"frozenset({'Q9ULR0', 'Q9Y5U2', 'TNFalpha'})"
"frozenset({'Q96L92', 'TNFalpha', 'Q9NS23'})"
"frozenset({'Q8NC26', 'P30154', 'TNFalpha'})"
"frozenset({'Q00839', 'TNFalpha', 'Q96NY9'})"
"frozenset({'Q504Q3', 'TNFalpha', 'Q8N339'})"
"frozenset({'P19419', 'Q01844', 'TNFalpha'})"
"frozenset({'P55211', 'Q9BUK6', 'TNFalpha'})"
"frozenset({'P51665', 'TNFalpha', 'O15265'})"
"frozenset({'P01566', 'TNFalpha', 'P42701'})"
"frozenset({'P49336', 'O95402', 'TNFalpha'})"
"frozenset({'Q96I15', 'P12277', 'TNFalpha'})"
"frozenset({'P38432', 'Q9H6A0', 'TNFalpha'})"
"frozenset({'TNFalpha', 'A6H8Y1', 'P20226'})"
"frozenset({'P40238', 'TNFalpha', 'Q05516'})"
"frozenset({'Q3SYB3', 'TNFalpha', 'P08238'})"
"frozenset({'Q03001', 'TNFalpha', 'Q9NPJ6'})"
"frozenset({'Q8NGJ5', 'P25098', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13185', 'O75556'})"
"frozenset({'Q15915', 'TNFalpha', 'Q8IUC2'})"
"frozenset({'Q9BQE3', 'Q01650', 'TNFalpha'})"
"frozenset({'P08069', 'TNFalpha', 'P46934'})"
"frozenset({'Q8TDM0', 'TNFalpha', 'P78537'})"
"frozenset({'Q92905', 'P04843', 'TNFalpha'})"
"frozenset({'P28290', 'P61221', 'TNFalpha'})"
"frozenset({'O95754', 'P79483', 'TNFalpha'})"
"frozenset({'O43422', 'Q13217', 'TNFalpha'})"
"frozenset({'O95429', 'TNFalpha', 'Q14990'})"
"frozenset({'Q9P2E2', 'Q02410', 'TNFalpha'})"
"frozenset({'Q15788', 'O95342', 'TNFalpha'})"
"frozenset({'Q05397', 'TNFalpha', 'P07996'})"
"frozenset({'Q16665', 'Q9BY76', 'TNFalpha'})"
"frozenset({'P55196', 'TNFalpha', 'Q9BRA0'})"
"frozenset({'Q8TAK6', 'TNFalpha', 'P62993'})"
"frozenset({'P49407', 'O00443', 'TNFalpha'})"
"frozenset({'Q9NRD5', 'P51451', 'TNFalpha'})"
"frozenset({'O95503', 'Q9HC52', 'TNFalpha'})"
"frozenset({'Q13045', 'TNFalpha', 'P62140'})"
"frozenset({'Q6PJW8', 'TNFalpha', 'P29033'})"
"frozenset({'P62136', 'TNFalpha', 'Q96EK5'})"
"frozenset({'Q9BRI3', 'TNFalpha', 'Q04756'})"
"frozenset({'Q8WWB5', 'TNFalpha', 'Q8IVW4'})"
"frozenset({'Q9H2G2', 'Q9UJT2', 'TNFalpha'})"
"frozenset({'Q96F44', 'Q13404', 'TNFalpha'})"
"frozenset({'Q9NZC7', 'Q7L576', 'TNFalpha'})"
"frozenset({'P40763', 'TNFalpha', 'Q8IZS5'})"
"frozenset({'Q9Y5K6', 'TNFalpha', 'Q9NP85'})"
"frozenset({'Q92905', 'O43684', 'TNFalpha'})"
"frozenset({'O15379', 'TNFalpha', 'Q92831'})"
"frozenset({'Q9P215', 'TNFalpha', 'P08238'})"
"frozenset({'TNFalpha', 'P07437', 'P51911'})"
"frozenset({'P56524', 'Q8IUE6', 'TNFalpha'})"
"frozenset({'O00267', 'Q9H3P2', 'TNFalpha'})"
"frozenset({'P35659', 'TNFalpha', 'P24941'})"
"frozenset({'O75964', 'Q9BQE3', 'TNFalpha'})"
"frozenset({'Q96B26', 'Q9GZX7', 'TNFalpha'})"
"frozenset({'P19838', 'TNFalpha', 'P01876'})"
"frozenset({'Q6Y7W6', 'Q9NTZ6', 'TNFalpha'})"
"frozenset({'P17612', 'TNFalpha', 'Q86UN6'})"
"frozenset({'P04350', 'TNFalpha', 'Q9NYJ8'})"
"frozenset({'Q59EK9', 'TNFalpha', 'P62834'})"
"frozenset({'Q9BYU1', 'O43639', 'TNFalpha'})"
"frozenset({'Q92731', 'Q8N9T8', 'TNFalpha'})"
"frozenset({'Q8NC51', 'TNFalpha', 'P51808'})"
"frozenset({'P29965', 'Q13489', 'TNFalpha'})"
"frozenset({'O75446', 'Q4LE39', 'TNFalpha'})"
"frozenset({'P09619', 'TNFalpha', 'P46934'})"
"frozenset({'P53350', 'Q9UKA1', 'TNFalpha'})"
"frozenset({'O14640', 'O60353', 'TNFalpha'})"
"frozenset({'Q13323', 'TNFalpha', 'Q96FZ5'})"
"frozenset({'O00165', 'TNFalpha', 'P62877'})"
"frozenset({'P60228', 'TNFalpha', 'Q14980'})"
"frozenset({'P49257', 'TNFalpha', 'Q9H2M9'})"
"frozenset({'P18077', 'TNFalpha', 'P36578'})"
"frozenset({'Q8WV44', 'Q9GZV8', 'TNFalpha'})"
"frozenset({'Q9BXJ9', 'TNFalpha', 'P01889'})"
"frozenset({'Q00536', 'TNFalpha', 'O95544'})"
"frozenset({'P62820', 'P61019', 'TNFalpha'})"
"frozenset({'Q92917', 'TNFalpha', 'A6NLX3'})"
"frozenset({'Q9H2Y7', 'TNFalpha', 'P29692'})"
"frozenset({'Q04864', 'Q5JVL4', 'TNFalpha'})"
"frozenset({'O14640', 'TNFalpha', 'P49674'})"
"frozenset({'Q53G59', 'TNFalpha', 'P63279'})"
"frozenset({'TNFalpha', 'O95157', 'P16333'})"
"frozenset({'P52292', 'TNFalpha', 'P24941'})"
"frozenset({'Q16629', 'Q9Y383', 'TNFalpha'})"
"frozenset({'Q15424', 'TNFalpha', 'Q9UKV3'})"
"frozenset({'P25786', 'TNFalpha', 'P63208'})"
"frozenset({'P35544', 'TNFalpha', 'P62701'})"
"frozenset({'Q8NCM8', 'TNFalpha', 'Q9BUF5'})"
"frozenset({'Q9NRC8', 'TNFalpha', 'O75592'})"
"frozenset({'P06400', 'P09467', 'TNFalpha'})"
"frozenset({'Q16537', 'TNFalpha', 'Q8TBZ6'})"
"frozenset({'P53602', 'TNFalpha', 'P06493'})"
"frozenset({'P04626', 'Q9GZP0', 'TNFalpha'})"
"frozenset({'Q96IZ5', 'TNFalpha', 'P60763'})"
"frozenset({'Q9UPP1', 'TNFalpha', 'P19387'})"
"frozenset({'O14980', 'Q9BRX2', 'TNFalpha'})"
"frozenset({'Q96GG9', 'TNFalpha', 'Q9HCM9'})"
"frozenset({'Q8IWA0', 'P41218', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P48378', 'Q6P1W5'})"
"frozenset({'Q16540', 'TNFalpha', 'Q8WXI3'})"
"frozenset({'P31152', 'TNFalpha', 'P01225'})"
"frozenset({'TNFalpha', 'P09874', 'P24941'})"
"frozenset({'O43175', 'Q07955', 'TNFalpha'})"
"frozenset({'Q8NFG4', 'P09467', 'TNFalpha'})"
"frozenset({'Q13618', 'P46821', 'TNFalpha'})"
"frozenset({'O60508', 'TNFalpha', 'Q9UMS4'})"
"frozenset({'Q6UY14', 'Q9UJV3', 'TNFalpha'})"
"frozenset({'Q12965', 'TNFalpha', 'Q15691'})"
"frozenset({'P36776', 'TNFalpha', 'P25788'})"
"frozenset({'TNFalpha', 'O00214', 'Q9NQS3'})"
"frozenset({'Q99755', 'Q9HDB5', 'TNFalpha'})"
"frozenset({'P04637', 'TNFalpha', 'Q9UQL6'})"
"frozenset({'P53350', 'Q96FF9', 'TNFalpha'})"
"frozenset({'Q9NP81', 'TNFalpha', 'P62877'})"
"frozenset({'Q16659', 'TNFalpha', 'Q7L5N1'})"
"frozenset({'P07900', 'P63261', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9HD33', 'Q9BQ48'})"
"frozenset({'Q13131', 'TNFalpha', 'Q13451'})"
"frozenset({'Q9NVR5', 'P37840', 'TNFalpha'})"
"frozenset({'O95402', 'TNFalpha', 'P0DMV8'})"
"frozenset({'Q92560', 'Q9C0C9', 'TNFalpha'})"
"frozenset({'Q9NRD5', 'TNFalpha', 'Q8TAU3'})"
"frozenset({'Q13873', 'P22004', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P09884', 'P25205'})"
"frozenset({'P78406', 'TNFalpha', 'Q92621'})"
"frozenset({'TNFalpha', 'Q13617', 'P07437'})"
"frozenset({'TNFalpha', 'Q13309', 'Q13098'})"
"frozenset({'P25054', 'TNFalpha', 'P52948'})"
"frozenset({'Q92793', 'TNFalpha', 'P30281'})"
"frozenset({'P13667', 'P30101', 'TNFalpha'})"
"frozenset({'P35244', 'Q12905', 'TNFalpha'})"
"frozenset({'Q99496', 'TNFalpha', 'Q9Y678'})"
"frozenset({'P05455', 'TNFalpha', 'O00429'})"
"frozenset({'P04899', 'TNFalpha', 'P01116'})"
"frozenset({'Q07889', 'Q16695', 'TNFalpha'})"
"frozenset({'Q15013', 'Q562F6', 'TNFalpha'})"
"frozenset({'O00750', 'P27986', 'TNFalpha'})"
"frozenset({'P01106', 'TNFalpha', 'Q15233'})"
"frozenset({'Q10589', 'TNFalpha', 'Q9NYJ8'})"
"frozenset({'TNFalpha', 'Q08357', 'P43088'})"
"frozenset({'Q9H5I1', 'TNFalpha', 'Q02363'})"
"frozenset({'P00533', 'O43147', 'TNFalpha'})"
"frozenset({'Q96SB4', 'TNFalpha', 'Q15651'})"
"frozenset({'P12814', 'O75604', 'TNFalpha'})"
"frozenset({'Q13042', 'Q9UPN9', 'TNFalpha'})"
"frozenset({'Q9UKM9', 'Q08211', 'TNFalpha'})"
"frozenset({'Q8WV28', 'TNFalpha', 'Q9Y490'})"
"frozenset({'Q9UHA4', 'Q9HD33', 'TNFalpha'})"
"frozenset({'O15446', 'P61218', 'TNFalpha'})"
"frozenset({'Q9BTE1', 'TNFalpha', 'Q16643'})"
"frozenset({'Q6ZVT0', 'TNFalpha', 'Q9ULU8'})"
"frozenset({'TNFalpha', 'O43324', 'Q9NPJ6'})"
"frozenset({'Q13363', 'TNFalpha', 'Q15554'})"
"frozenset({'Q05655', 'TNFalpha', 'P31946'})"
"frozenset({'Q13753', 'Q16787', 'TNFalpha'})"
"frozenset({'P14415', 'TNFalpha', 'P62241'})"
"frozenset({'O43463', 'P50991', 'TNFalpha'})"
"frozenset({'O14640', 'TNFalpha', 'P43246'})"
"frozenset({'TNFalpha', 'Q9H4G1', 'O15244'})"
"frozenset({'TNFalpha', 'P86481', 'Q7Z3K3'})"
"frozenset({'Q9HBZ2', 'Q9BYM8', 'TNFalpha'})"
"frozenset({'P05412', 'Q9HD23', 'TNFalpha'})"
"frozenset({'P61244', 'TNFalpha', 'O60264'})"
"frozenset({'Q15907', 'Q00610', 'TNFalpha'})"
"frozenset({'P22612', 'TNFalpha', 'P50150'})"
"frozenset({'TNFalpha', 'O00501', 'P56747'})"
"frozenset({'O00267', 'Q14697', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O43927', 'P32302'})"
"frozenset({'Q16827', 'TNFalpha', 'O15031'})"
"frozenset({'O94992', 'Q8WWV3', 'TNFalpha'})"
"frozenset({'Q00994', 'TNFalpha', 'Q13515'})"
"frozenset({'Q969J5', 'P01568', 'TNFalpha'})"
"frozenset({'Q6UUV7', 'TNFalpha', 'P15336'})"
"frozenset({'P15927', 'TNFalpha', 'Q93009'})"
"frozenset({'Q6ZU80', 'TNFalpha', 'Q86V97'})"
"frozenset({'Q92837', 'O14640', 'TNFalpha'})"
"frozenset({'P62987', 'Q8N3F0', 'TNFalpha'})"
"frozenset({'P68032', 'P49736', 'TNFalpha'})"
"frozenset({'P07288', 'Q9Y3R0', 'TNFalpha'})"
"frozenset({'Q96CW1', 'Q16526', 'TNFalpha'})"
"frozenset({'P62805', 'P49736', 'TNFalpha'})"
"frozenset({'P60369', 'Q969P0', 'TNFalpha'})"
"frozenset({'Q9BZ95', 'O75177', 'TNFalpha'})"
"frozenset({'O00716', 'TNFalpha', 'P09874'})"
"frozenset({'Q8WWC4', 'TNFalpha', 'O75306'})"
"frozenset({'P27694', 'TNFalpha', 'Q5T8P6'})"
"frozenset({'P07307', 'TNFalpha', 'Q8WVP7'})"
"frozenset({'Q8IX12', 'Q15287', 'TNFalpha'})"
"frozenset({'Q93079', 'Q96QV6', 'TNFalpha'})"
"frozenset({'Q9H0E2', 'Q9NR28', 'TNFalpha'})"
"frozenset({'O43166', 'TNFalpha', 'O75420'})"
"frozenset({'P19320', 'Q13155', 'TNFalpha'})"
"frozenset({'Q9HAV4', 'TNFalpha', 'Q14164'})"
"frozenset({'P02452', 'TNFalpha', 'P08123'})"
"frozenset({'P05120', 'P05067', 'TNFalpha'})"
"frozenset({'Q9UPY3', 'Q8WTT2', 'TNFalpha'})"
"frozenset({'Q96EG3', 'Q3KQV3', 'TNFalpha'})"
"frozenset({'Q02535', 'P23409', 'TNFalpha'})"
"frozenset({'P38936', 'Q9ULV3', 'TNFalpha'})"
"frozenset({'O15111', 'O60641', 'TNFalpha'})"
"frozenset({'P06241', 'TNFalpha', 'Q13588'})"
"frozenset({'Q2NL82', 'O15160', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P22234', 'P06493'})"
"frozenset({'Q8IUC1', 'Q6ZRY4', 'TNFalpha'})"
"frozenset({'P51116', 'TNFalpha', 'Q9BQD3'})"
"frozenset({'Q9UGP8', 'TNFalpha', 'Q86WV1'})"
"frozenset({'Q96S66', 'Q6NUS6', 'TNFalpha'})"
"frozenset({'O60307', 'O43896', 'TNFalpha'})"
"frozenset({'P0CAP1', 'TNFalpha', 'P46934'})"
"frozenset({'P42858', 'P11171', 'TNFalpha'})"
"frozenset({'Q9H6T3', 'TNFalpha', 'Q9Y2Z0'})"
"frozenset({'P43034', 'P55010', 'TNFalpha'})"
"frozenset({'Q96T76', 'P34947', 'TNFalpha'})"
"frozenset({'Q6IQ23', 'TNFalpha', 'P40939'})"
"frozenset({'O75530', 'A6NHQ4', 'TNFalpha'})"
"frozenset({'Q9P2W9', 'Q9P0N5', 'TNFalpha'})"
"frozenset({'Q99417', 'TNFalpha', 'Q7Z4T9'})"
"frozenset({'P42166', 'TNFalpha', 'Q7KZ85'})"
"frozenset({'Q13216', 'Q13888', 'TNFalpha'})"
"frozenset({'P62826', 'TNFalpha', 'Q05639'})"
"frozenset({'P00558', 'Q92598', 'TNFalpha'})"
"frozenset({'O60832', 'Q9BVP2', 'TNFalpha'})"
"frozenset({'Q15811', 'Q99816', 'TNFalpha'})"
"frozenset({'P31947', 'TNFalpha', 'P23284'})"
"frozenset({'O75190', 'Q13326', 'TNFalpha'})"
"frozenset({'Q96FV0', 'Q6UWE0', 'TNFalpha'})"
"frozenset({'Q9UHK0', 'TNFalpha', 'P55769'})"
"frozenset({'Q9BPZ3', 'P09651', 'TNFalpha'})"
"frozenset({'P62987', 'P84098', 'TNFalpha'})"
"frozenset({'Q969Q1', 'P17661', 'TNFalpha'})"
"frozenset({'Q9UNE7', 'TNFalpha', 'Q9UBS0'})"
"frozenset({'P11021', 'P08621', 'TNFalpha'})"
"frozenset({'O94972', 'TNFalpha', 'P08238'})"
"frozenset({'Q9NW82', 'Q8NAV1', 'TNFalpha'})"
"frozenset({'P15927', 'TNFalpha', 'P60510'})"
"frozenset({'Q9HB96', 'TNFalpha', 'P12004'})"
"frozenset({'Q9Y6Q9', 'P68133', 'TNFalpha'})"
"frozenset({'Q96CW1', 'P16410', 'TNFalpha'})"
"frozenset({'Q9NYA1', 'TNFalpha', 'P13631'})"
"frozenset({'O43402', 'TNFalpha', 'Q8N766'})"
"frozenset({'Q00765', 'TNFalpha', 'P32780'})"
"frozenset({'P48039', 'TNFalpha', 'O95295'})"
"frozenset({'Q9Y2T6', 'TNFalpha', 'Q9UQ90'})"
"frozenset({'P05067', 'P20794', 'TNFalpha'})"
"frozenset({'Q9H9S0', 'TNFalpha', 'Q9H5Q4'})"
"frozenset({'P53985', 'O00483', 'TNFalpha'})"
"frozenset({'Q92905', 'P61513', 'TNFalpha'})"
"frozenset({'Q13751', 'P53708', 'TNFalpha'})"
"frozenset({'O15514', 'TNFalpha', 'Q8NBB4'})"
"frozenset({'P48431', 'TNFalpha', 'Q8N201'})"
"frozenset({'Q9NZR2', 'Q6FHJ7', 'TNFalpha'})"
"frozenset({'Q5VT66', 'Q9H0N0', 'TNFalpha'})"
"frozenset({'P0DJD0', 'P55854', 'TNFalpha'})"
"frozenset({'P00918', 'TNFalpha', 'P10809'})"
"frozenset({'P60329', 'Q5TCM9', 'TNFalpha'})"
"frozenset({'P13804', 'Q9Y4K3', 'TNFalpha'})"
"frozenset({'O60907', 'O95996', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q12952', 'P49327'})"
"frozenset({'Q96SL4', 'O43765', 'TNFalpha'})"
"frozenset({'O15260', 'TNFalpha', 'Q8NBW4'})"
"frozenset({'Q8NEB9', 'TNFalpha', 'P51784'})"
"frozenset({'O95402', 'TNFalpha', 'P0CAP1'})"
"frozenset({'P38646', 'TNFalpha', 'Q96KC8'})"
"frozenset({'Q8WTV0', 'TNFalpha', 'P10321'})"
"frozenset({'P48552', 'P35869', 'TNFalpha'})"
"frozenset({'Q8NG31', 'TNFalpha', 'P04406'})"
"frozenset({'P61981', 'TNFalpha', 'P25205'})"
"frozenset({'TNFalpha', 'P15622', 'Q96IK5'})"
"frozenset({'TNFalpha', 'Q9BQ95', 'P46199'})"
"frozenset({'P46777', 'TNFalpha', 'Q9BQG0'})"
"frozenset({'Q92558', 'TNFalpha', 'P15884'})"
"frozenset({'Q9Y2W1', 'P83916', 'TNFalpha'})"
"frozenset({'P19338', 'Q504Q3', 'TNFalpha'})"
"frozenset({'Q05707', 'TNFalpha', 'Q9BXJ5'})"
"frozenset({'Q9UJF2', 'TNFalpha', 'Q9BST9'})"
"frozenset({'P05067', 'Q9H898', 'TNFalpha'})"
"frozenset({'P04150', 'TNFalpha', 'Q9ULX9'})"
"frozenset({'TNFalpha', 'Q8NEZ4', 'Q15714'})"
"frozenset({'P50222', 'TNFalpha', 'P41732'})"
"frozenset({'P60604', 'Q96BQ3', 'TNFalpha'})"
"frozenset({'Q9P0T4', 'Q15654', 'TNFalpha'})"
"frozenset({'O75147', 'TNFalpha', 'Q07157'})"
"frozenset({'P17542', 'P27361', 'TNFalpha'})"
"frozenset({'Q9UBU9', 'Q969H8', 'TNFalpha'})"
"frozenset({'Q9NYP9', 'TNFalpha', 'Q8NCD3'})"
"frozenset({'O95166', 'TNFalpha', 'P13807'})"
"frozenset({'P11171', 'TNFalpha', 'P24534'})"
"frozenset({'P30519', 'P05067', 'TNFalpha'})"
"frozenset({'Q9P2W3', 'P45984', 'TNFalpha'})"
"frozenset({'P48047', 'TNFalpha', 'P12755'})"
"frozenset({'Q06455', 'P17947', 'TNFalpha'})"
"frozenset({'P45985', 'O15169', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q92569', 'P55072'})"
"frozenset({'Q9H7D7', 'Q96CS3', 'TNFalpha'})"
"frozenset({'Q9UQM7', 'TNFalpha', 'P48058'})"
"frozenset({'P35869', 'TNFalpha', 'Q16236'})"
"frozenset({'TNFalpha', 'Q6IQ23', 'Q96QZ7'})"
"frozenset({'O94901', 'Q9P0N5', 'TNFalpha'})"
"frozenset({'Q9UPX6', 'TNFalpha', 'Q9BUL8'})"
"frozenset({'Q15796', 'TNFalpha', 'Q9H4X1'})"
"frozenset({'Q8IVU3', 'TNFalpha', 'Q9UHD9'})"
"frozenset({'P84996', 'TNFalpha', 'P50148'})"
"frozenset({'Q9Y586', 'Q9NQG6', 'TNFalpha'})"
"frozenset({'Q13148', 'O75152', 'TNFalpha'})"
"frozenset({'Q13885', 'TNFalpha', 'Q9BTW9'})"
"frozenset({'Q13426', 'TNFalpha', 'P08670'})"
"frozenset({'TNFalpha', 'Q96A19', 'Q15084'})"
"frozenset({'P43243', 'Q9BUJ2', 'TNFalpha'})"
"frozenset({'Q9BTV5', 'TNFalpha', 'Q6P9B6'})"
"frozenset({'P09471', 'P63096', 'TNFalpha'})"
"frozenset({'Q9UPM6', 'Q9Y484', 'TNFalpha'})"
"frozenset({'Q16891', 'TNFalpha', 'P13805'})"
