negatives
"frozenset({'P08582', 'KitReceptor', 'Q7Z3S9'})"
"frozenset({'Q92731', 'Q15596', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9BQ83', 'P28066'})"
"frozenset({'Q05655', 'KitReceptor', 'P52739'})"
"frozenset({'KitReceptor', 'Q6NUS6', 'Q13586'})"
"frozenset({'P29353', 'KitReceptor', 'Q05682'})"
"frozenset({'Q15797', 'KitReceptor', 'O00238'})"
"frozenset({'KitReceptor', 'Q9BYQ0', 'Q8TBB1'})"
"frozenset({'Q3LI66', 'KitReceptor', 'Q99895'})"
"frozenset({'P23246', 'KitReceptor', 'Q92841'})"
"frozenset({'Q00987', 'KitReceptor', 'Q9H4I2'})"
"frozenset({'KitReceptor', 'Q9P1A6', 'Q9H2G2'})"
"frozenset({'Q96EZ8', 'KitReceptor', 'Q9Y250'})"
"frozenset({'KitReceptor', 'P67870', 'Q6VY07'})"
"frozenset({'P22676', 'KitReceptor', 'O00165'})"
"frozenset({'P31025', 'KitReceptor', 'P01213'})"
"frozenset({'P36897', 'KitReceptor', 'Q96JC1'})"
"frozenset({'O00459', 'KitReceptor', 'Q9HCE1'})"
"frozenset({'Q9Y4A5', 'Q15648', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q96PU5', 'Q9HBY8'})"
"frozenset({'Q96L21', 'P62841', 'KitReceptor'})"
"frozenset({'Q9NS23', 'KitReceptor', 'Q9H4B6'})"
"frozenset({'P28749', 'KitReceptor', 'Q00534'})"
"frozenset({'Q8WUK0', 'O95202', 'KitReceptor'})"
"frozenset({'Q13315', 'KitReceptor', 'Q9NQV6'})"
"frozenset({'P42226', 'KitReceptor', 'Q460N5'})"
"frozenset({'Q6ZRQ5', 'KitReceptor', 'P33993'})"
"frozenset({'KitReceptor', 'Q9NQX0', 'Q09472'})"
"frozenset({'P17081', 'KitReceptor', 'Q9BZ29'})"
"frozenset({'KitReceptor', 'Q6NVY1', 'Q9HB07'})"
"frozenset({'KitReceptor', 'Q07021', 'P32121'})"
"frozenset({'KitReceptor', 'Q96T58', 'Q86UX7'})"
"frozenset({'P19404', 'O43920', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P21108', 'P54274'})"
"frozenset({'Q13620', 'P62308', 'KitReceptor'})"
"frozenset({'O60684', 'O14519', 'KitReceptor'})"
"frozenset({'P80723', 'P61160', 'KitReceptor'})"
"frozenset({'B0YJ81', 'Q9ULV4', 'KitReceptor'})"
"frozenset({'Q9BWF3', 'KitReceptor', 'Q15427'})"
"frozenset({'KitReceptor', 'P05067', 'Q13813'})"
"frozenset({'KitReceptor', 'Q9NRY4', 'P62993'})"
"frozenset({'P63027', 'KitReceptor', 'P61266'})"
"frozenset({'KitReceptor', 'P49736', 'P62851'})"
"frozenset({'Q99714', 'KitReceptor', 'Q9Y6E7'})"
"frozenset({'P08238', 'Q9UPE1', 'KitReceptor'})"
"frozenset({'Q16401', 'KitReceptor', 'P49915'})"
"frozenset({'Q9H5L6', 'KitReceptor', 'Q8N5Z5'})"
"frozenset({'KitReceptor', 'P09211', 'P40692'})"
"frozenset({'Q9NUU7', 'KitReceptor', 'Q9UHL0'})"
"frozenset({'O95166', 'P84098', 'KitReceptor'})"
"frozenset({'P08559', 'KitReceptor', 'P21912'})"
"frozenset({'P07205', 'KitReceptor', 'P61604'})"
"frozenset({'KitReceptor', 'Q9Y337', 'Q5SZK8'})"
"frozenset({'Q13596', 'KitReceptor', 'P05412'})"
"frozenset({'KitReceptor', 'P63000', 'P27105'})"
"frozenset({'KitReceptor', 'P22670', 'Q9H1B5'})"
"frozenset({'O95968', 'KitReceptor', 'Q96L08'})"
"frozenset({'O75643', 'KitReceptor', 'Q96DI7'})"
"frozenset({'O95983', 'KitReceptor', 'Q9P2Y4'})"
"frozenset({'KitReceptor', 'P62826', 'O94829'})"
"frozenset({'KitReceptor', 'Q9HCE1', 'Q9H6E4'})"
"frozenset({'KitReceptor', 'P05412', 'P48506'})"
"frozenset({'KitReceptor', 'P07355', 'Q9HB71'})"
"frozenset({'Q6PI48', 'KitReceptor', 'Q8IU60'})"
"frozenset({'KitReceptor', 'P98155', 'P02649'})"
"frozenset({'Q9H5X1', 'KitReceptor', 'Q07864'})"
"frozenset({'P60409', 'KitReceptor', 'Q8N143'})"
"frozenset({'Q13185', 'O60684', 'KitReceptor'})"
"frozenset({'Q9NRC8', 'KitReceptor', 'P62854'})"
"frozenset({'KitReceptor', 'P05129', 'Q8NFM4'})"
"frozenset({'Q13425', 'Q9BXG8', 'KitReceptor'})"
"frozenset({'Q8N5C7', 'KitReceptor', 'P16220'})"
"frozenset({'Q04323', 'KitReceptor', 'Q8WVZ9'})"
"frozenset({'O60739', 'KitReceptor', 'P62899'})"
"frozenset({'KitReceptor', 'Q13315', 'Q99618'})"
"frozenset({'KitReceptor', 'P17252', 'Q969H0'})"
"frozenset({'KitReceptor', 'P63146', 'O14810'})"
"frozenset({'P62330', 'O43665', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O60341', 'Q06330'})"
"frozenset({'KitReceptor', 'Q9BVI4', 'O60832'})"
"frozenset({'O95163', 'KitReceptor', 'P48643'})"
"frozenset({'KitReceptor', 'Q14839', 'Q13422'})"
"frozenset({'KitReceptor', 'Q5TA76', 'Q9BYQ0'})"
"frozenset({'O75420', 'KitReceptor', 'Q9P244'})"
"frozenset({'Q9NRX1', 'Q86VP6', 'KitReceptor'})"
"frozenset({'Q96EB6', 'KitReceptor', 'Q01201'})"
"frozenset({'P04629', 'KitReceptor', 'P11310'})"
"frozenset({'P27797', 'KitReceptor', 'P10415'})"
"frozenset({'Q13554', 'O60840', 'KitReceptor'})"
"frozenset({'P49407', 'KitReceptor', 'P32121'})"
"frozenset({'KitReceptor', 'P04899', 'P27986'})"
"frozenset({'KitReceptor', 'Q96RT1', 'Q9H2G2'})"
"frozenset({'Q8N4C6', 'KitReceptor', 'Q96M89'})"
"frozenset({'KitReceptor', 'P49736', 'Q6P1X6'})"
"frozenset({'Q9BX97', 'KitReceptor', 'O60906'})"
"frozenset({'P33991', 'KitReceptor', 'P68431'})"
"frozenset({'KitReceptor', 'O95714', 'Q9Y262'})"
"frozenset({'KitReceptor', 'P24941', 'P19338'})"
"frozenset({'Q9NVU0', 'KitReceptor', 'Q9P287'})"
"frozenset({'KitReceptor', 'O95714', 'P01892'})"
"frozenset({'P62877', 'KitReceptor', 'P24385'})"
"frozenset({'Q9UKE5', 'KitReceptor', 'Q07889'})"
"frozenset({'Q96SY0', 'P55199', 'KitReceptor'})"
"frozenset({'P31749', 'Q8TCG2', 'KitReceptor'})"
"frozenset({'P46100', 'KitReceptor', 'Q14191'})"
"frozenset({'KitReceptor', 'Q12959', 'P17252'})"
"frozenset({'P0DMV8', 'P61244', 'KitReceptor'})"
"frozenset({'O60437', 'KitReceptor', 'Q8IYX8'})"
"frozenset({'KitReceptor', 'Q8WWY3', 'P36406'})"
"frozenset({'P07900', 'KitReceptor', 'Q86UX6'})"
"frozenset({'Q96RN5', 'KitReceptor', 'Q96PU8'})"
"frozenset({'Q6ZNC8', 'Q9NZ01', 'KitReceptor'})"
"frozenset({'O43395', 'KitReceptor', 'Q6P2Q9'})"
"frozenset({'P09958', 'KitReceptor', 'Q9NR30'})"
"frozenset({'KitReceptor', 'P48357', 'P41159'})"
"frozenset({'P11831', 'P98177', 'KitReceptor'})"
"frozenset({'Q13637', 'KitReceptor', 'Q8IYS2'})"
"frozenset({'Q9H4B7', 'Q13616', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q17RB8', 'Q06710'})"
"frozenset({'KitReceptor', 'Q9NRR8', 'P06733'})"
"frozenset({'KitReceptor', 'O75530', 'O60832'})"
"frozenset({'Q9BZI7', 'Q15287', 'KitReceptor'})"
"frozenset({'P63208', 'Q86T82', 'KitReceptor'})"
"frozenset({'P60369', 'KitReceptor', 'P47992'})"
"frozenset({'Q8WYB5', 'KitReceptor', 'P55211'})"
"frozenset({'Q9H4L4', 'KitReceptor', 'Q9HCE1'})"
"frozenset({'Q86XN6', 'KitReceptor', 'Q9UBU9'})"
"frozenset({'O95622', 'KitReceptor', 'P09471'})"
"frozenset({'KitReceptor', 'O75934', 'Q9BQ65'})"
"frozenset({'P46092', 'KitReceptor', 'P19876'})"
"frozenset({'Q9H0W5', 'KitReceptor', 'P55268'})"
"frozenset({'KitReceptor', 'Q8IY92', 'O15228'})"
"frozenset({'Q86VF7', 'KitReceptor', 'P68133'})"
"frozenset({'P55055', 'KitReceptor', 'O75925'})"
"frozenset({'P78362', 'KitReceptor', 'Q9C009'})"
"frozenset({'KitReceptor', 'Q96B86', 'Q5PRF9'})"
"frozenset({'Q96R06', 'KitReceptor', 'Q7Z460'})"
"frozenset({'KitReceptor', 'P38484', 'P13232'})"
"frozenset({'Q13618', 'KitReceptor', 'Q9UBU9'})"
"frozenset({'KitReceptor', 'Q96HF1', 'P12830'})"
"frozenset({'KitReceptor', 'P12830', 'P38646'})"
"frozenset({'P61981', 'KitReceptor', 'P31946'})"
"frozenset({'Q9HC52', 'KitReceptor', 'P61247'})"
"frozenset({'Q9NXR7', 'KitReceptor', 'P61956'})"
"frozenset({'P19256', 'O00182', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O60739', 'Q15382'})"
"frozenset({'P41743', 'P04406', 'KitReceptor'})"
"frozenset({'Q13418', 'KitReceptor', 'Q8IY17'})"
"frozenset({'KitReceptor', 'P30556', 'Q9NSG2'})"
"frozenset({'KitReceptor', 'Q9C019', 'P46108'})"
"frozenset({'P50222', 'KitReceptor', 'Q92989'})"
"frozenset({'P09871', 'P0C0L5', 'KitReceptor'})"
"frozenset({'Q13137', 'Q9BXY8', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9NSV4', 'Q15154'})"
"frozenset({'KitReceptor', 'Q8N715', 'Q86X02'})"
"frozenset({'Q13740', 'P04629', 'KitReceptor'})"
"frozenset({'O95989', 'P27695', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9UGJ1', 'Q9HCK8'})"
"frozenset({'P32927', 'P60568', 'KitReceptor'})"
"frozenset({'P23142', 'KitReceptor', 'P56705'})"
"frozenset({'O00571', 'KitReceptor', 'O95819'})"
"frozenset({'Q92560', 'KitReceptor', 'P51665'})"
"frozenset({'P62330', 'KitReceptor', 'Q13310'})"
"frozenset({'Q9UPW6', 'KitReceptor', 'Q9UPM6'})"
"frozenset({'Q12792', 'KitReceptor', 'Q04323'})"
"frozenset({'Q9UIA9', 'KitReceptor', 'Q9H0D6'})"
"frozenset({'Q9BZC7', 'KitReceptor', 'P54278'})"
"frozenset({'Q8N1F8', 'Q86VU5', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9H6R0', 'Q16666'})"
"frozenset({'Q5TBB1', 'KitReceptor', 'Q5VWQ8'})"
"frozenset({'Q9UJU2', 'Q15561', 'KitReceptor'})"
"frozenset({'Q9UNH6', 'KitReceptor', 'P62993'})"
"frozenset({'KitReceptor', 'Q9Y5Q9', 'O75530'})"
"frozenset({'P61353', 'KitReceptor', 'P62854'})"
"frozenset({'KitReceptor', 'Q96A08', 'Q7Z3K6'})"
"frozenset({'KitReceptor', 'O15303', 'P63092'})"
"frozenset({'Q13618', 'KitReceptor', 'Q13151'})"
"frozenset({'P33981', 'Q8NBT2', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P25440', 'P20674'})"
"frozenset({'Q15717', 'KitReceptor', 'Q96KN1'})"
"frozenset({'Q13501', 'KitReceptor', 'P10415'})"
"frozenset({'KitReceptor', 'P52294', 'P09429'})"
"frozenset({'P43243', 'P59047', 'KitReceptor'})"
"frozenset({'P49765', 'KitReceptor', 'P12110'})"
"frozenset({'Q96EP1', 'KitReceptor', 'P49792'})"
"frozenset({'P30304', 'KitReceptor', 'Q9Y297'})"
"frozenset({'KitReceptor', 'Q08379', 'Q8NHY3'})"
"frozenset({'Q9HCH0', 'Q7Z4H7', 'KitReceptor'})"
"frozenset({'Q9NZ20', 'P15151', 'KitReceptor'})"
"frozenset({'Q9H7B4', 'KitReceptor', 'Q8IZD2'})"
"frozenset({'KitReceptor', 'P60484', 'P10275'})"
"frozenset({'P04629', 'A0FGR8', 'KitReceptor'})"
"frozenset({'P28749', 'KitReceptor', 'Q6NUQ1'})"
"frozenset({'Q4G0X9', 'Q9H3R5', 'KitReceptor'})"
"frozenset({'Q15149', 'KitReceptor', 'P16144'})"
"frozenset({'Q9P127', 'KitReceptor', 'P84090'})"
"frozenset({'KitReceptor', 'Q8TES7', 'Q96GG9'})"
"frozenset({'P05067', 'KitReceptor', 'Q9NRY5'})"
"frozenset({'P51692', 'P08559', 'KitReceptor'})"
"frozenset({'Q86X55', 'KitReceptor', 'Q96PU8'})"
"frozenset({'P04629', 'KitReceptor', 'P07737'})"
"frozenset({'Q9HCH0', 'KitReceptor', 'Q8IVT5'})"
"frozenset({'Q92903', 'Q8N387', 'KitReceptor'})"
"frozenset({'P48023', 'Q6A162', 'KitReceptor'})"
"frozenset({'O95273', 'KitReceptor', 'Q9UKM7'})"
"frozenset({'Q15418', 'KitReceptor', 'P23528'})"
"frozenset({'P31371', 'KitReceptor', 'P35916'})"
"frozenset({'KitReceptor', 'Q13075', 'Q15750'})"
"frozenset({'Q86X19', 'KitReceptor', 'P98164'})"
"frozenset({'P11142', 'KitReceptor', 'O15273'})"
"frozenset({'P02462', 'KitReceptor', 'O75578'})"
"frozenset({'P59998', 'Q9UBP6', 'KitReceptor'})"
"frozenset({'P35222', 'KitReceptor', 'P42336'})"
"frozenset({'P09919', 'KitReceptor', 'Q13261'})"
"frozenset({'KitReceptor', 'Q969Q1', 'P63279'})"
"frozenset({'Q7L8L6', 'KitReceptor', 'Q9Y6E7'})"
"frozenset({'KitReceptor', 'Q13177', 'O15067'})"
"frozenset({'P28749', 'KitReceptor', 'Q6NV75'})"
"frozenset({'O94804', 'KitReceptor', 'O14980'})"
"frozenset({'KitReceptor', 'Q4G0A6', 'Q9BSE5'})"
"frozenset({'P51784', 'KitReceptor', 'Q8NEB9'})"
"frozenset({'P09972', 'P46734', 'KitReceptor'})"
"frozenset({'P01588', 'P14784', 'KitReceptor'})"
"frozenset({'Q13972', 'P53350', 'KitReceptor'})"
"frozenset({'Q12899', 'KitReceptor', 'Q96SD1'})"
"frozenset({'P21283', 'KitReceptor', 'Q6IAA8'})"
"frozenset({'KitReceptor', 'O95907', 'P62820'})"
"frozenset({'KitReceptor', 'Q99933', 'O14530'})"
"frozenset({'Q9BRK4', 'KitReceptor', 'Q14119'})"
"frozenset({'Q92979', 'KitReceptor', 'O15078'})"
"frozenset({'Q9Y3M2', 'KitReceptor', 'Q8IXT1'})"
"frozenset({'KitReceptor', 'O14641', 'P04637'})"
"frozenset({'KitReceptor', 'Q15047', 'O95831'})"
"frozenset({'KitReceptor', 'Q86YF9', 'Q63HR2'})"
"frozenset({'Q96P53', 'KitReceptor', 'Q15836'})"
"frozenset({'O95185', 'KitReceptor', 'P16220'})"
"frozenset({'P09038', 'KitReceptor', 'Q07889'})"
"frozenset({'Q8IV08', 'KitReceptor', 'O94822'})"
"frozenset({'Q7Z698', 'KitReceptor', 'P22681'})"
"frozenset({'P35240', 'KitReceptor', 'Q13177'})"
"frozenset({'P35637', 'P84243', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9UPX8', 'Q9UQB8'})"
"frozenset({'KitReceptor', 'P23508', 'O43320'})"
"frozenset({'KitReceptor', 'P39019', 'Q99496'})"
"frozenset({'KitReceptor', 'P41208', 'P09429'})"
"frozenset({'KitReceptor', 'P50281', 'Q15109'})"
"frozenset({'Q8IYU2', 'KitReceptor', 'P10276'})"
"frozenset({'Q12959', 'Q86SQ6', 'KitReceptor'})"
"frozenset({'P05165', 'KitReceptor', 'Q9Y6E7'})"
"frozenset({'P19174', 'KitReceptor', 'O15031'})"
"frozenset({'Q969V5', 'KitReceptor', 'Q969T4'})"
"frozenset({'P42566', 'KitReceptor', 'Q9NQW6'})"
"frozenset({'Q99523', 'Q5JRA6', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q16512', 'P12931'})"
"frozenset({'O75815', 'Q92560', 'KitReceptor'})"
"frozenset({'P10144', 'P08670', 'KitReceptor'})"
"frozenset({'O75695', 'KitReceptor', 'P83436'})"
"frozenset({'Q12906', 'Q13243', 'KitReceptor'})"
"frozenset({'Q92997', 'Q9H3F6', 'KitReceptor'})"
"frozenset({'Q12834', 'KitReceptor', 'Q8TD55'})"
"frozenset({'Q9P2P5', 'KitReceptor', 'Q9BXL6'})"
"frozenset({'Q9P2P5', 'KitReceptor', 'Q9NQS7'})"
"frozenset({'Q8NHS0', 'KitReceptor', 'Q8IXJ6'})"
"frozenset({'KitReceptor', 'Q7Z2Z2', 'O43399'})"
"frozenset({'O96001', 'KitReceptor', 'P30154'})"
"frozenset({'Q8WXF0', 'KitReceptor', 'Q00536'})"
"frozenset({'Q9H6Y7', 'KitReceptor', 'O14832'})"
"frozenset({'Q92905', 'KitReceptor', 'Q6PML9'})"
"frozenset({'KitReceptor', 'Q8WX94', 'Q05516'})"
"frozenset({'P62701', 'KitReceptor', 'P60484'})"
"frozenset({'KitReceptor', 'Q6PGP7', 'P27635'})"
"frozenset({'KitReceptor', 'P68036', 'O95071'})"
"frozenset({'P07910', 'KitReceptor', 'P13612'})"
"frozenset({'Q92997', 'KitReceptor', 'P09430'})"
"frozenset({'Q7Z3K3', 'KitReceptor', 'P06733'})"
"frozenset({'KitReceptor', 'Q9Y2Z0', 'Q9C0C7'})"
"frozenset({'KitReceptor', 'O95714', 'O43819'})"
"frozenset({'KitReceptor', 'Q14093', 'O43683'})"
"frozenset({'Q9Y297', 'KitReceptor', 'P51991'})"
"frozenset({'KitReceptor', 'O14633', 'Q96LJ7'})"
"frozenset({'KitReceptor', 'Q9NP95', 'P16234'})"
"frozenset({'P49789', 'KitReceptor', 'P12931'})"
"frozenset({'P62273', 'KitReceptor', 'O15519'})"
"frozenset({'Q9NZI8', 'KitReceptor', 'Q14103'})"
"frozenset({'KitReceptor', 'P60660', 'P40692'})"
"frozenset({'P07196', 'KitReceptor', 'Q00887'})"
"frozenset({'Q7KZI7', 'KitReceptor', 'P11532'})"
"frozenset({'Q5TZ20', 'KitReceptor', 'P32121'})"
"frozenset({'Q9H7B4', 'KitReceptor', 'P08238'})"
"frozenset({'KitReceptor', 'Q6NYC1', 'P63279'})"
"frozenset({'P62879', 'Q02078', 'KitReceptor'})"
"frozenset({'Q9BV99', 'KitReceptor', 'Q9H0I2'})"
"frozenset({'Q9NY27', 'KitReceptor', 'Q9UIC8'})"
"frozenset({'KitReceptor', 'Q8WWY3', 'Q86X02'})"
"frozenset({'Q9Y4B4', 'KitReceptor', 'Q8IY92'})"
"frozenset({'Q8N163', 'Q9H9E1', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9P1A6', 'Q9UPX8'})"
"frozenset({'P62829', 'KitReceptor', 'P01106'})"
"frozenset({'O15344', 'KitReceptor', 'P63244'})"
"frozenset({'Q9HCN4', 'KitReceptor', 'Q8IXW5'})"
"frozenset({'Q9BQ90', 'Q9UJ04', 'KitReceptor'})"
"frozenset({'Q07002', 'KitReceptor', 'Q15323'})"
"frozenset({'KitReceptor', 'Q15116', 'Q9BQ51'})"
"frozenset({'KitReceptor', 'Q6ZNA1', 'Q9BTW9'})"
"frozenset({'P53779', 'KitReceptor', 'O14610'})"
"frozenset({'KitReceptor', 'O00410', 'Q15154'})"
"frozenset({'Q9UNE7', 'Q2KHM9', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P35580', 'P24844'})"
"frozenset({'Q13616', 'KitReceptor', 'Q9NP81'})"
"frozenset({'P35268', 'P42766', 'KitReceptor'})"
"frozenset({'O00567', 'KitReceptor', 'Q7L2E3'})"
"frozenset({'O95433', 'P52209', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q12905', 'Q15022'})"
"frozenset({'KitReceptor', 'P28482', 'Q05682'})"
"frozenset({'Q8IZL9', 'KitReceptor', 'P30876'})"
"frozenset({'KitReceptor', 'Q92567', 'P86480'})"
"frozenset({'O75695', 'KitReceptor', 'Q16881'})"
"frozenset({'KitReceptor', 'P12314', 'P42224'})"
"frozenset({'P51784', 'KitReceptor', 'Q4VCS5'})"
"frozenset({'Q99497', 'KitReceptor', 'P29590'})"
"frozenset({'P38936', 'KitReceptor', 'Q13485'})"
"frozenset({'Q96ST3', 'KitReceptor', 'P51531'})"
"frozenset({'P49023', 'KitReceptor', 'O43776'})"
"frozenset({'KitReceptor', 'Q7Z3I7', 'Q99750'})"
"frozenset({'KitReceptor', 'Q9BZE0', 'P81274'})"
"frozenset({'KitReceptor', 'Q6FHJ7', 'Q9UBV4'})"
"frozenset({'P27348', 'P07305', 'KitReceptor'})"
"frozenset({'P04629', 'KitReceptor', 'P11216'})"
"frozenset({'KitReceptor', 'Q9NRY6', 'O14633'})"
"frozenset({'KitReceptor', 'Q9HCE1', 'Q9Y3B7'})"
"frozenset({'O00303', 'Q15040', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P0C7T5', 'Q8IX01'})"
"frozenset({'KitReceptor', 'Q86V81', 'Q13838'})"
"frozenset({'KitReceptor', 'P16455', 'Q13402'})"
"frozenset({'KitReceptor', 'O95235', 'O95714'})"
"frozenset({'KitReceptor', 'O60749', 'Q9UNH7'})"
"frozenset({'Q8N122', 'KitReceptor', 'P62820'})"
"frozenset({'Q13620', 'KitReceptor', 'Q9BTV7'})"
"frozenset({'KitReceptor', 'Q9NVW2', 'O75626'})"
"frozenset({'Q06190', 'KitReceptor', 'P53041'})"
"frozenset({'KitReceptor', 'Q14457', 'P60520'})"
"frozenset({'Q8N9T8', 'KitReceptor', 'O15084'})"
"frozenset({'Q8N5R6', 'KitReceptor', 'Q92569'})"
"frozenset({'KitReceptor', 'Q15257', 'P17987'})"
"frozenset({'P01023', 'KitReceptor', 'P00747'})"
"frozenset({'Q16531', 'KitReceptor', 'Q9Y4B6'})"
"frozenset({'KitReceptor', 'O14974', 'P35579'})"
"frozenset({'P32927', 'KitReceptor', 'P35968'})"
"frozenset({'KitReceptor', 'Q9UKS6', 'Q16643'})"
"frozenset({'O43765', 'KitReceptor', 'P02745'})"
"frozenset({'Q96D21', 'KitReceptor', 'O75197'})"
"frozenset({'Q13432', 'KitReceptor', 'Q8TF65'})"
"frozenset({'KitReceptor', 'P01133', 'P52735'})"
"frozenset({'KitReceptor', 'P22694', 'Q13936'})"
"frozenset({'Q9Y3C5', 'KitReceptor', 'Q14164'})"
"frozenset({'Q6A162', 'KitReceptor', 'O14964'})"
"frozenset({'P98082', 'KitReceptor', 'Q8N684'})"
"frozenset({'Q96HA1', 'Q6ZW49', 'KitReceptor'})"
"frozenset({'O75147', 'KitReceptor', 'O60841'})"
"frozenset({'P36915', 'KitReceptor', 'Q86V81'})"
"frozenset({'O60260', 'KitReceptor', 'Q92665'})"
"frozenset({'KitReceptor', 'Q6W2J9', 'P41182'})"
"frozenset({'Q00325', 'P04629', 'KitReceptor'})"
"frozenset({'O75387', 'KitReceptor', 'P10275'})"
"frozenset({'P62158', 'Q99558', 'KitReceptor'})"
"frozenset({'P62258', 'KitReceptor', 'Q9Y2M0'})"
"frozenset({'P51674', 'KitReceptor', 'P13224'})"
"frozenset({'Q9NR22', 'KitReceptor', 'Q86V81'})"
"frozenset({'O00401', 'KitReceptor', 'P12931'})"
"frozenset({'Q8IWL3', 'Q96EY8', 'KitReceptor'})"
"frozenset({'Q93050', 'KitReceptor', 'Q9H9J2'})"
"frozenset({'KitReceptor', 'Q13404', 'Q96FA3'})"
"frozenset({'KitReceptor', 'Q86T82', 'Q6UXN9'})"
"frozenset({'P62873', 'KitReceptor', 'Q99677'})"
"frozenset({'P23246', 'KitReceptor', 'P00533'})"
"frozenset({'Q9Y2I6', 'KitReceptor', 'Q5T5Y3'})"
"frozenset({'KitReceptor', 'P62937', 'P50238'})"
"frozenset({'KitReceptor', 'Q09161', 'Q15022'})"
"frozenset({'Q15561', 'KitReceptor', 'P46937'})"
"frozenset({'Q86YH6', 'P05067', 'KitReceptor'})"
"frozenset({'Q9P286', 'KitReceptor', 'Q7Z3D6'})"
"frozenset({'P62875', 'KitReceptor', 'Q15370'})"
"frozenset({'Q8IWL3', 'O95563', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9Y5Q9', 'Q9C009'})"
"frozenset({'Q15038', 'Q8N6M9', 'KitReceptor'})"
"frozenset({'O43524', 'KitReceptor', 'Q00534'})"
"frozenset({'Q9Y586', 'KitReceptor', 'Q3B7T1'})"
"frozenset({'Q8NBB4', 'Q96LI5', 'KitReceptor'})"
"frozenset({'Q96I15', 'KitReceptor', 'P34897'})"
"frozenset({'Q8WUD6', 'KitReceptor', 'Q9Y282'})"
"frozenset({'Q00535', 'KitReceptor', 'O94921'})"
"frozenset({'KitReceptor', 'P35916', 'P52803'})"
"frozenset({'P08708', 'P62841', 'KitReceptor'})"
"frozenset({'Q96RY7', 'KitReceptor', 'O75386'})"
"frozenset({'P16104', 'KitReceptor', 'P09525'})"
"frozenset({'KitReceptor', 'Q9NS56', 'Q9BPZ2'})"
"frozenset({'KitReceptor', 'P28482', 'Q14192'})"
"frozenset({'P62266', 'KitReceptor', 'Q14152'})"
"frozenset({'KitReceptor', 'P30876', 'P57078'})"
"frozenset({'P51684', 'KitReceptor', 'P10147'})"
"frozenset({'Q9Y5S9', 'KitReceptor', 'P13674'})"
"frozenset({'Q9BRK4', 'KitReceptor', 'O00444'})"
"frozenset({'P05771', 'P18564', 'KitReceptor'})"
"frozenset({'Q99929', 'KitReceptor', 'Q15291'})"
"frozenset({'Q9NP71', 'O43741', 'KitReceptor'})"
"frozenset({'P58173', 'KitReceptor', 'P32121'})"
"frozenset({'P23634', 'Q9HAV5', 'KitReceptor'})"
"frozenset({'P78556', 'KitReceptor', 'P51685'})"
"frozenset({'P12004', 'KitReceptor', 'Q01844'})"
"frozenset({'Q6PJG9', 'KitReceptor', 'O94973'})"
"frozenset({'O43143', 'KitReceptor', 'P31947'})"
"frozenset({'P50222', 'KitReceptor', 'Q969G3'})"
"frozenset({'P27987', 'KitReceptor', 'P27815'})"
"frozenset({'P08238', 'Q38SD2', 'KitReceptor'})"
"frozenset({'O43521', 'KitReceptor', 'O14730'})"
"frozenset({'KitReceptor', 'P42766', 'Q9BV73'})"
"frozenset({'KitReceptor', 'Q92692', 'Q8TEW0'})"
"frozenset({'Q9UL03', 'KitReceptor', 'P34897'})"
"frozenset({'Q13242', 'KitReceptor', 'Q05519'})"
"frozenset({'Q9BZJ0', 'KitReceptor', 'Q16666'})"
"frozenset({'KitReceptor', 'P49736', 'P06733'})"
"frozenset({'Q8NEU8', 'KitReceptor', 'Q16576'})"
"frozenset({'Q9BRT9', 'KitReceptor', 'Q9UBB6'})"
"frozenset({'KitReceptor', 'P06400', 'Q9NY61'})"
"frozenset({'KitReceptor', 'O15355', 'Q15554'})"
"frozenset({'KitReceptor', 'P23443', 'P68133'})"
"frozenset({'Q14999', 'P39656', 'KitReceptor'})"
"frozenset({'Q9Y5U4', 'KitReceptor', 'P17066'})"
"frozenset({'Q14999', 'KitReceptor', 'Q9H0S4'})"
"frozenset({'KitReceptor', 'Q9GZQ8', 'Q01844'})"
"frozenset({'KitReceptor', 'Q9H5I1', 'P22531'})"
"frozenset({'Q9UJV9', 'KitReceptor', 'P34897'})"
"frozenset({'KitReceptor', 'Q9NPG3', 'Q96GX5'})"
"frozenset({'KitReceptor', 'Q15554', 'Q9UL62'})"
"frozenset({'Q8IUQ4', 'P61088', 'KitReceptor'})"
"frozenset({'P45973', 'KitReceptor', 'Q9UIS9'})"
"frozenset({'P49411', 'KitReceptor', 'Q6IQ23'})"
