negatives
"frozenset({'P53992', 'KitReceptor', 'Q93008'})"
"frozenset({'KitReceptor', 'P33991', 'Q9HCE1'})"
"frozenset({'KitReceptor', 'Q00534', 'Q8NEY8'})"
"frozenset({'Q13286', 'KitReceptor', 'Q9Y2W7'})"
"frozenset({'KitReceptor', 'O60341', 'Q9BRX9'})"
"frozenset({'Q6EEV4', 'KitReceptor', 'O00308'})"
"frozenset({'KitReceptor', 'Q9P2J5', 'Q9UQL6'})"
"frozenset({'KitReceptor', 'Q96CW5', 'Q9Y279'})"
"frozenset({'P42658', 'KitReceptor', 'Q9UK17'})"
"frozenset({'Q9Y2T2', 'Q8TAF3', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O43747', 'P63010'})"
"frozenset({'P30307', 'Q8WZA2', 'KitReceptor'})"
"frozenset({'Q86SG6', 'Q5VV42', 'KitReceptor'})"
"frozenset({'P15531', 'KitReceptor', 'P30044'})"
"frozenset({'Q8WU20', 'KitReceptor', 'P62993'})"
"frozenset({'O75528', 'O75486', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q99567', 'P24386'})"
"frozenset({'KitReceptor', 'Q13427', 'Q8NHQ1'})"
"frozenset({'KitReceptor', 'Q13227', 'Q08379'})"
"frozenset({'P54725', 'KitReceptor', 'Q16186'})"
"frozenset({'KitReceptor', 'Q9BV73', 'Q9Y676'})"
"frozenset({'O00750', 'P04626', 'KitReceptor'})"
"frozenset({'Q9Y3M2', 'KitReceptor', 'Q9UK80'})"
"frozenset({'Q9UBY5', 'KitReceptor', 'P50150'})"
"frozenset({'KitReceptor', 'P04628', 'Q6FHJ7'})"
"frozenset({'Q02880', 'KitReceptor', 'Q96PK6'})"
"frozenset({'P55058', 'Q9UHG3', 'KitReceptor'})"
"frozenset({'P50542', 'KitReceptor', 'Q86WA8'})"
"frozenset({'KitReceptor', 'Q96RG2', 'P46379'})"
"frozenset({'Q9P209', 'KitReceptor', 'Q96SN8'})"
"frozenset({'Q96QK1', 'KitReceptor', 'P13612'})"
"frozenset({'Q5MIZ7', 'KitReceptor', 'Q9H0B6'})"
