negatives
"('P19367', 'P21796')"
"('P17252', 'Q9UKL4')"
"('P04626', 'P01106')"
"('P61254', 'P42766')"
"('Q9H1C4', 'Q9NR97')"
"('P36873', 'Q9UF02')"
"('Q9UNY4', 'Q13162')"
"('P05060', 'O15527')"
"('Q9H0E2', 'O15119')"
"('P98177', 'Q08999')"
"('Q6P2C8', 'P10827')"
"('Q99685', 'P05060')"
"('P62987', 'P58335')"
"('Q13573', 'Q16181')"
"('Q14164', 'P61106')"
"('P04843', 'P54725')"
"('P55072', 'P14784')"
"('P62993', 'Q92918')"
"('Q92620', 'P38159')"
"('O15344', 'Q9Y2X8')"
"('Q15560', 'P27448')"
"('Q92844', 'Q8IUC6')"
"('P25786', 'P38432')"
"('P19438', 'Q8WXG6')"
"('Q99653', 'Q13153')"
"('P00492', 'P01889')"
"('P19174', 'P10301')"
"('Q92841', 'P03372')"
"('Q9NS23', 'P31947')"
"('P36406', 'P63279')"
"('P56134', 'P05386')"
"('Q9UM13', 'Q8NHZ8')"
"('Q5SW24', 'Q05655')"
"('P46776', 'P36578')"
"('P28288', 'O14832')"
"('Q96EQ0', 'P98175')"
"('P19838', 'P29460')"
"('P05161', 'Q15306')"
"('Q12906', 'Q92945')"
"('Q10570', 'Q9NZC7')"
"('O75581', 'P19022')"
"('P17661', 'Q9HAU0')"
"('P46379', 'P54259')"
"('O15198', 'Q13219')"
"('P01116', 'Q9NZL6')"
"('Q05655', 'O60503')"
"('P17676', 'P07333')"
"('P62993', 'Q9H1R2')"
"('Q9UQM7', 'P28482')"
"('Q14094', 'Q96MT8')"
"('P35626', 'Q8NH37')"
"('Q13255', 'P30679')"
"('P62851', 'P46781')"
"('Q9NRR5', 'A9UHW6')"
"('P43246', 'P54278')"
"('P04908', 'P62807')"
"('Q6FHJ7', 'P09544')"
"('Q9H6Z9', 'Q16665')"
"('P62891', 'P62913')"
"('Q15139', 'Q9H492')"
"('Q14738', 'P32121')"
"('Q8WWY3', 'Q7RTV0')"
"('P46092', 'P62993')"
"('Q9UBF2', 'P01106')"
"('Q99459', 'P48382')"
"('P13807', 'Q8IY92')"
"('P35222', 'P02741')"
"('P19838', 'P34931')"
"('Q86YH6', 'P19174')"
"('P01588', 'P40238')"
"('P06241', 'P98082')"
"('Q86UE8', 'Q9NVP2')"
"('P42574', 'P47712')"
"('O43293', 'P19105')"
"('P17612', 'P19634')"
"('P13535', 'Q99623')"
"('O60941', 'P46939')"
"('P51617', 'Q96A33')"
"('O00238', 'P62987')"
"('O15131', 'O95154')"
"('Q9Y6K9', 'P05387')"
"('Q99612', 'O60861')"
"('Q13085', 'P38398')"
"('Q8NEM7', 'Q92830')"
"('Q04917', 'Q99683')"
"('P50914', 'P62917')"
"('O43281', 'P46108')"
"('P49792', 'P35658')"
"('Q8TF72', 'P31947')"
"('P55197', 'Q03111')"
"('Q92997', 'Q8TBE0')"
"('P55211', 'P04049')"
"('P61586', 'Q13153')"
"('P63165', 'O75475')"
"('P24522', 'Q96ID5')"
"('O00629', 'Q00978')"
"('P00403', 'P01889')"
"('Q16363', 'Q9Y3C7')"
"('P18848', 'P49716')"
"('Q16612', 'P68104')"
"('O75365', 'Q99653')"
"('Q96EK9', 'Q13573')"
"('P30480', 'P16949')"
"('P17858', 'Q12933')"
"('O95376', 'Q9P2H0')"
"('P62834', 'P51531')"
"('P20671', 'Q5QNW6')"
"('P63104', 'Q86YV0')"
"('P05386', 'P62899')"
"('Q9HAU4', 'Q9Y3E1')"
"('P27635', 'P47914')"
"('O00712', 'P08651')"
"('P26641', 'O00231')"
"('Q9NY65', 'Q9BUF5')"
"('Q9P227', 'Q07890')"
"('P40692', 'P21675')"
"('Q14653', 'P37198')"
"('Q15615', 'P38405')"
"('P32243', 'P83731')"
"('Q14164', 'O95786')"
"('P01241', 'P16471')"
"('Q66K89', 'P35680')"
"('P32969', 'P84098')"
"('P16520', 'P04899')"
"('P07996', 'P26012')"
"('Q96GD3', 'Q8IXK0')"
"('P42680', 'P04626')"
"('O75449', 'P25942')"
"('P31943', 'Q12986')"
"('P23511', 'Q15011')"
"('Q7L1V2', 'P49754')"
"('Q06587', 'P62837')"
"('Q15149', 'O95782')"
"('Q16560', 'Q12851')"
"('Q99558', 'P11021')"
"('P49736', 'Q8WYB5')"
"('Q92530', 'Q9BV68')"
"('P61619', 'P13569')"
"('Q96G75', 'P61077')"
"('O14543', 'P16471')"
"('O75084', 'P50148')"
"('Q9Y676', 'Q01844')"
"('P18065', 'P35222')"
"('P60953', 'Q15811')"
"('P01569', 'Q08334')"
"('P32121', 'Q9H210')"
"('P01574', 'P38398')"
"('P62847', 'P35544')"
"('O15111', 'P12931')"
"('P04637', 'Q9NZC7')"
"('P63165', 'O14715')"
"('Q05086', 'Q92731')"
"('407040', 'O00548')"
"('O75030', 'Q9UJU2')"
"('Q86WV6', 'Q96N66')"
"('P12318', 'Q8NHL6')"
"('P53814', 'P68133')"
"('P63000', 'O95256')"
"('P63173', 'P26373')"
"('P10275', 'P60763')"
"('Q9UBR4', 'P48742')"
"('P07900', 'Q04206')"
"('P42695', 'O95084')"
"('P30040', 'P23508')"
"('P55347', 'P22466')"
"('P08246', 'Q15744')"
"('Q71H61', 'P31947')"
"('P63000', 'Q9Y3L3')"
"('Q15366', 'Q9BYX4')"
"('O95751', 'Q5VWN6')"
"('Q9UKA9', 'Q14103')"
"('Q8NFH3', 'Q9NRG9')"
"('O15162', 'Q9BUZ4')"
"('Q9UBA6', 'P13569')"
"('Q16630', 'P26367')"
"('Q16695', 'P83916')"
"('Q16531', 'Q16514')"
"('Q96GD4', 'O75410')"
"('Q13885', 'Q9H9G7')"
"('P61981', 'Q9NYF3')"
"('P49736', 'Q9Y3A3')"
"('O75533', 'Q96DI7')"
"('P62136', 'P62955')"
"('P13612', 'P17301')"
"('Q9NP79', 'Q14596')"
"('Q9NYY1', 'P40189')"
"('P42684', 'Q9H204')"
"('Q15287', 'Q96JP5')"
"('P62314', 'Q15428')"
"('P05386', 'O75956')"
"('P17612', 'Q05586')"
"('O14561', 'O43677')"
"('Q13619', 'Q8NHY2')"
"('Q5SW24', 'Q9ULK5')"
"('Q00987', 'P18146')"
"('Q9Y5X2', 'P16333')"
"('Q03014', 'P35590')"
"('P25391', 'Q496J9')"
"('407053', 'Q9HCU4')"
"('Q15466', 'Q13227')"
"('P15514', 'P29034')"
"('O14744', 'O00267')"
"('Q14164', 'P09936')"
"('O43741', 'P13639')"
"('P12883', 'P63104')"
"('P11274', 'P13569')"
"('Q16665', 'Q9UNQ0')"
"('P84022', 'Q14562')"
"('Q99877', 'Q9NVP2')"
"('Q06323', 'Q16543')"
"('Q9UK73', 'Q15369')"
"('P63208', 'Q9UKA1')"
"('Q9Y2J2', 'O94986')"
"('P27986', 'Q13480')"
"('P08253', 'Q99075')"
"('P18848', 'P18146')"
"('P22612', 'Q5MIZ7')"
"('Q8IWV7', 'O95989')"
"('P22392', 'P41227')"
"('O75569', 'P06400')"
"('Q02575', 'P25791')"
"('O94972', 'Q8TCX5')"
"('O95182', 'Q9Y478')"
"('P48065', 'P18146')"
"('P07602', 'P13861')"
"('Q8IYI6', 'P35900')"
"('Q96PU4', 'P61077')"
"('Q92731', 'O60244')"
"('Q12933', 'Q8TES7')"
"('O75150', 'P33778')"
"('Q9Y4R7', 'Q9BPX5')"
"('P43405', 'P06241')"
"('O43298', 'Q8TBB1')"
"('Q92831', 'Q01658')"
"('P10276', 'O15516')"
"('O43913', 'O75419')"
"('Q9P0U4', 'O60814')"
"('O43251', 'Q9BQY4')"
"('P11142', 'P00533')"
"('Q9NYP7', 'P12980')"
"('Q04912', 'P27348')"
"('Q5QNW6', 'Q9UQL6')"
"('P08253', 'P29400')"
"('P55072', 'Q96CS3')"
"('Q15631', 'Q99598')"
"('P62888', 'P61254')"
"('P31152', 'P15056')"
"('Q16514', 'Q13573')"
"('Q8N668', 'P25963')"
"('Q13347', 'P20042')"
"('P62993', 'O75326')"
"('Q9P273', 'Q13485')"
"('P63167', 'P49441')"
"('P49715', 'P23511')"
"('Q86VZ2', 'P03372')"
"('P10912', 'P17706')"
"('P82921', 'Q8IY92')"
"('Q9Y3C5', 'Q96J02')"
"('Q9P0P0', 'Q969T4')"
"('Q15796', 'Q96MY7')"
"('Q8IY92', 'Q9Y5V3')"
"('P46100', 'Q13573')"
"('Q16576', 'Q99459')"
"('Q969G2', 'P01215')"
"('P00533', 'Q6WCQ1')"
"('P22362', 'P25024')"
"('Q13164', 'P31946')"
"('Q92752', 'P08514')"
"('Q86YV6', 'P19105')"
"('P01215', 'P01225')"
"('Q9NQX3', 'P63167')"
"('P18848', 'Q9NS37')"
"('P34931', 'Q99558')"
"('Q9BQS6', 'P49711')"
"('Q53H12', 'Q9HCK5')"
"('O15553', 'P17676')"
"('P51970', 'O75251')"
"('Q92569', 'Q05655')"
"('Q9NRG4', 'P13533')"
"('P57739', 'Q9Y5I7')"
"('O15530', 'Q13153')"
"('P17252', 'P0CG48')"
"('Q13885', 'Q9NXU5')"
"('406974', 'O75896')"
"('Q9Y478', 'Q9Y266')"
"('Q9NX76', 'Q9HC24')"
"('Q8WVY7', 'Q13200')"
"('Q9UBL3', 'Q13432')"
"('Q13315', 'Q9Y242')"
"('O75529', 'Q9UPT9')"
"('O15069', 'Q05397')"
"('P10275', 'O43294')"
"('Q9Y3I1', 'P62877')"
"('Q05397', 'P53708')"
"('O95396', 'O96007')"
"('P21246', 'O60443')"
"('Q99623', 'P35222')"
"('O95208', 'Q15303')"
"('P25208', 'O60902')"
"('P01730', 'P01911')"
"('P47712', 'P05412')"
"('Q9Y478', 'P36956')"
"('P05771', 'P63261')"
"('P61313', 'P83731')"
"('P46379', 'Q05209')"
"('O75056', 'P06241')"
"('P01567', 'P40238')"
"('P54257', 'Q96NT1')"
"('P12931', 'P48023')"
"('Q9BQ66', 'P17482')"
"('O14745', 'P07947')"
"('Q8IZC4', 'Q9BY11')"
"('P51571', 'Q13233')"
"('P20273', 'P27986')"
"('P00519', 'Q92529')"
"('P54257', 'Q08170')"
"('O95503', 'O95931')"
"('Q13546', 'Q9BYM8')"
"('P49715', 'P35638')"
"('P36542', 'Q9Y3M9')"
"('O14625', 'P25024')"
"('Q92896', 'P16581')"
"('Q14527', 'O75554')"
"('Q01831', 'P51532')"
"('P52630', 'O75159')"
"('P10275', 'Q9UER7')"
"('P05067', 'P07339')"
"('O14737', 'P01889')"
"('P84077', 'P53618')"
"('P36956', 'P49327')"
"('O95267', 'P10301')"
"('P32881', 'Q8IU57')"
"('Q9NTZ6', 'Q9HAT8')"
"('Q9BQD3', 'Q8IYF1')"
"('Q12933', 'Q92956')"
"('Q92837', 'P49716')"
"('P49767', 'P08138')"
"('Q04206', 'O00165')"
"('O14788', 'P68104')"
"('P51817', 'P41181')"
"('O43921', 'P10721')"
"('Q9BUQ8', 'Q15428')"
"('Q9H4M9', 'Q9BXF6')"
"('P01876', 'Q96JB5')"
"('Q99623', 'Q9Y4K3')"
"('P53041', 'P08107')"
"('P23284', 'Q9UET6')"
"('P61513', 'P83881')"
"('Q8IWP9', 'Q15653')"
"('P27361', 'Q06124')"
"('P29353', 'P62736')"
"('Q9P2W3', 'Q9NQ66')"
"('P46108', 'O94856')"
"('P13994', 'P17028')"
"('P15927', 'Q9UQ84')"
"('Q9Y4C0', 'Q8N2Q7')"
"('P32969', 'P49366')"
"('Q9BXP8', 'Q96KM6')"
"('P48023', 'P56937')"
"('Q6IQ26', 'Q05513')"
"('P25116', 'Q14344')"
"('P61981', 'Q96SB4')"
"('P22392', 'P63173')"
"('Q9NRR5', 'Q9UBS4')"
"('O15198', 'P02751')"
"('P52565', 'P29466')"
"('P15924', 'P60510')"
"('Q15185', 'P55210')"
"('P00403', 'P36542')"
"('P08631', 'Q7LFX5')"
"('O60885', 'P16333')"
"('Q9UBW7', 'P63279')"
"('Q8N5S9', 'Q9UGJ0')"
"('Q99677', 'Q5JWF2')"
"('P01579', 'Q13651')"
"('O00459', 'P63000')"
"('Q9Y3C7', 'Q9BTY7')"
"('P17655', 'Q9HBL0')"
"('P34130', 'Q16288')"
"('P18564', 'P56945')"
"('O15105', 'Q9NRA8')"
"('P08134', 'P01243')"
"('Q9Y6K1', 'P49716')"
"('Q9NR96', 'P47756')"
"('P06239', 'P67870')"
"('P62324', 'P05412')"
"('Q5T3J3', 'P04083')"
"('Q96ID5', 'P11274')"
"('Q15583', 'Q9NPJ1')"
"('Q13485', 'P68104')"
"('P63279', 'Q6EEV6')"
"('P61769', 'P22415')"
"('Q15080', 'P19878')"
"('Q04206', 'P42224')"
"('O94972', 'Q9BUZ4')"
"('Q13480', 'Q12913')"
"('Q9HBI1', 'Q13573')"
"('Q8WYR1', 'Q05655')"
"('O00635', 'Q02556')"
"('P20936', 'P07948')"
"('Q6VMQ6', 'Q9Y222')"
"('Q9UK22', 'P63208')"
"('P31327', 'P04049')"
"('Q8N1F7', 'P35658')"
"('Q9Y4G6', 'Q13797')"
"('P43405', 'Q8TF42')"
"('P61077', 'O15344')"
"('P35626', 'Q8NH43')"
"('P49750', 'Q8TDY2')"
"('P01112', 'P48736')"
"('O00232', 'Q15008')"
"('P04792', 'O14920')"
"('Q13444', 'O94875')"
"('Q9HAU4', 'O95630')"
"('Q15303', 'Q9ULV8')"
"('O94921', 'P36897')"
"('Q86YR7', 'Q96KG7')"
"('Q03164', 'Q92769')"
"('Q5T3J3', 'O15182')"
"('P39656', 'O00264')"
"('P33240', 'Q16630')"
"('Q13535', 'P11142')"
"('P49715', 'P09919')"
"('O15084', 'O75170')"
"('P37173', 'Q92831')"
"('P12236', 'P45880')"
"('P20929', 'Q07889')"
"('O15105', 'Q9UN79')"
"('P20333', 'O95831')"
"('Q96QB1', 'P11940')"
"('Q96JB5', 'Q96HY6')"
"('Q9BUJ2', 'Q07955')"
"('P35241', 'P60709')"
"('Q96QB1', 'Q68CZ2')"
"('Q02779', '84451')"
"('P06493', 'O15287')"
"('P60896', 'O43809')"
"('Q68CJ9', 'Q9NR55')"
"('P10827', 'Q13547')"
"('Q9UI36', 'P84022')"
"('P48736', 'P27986')"
"('P05060', 'P22607')"
"('O43237', 'Q9H4B7')"
"('P20248', 'P06493')"
"('Q01082', 'Q9NQ66')"
"('O94868', 'P08238')"
"('Q14397', 'P31749')"
"('Q15047', 'Q9BWC9')"
"('P00338', 'Q92597')"
"('Q92901', 'Q9Y3U8')"
"('P23297', 'Q00987')"
"('Q9Y6Q9', 'Q86X55')"
"('Q9NPF7', 'P24394')"
"('O14920', 'Q3ZCQ8')"
"('P30273', 'P08047')"
"('P0C1Z6', 'O96019')"
"('P51151', 'O60664')"
"('O43464', 'Q9NR09')"
"('P39023', 'P05388')"
"('P04899', 'Q00975')"
"('Q07157', 'P63267')"
"('Q9Y3U8', 'P46776')"
"('Q9NQX3', 'Q99928')"
"('Q86UL8', 'P08588')"
"('Q08945', 'P25205')"
"('P98170', 'Q96LR5')"
"('P11171', 'P54819')"
"('P04439', 'Q14954')"
"('P62993', 'P55795')"
"('P01106', 'P06730')"
"('P26368', 'Q7Z7J5')"
"('Q93009', 'Q12816')"
"('Q12879', 'Q05586')"
"('P19087', 'P35913')"
"('P31689', 'Q92956')"
"('P23443', 'P62753')"
"('Q14562', 'Q9UHR5')"
"('Q15906', 'O95619')"
"('Q92993', 'Q13332')"
"('Q5VTD9', 'P82094')"
"('P04637', 'Q8N2W9')"
"('O94806', 'P63027')"
"('P49427', 'Q13309')"
"('O75688', 'P50750')"
"('P56880', 'P56746')"
"('Q8WUM0', 'P21675')"
"('Q8N5R6', 'O60232')"
"('Q13085', 'O76071')"
"('P61981', 'Q8WWL7')"
"('P31751', 'O43524')"
"('P01106', 'Q6ICH7')"
"('O00255', 'Q9H4W6')"
"('Q92993', 'P0C0S5')"
"('Q9NPF7', 'P08887')"
"('Q5THR3', 'Q96ST3')"
"('Q13347', 'P47813')"
"('P01106', 'P04049')"
"('P10398', 'Q53G59')"
"('O75534', 'P16333')"
"('P04637', 'Q09472')"
"('P61812', 'P45983')"
"('Q9Y6K1', 'P18146')"
"('Q9UNE7', 'P0CG48')"
"('P22090', 'P39019')"
"('P24530', 'P30679')"
"('Q8TC57', 'O43186')"
"('P05412', 'Q01892')"
"('Q8NHL6', 'P12318')"
"('P16401', 'Q96EB6')"
"('P24821', 'Q9UKX5')"
"('P52797', 'P08069')"
"('Q96HA8', 'P61457')"
"('Q99877', 'P04908')"
"('P60520', 'P58107')"
"('O43353', 'P28482')"
"('P09619', 'Q9UJM3')"
"('Q9BT78', 'Q5VTR2')"
"('P05161', 'P78545')"
"('P38936', 'P02675')"
"('O75122', 'O94817')"
"('P35249', 'Q13573')"
"('P18621', 'O95989')"
"('P49366', 'P62330')"
"('O95376', 'Q969T4')"
"('Q13838', 'P50570')"
"('P04637', 'O60729')"
"('P62847', 'P62273')"
"('P22626', 'P67809')"
"('Q9UMS4', 'Q9UPT5')"
"('P09038', 'P62195')"
"('P35626', 'Q8NH05')"
"('P20248', 'Q14209')"
"('P46776', 'P61313')"
"('P04271', 'P31949')"
"('P61073', 'Q04900')"
"('Q04759', 'P61586')"
"('P61353', 'P84098')"
"('P53567', 'P17676')"
"('P02794', 'P04150')"
"('P18827', 'P27361')"
"('P20290', 'P03372')"
"('Q13976', 'Q9UKL4')"
"('Q9NVV9', 'Q86SE5')"
"('O75376', 'P56524')"
"('P24723', 'P61586')"
"('Q12906', 'Q01085')"
"('P31939', 'P27105')"
"('P23297', 'P16615')"
"('P37198', 'P19338')"
"('Q3LI72', 'P61981')"
"('P00533', 'Q00325')"
"('P60953', 'P46940')"
"('O15371', 'P30480')"
"('P17612', 'Q13972')"
"('Q9P1Y5', 'P04350')"
"('P63261', 'P13533')"
"('P0C1H6', 'Q16777')"
"('P03905', 'O43677')"
"('Q8WZA2', 'Q9P2N4')"
"('Q9NWZ3', 'Q96FA3')"
"('P11362', 'P35568')"
"('Q14451', 'Q05516')"
"('343477', 'Q9Y6K9')"
"('Q12933', 'Q9Y575')"
"('Q05655', 'Q13233')"
"('Q9P2D1', 'Q6STE5')"
"('Q9H2W6', 'Q14197')"
"('P30086', 'Q96BK5')"
"('P01566', 'P48357')"
"('P38432', 'Q8IWY9')"
"('Q9Y6K9', 'P08107')"
"('P01567', 'Q92985')"
"('Q9NQX3', 'P42345')"
"('Q9Y2L1', 'Q13868')"
"('O00231', 'Q99460')"
"('P60866', 'P46783')"
"('O14862', 'P10914')"
"('Q08380', 'Q9NYJ8')"
"('Q9NRD5', 'Q9GZQ8')"
"('Q14739', 'P45973')"
"('P08107', 'Q04206')"
"('Q6PKG0', 'Q14141')"
"('Q12888', 'P04637')"
"('P46379', 'P20366')"
"('P11940', 'Q13573')"
"('P69849', 'Q9NRR5')"
"('P24821', 'P05106')"
"('Q13425', 'O95477')"
"('Q13885', 'Q9BTW9')"
"('P07900', 'P06241')"
"('P01215', 'P01222')"
"('Q06190', 'P19429')"
"('Q9NRI5', 'Q9Y316')"
"('O60925', 'Q96PX6')"
"('Q6PIL6', 'Q9NS61')"
"('Q9NZN5', 'Q07890')"
"('P54253', 'Q96MN9')"
"('Q9P2S2', 'Q9GZR7')"
"('Q9Y6Q5', 'O43493')"
"('P54253', 'Q7Z6M4')"
"('P50453', 'P51124')"
"('P40939', 'Q9Y572')"
"('Q14831', 'P63096')"
"('O43684', 'Q9UJX3')"
"('P22061', 'O43353')"
"('P58876', 'O15265')"
"('Q9NWT6', 'Q8TAK5')"
"('P08172', 'P63211')"
"('O77932', 'Q9NPD3')"
"('Q9UKV8', 'Q7L2E3')"
"('Q9Y2W7', 'Q03060')"
"('P37023', 'P84022')"
"('Q9BWJ5', 'Q15428')"
"('O95084', 'Q9H0R3')"
"('P07196', 'Q12988')"
"('O15551', 'Q8NI35')"
"('P61077', 'P05386')"
"('Q5UIP0', 'P36405')"
"('P78364', 'P35227')"
"('Q9GZS1', 'Q9UHI6')"
"('Q16526', 'O15534')"
"('Q6ZT12', 'O00471')"
"('O14974', 'P24844')"
"('P14316', 'P51610')"
"('Q96L34', 'P60953')"
"('O00217', 'Q86Y39')"
"('P62249', 'P63220')"
"('Q96JG8', 'Q9NR46')"
"('Q6Q0C0', 'Q9Y2X8')"
"('Q13526', 'P29353')"
"('P08754', 'Q8WYR1')"
"('Q7Z2G1', 'O75367')"
"('P01243', 'O75190')"
"('P12830', 'Q13309')"
"('P18146', 'P26367')"
"('693123', 'Q00534')"
"('P50453', 'Q9Y4G2')"
"('Q8ND90', 'Q96L34')"
"('O75626', 'Q9Y6Y0')"
"('P10415', 'Q8IVG9')"
"('Q9HBW0', 'Q15654')"
"('Q9Y2M5', 'Q9Y383')"
"('Q9UKV0', 'P63104')"
"('Q12923', 'Q8TEU7')"
"('Q9Y272', 'P16520')"
"('Q9H3U1', 'Q9HAW0')"
"('P24863', 'P15170')"
"('Q14191', 'P55072')"
"('P04899', 'Q9UP65')"
"('O95500', 'P56747')"
"('O14497', 'Q12824')"
"('Q9NRA8', 'Q13485')"
"('P32121', 'O95918')"
"('P60709', 'O15371')"
"('P01133', 'P29353')"
"('P26373', 'P50914')"
"('Q9UIF7', 'P27695')"
"('P49815', 'O15169')"
"('Q8IVH8', 'Q9NZM3')"
"('P51149', 'Q15014')"
"('P98177', 'O15294')"
"('P32121', 'Q9Y2T4')"
"('O43809', 'Q8WWI5')"
"('P01709', 'P0CG04')"
"('Q99417', 'P25942')"
"('P20701', 'P36941')"
"('Q9UM11', 'Q14511')"
"('Q9H0H5', 'Q07889')"
"('Q9HAF1', 'P51116')"
"('PB_10', 'P23458')"
"('O75167', 'P19174')"
"('P12107', 'P08514')"
"('P14616', 'Q07890')"
"('Q96RI0', 'P50148')"
"('Q96PU5', 'Q15303')"
"('A6NIT4', 'Q8N6P7')"
"('Q15834', 'Q9HB75')"
"('P84103', 'Q12986')"
"('O15162', 'P18146')"
"('P01106', 'Q6P2Q9')"
"('Q9UJX3', 'P30260')"
"('Q9Y230', 'Q9UHD2')"
"('P18146', 'P04080')"
"('P33993', 'Q9UNS1')"
"('Q16512', 'P22532')"
"('O15530', 'Q05513')"
"('P61296', 'Q92905')"
"('Q13033', 'P62714')"
"('P40227', 'Q99759')"
"('Q9Y239', 'Q04206')"
"('Q86U06', 'P68366')"
"('Q96QK1', 'P23508')"
"('Q8WUM0', 'Q12769')"
"('Q8NGG4', 'P41182')"
"('Q9Y4K3', 'Q14457')"
"('P30480', 'P46108')"
"('Q9Y3P8', 'Q06124')"
"('Q13535', 'O60568')"
"('O43374', 'Q9H910')"
"('P43243', 'P62993')"
"('Q13315', 'Q96T51')"
"('Q92753', 'O00327')"
"('O60603', 'Q8IWL2')"
"('O00501', 'C9JDP6')"
"('Q9P2M7', 'P35580')"
"('P01106', 'P53611')"
"('Q96BR1', 'Q96J02')"
"('P30050', 'Q02543')"
"('P24278', 'P38432')"
"('Q15750', 'P07900')"
"('Q96NY9', 'Q9BQ83')"
"('P39023', 'P46778')"
"('P62633', 'P07910')"
"('P01106', 'P52701')"
"('P49841', 'Q6UXH1')"
"('P10412', 'Q99558')"
"('O43913', 'Q9UJX2')"
"('O00463', 'P53779')"
"('Q12933', 'O14920')"
"('Q9NS15', 'O75400')"
"('P49327', 'Q13573')"
"('P24539', 'P05496')"
"('Q92838', 'Q9HAV5')"
"('P55786', 'P16035')"
"('P83916', 'Q02539')"
"('O00141', 'P39023')"
"('O75376', 'P48443')"
"('Q8N3X1', 'Q07666')"
"('O95484', 'O15551')"
"('Q8IYF3', 'Q9Y6D9')"
"('Q96EZ8', 'Q8IXK0')"
"('P48552', 'P19793')"
"('Q12983', 'Q08722')"
"('Q96T60', 'P12980')"
"('Q15831', 'Q9C0K7')"
"('O60675', 'P17544')"
"('Q9H7U1', 'Q9GZM8')"
"('Q96LR5', 'Q9Y3C5')"
"('P43657', 'Q9UK08')"
"('P61769', 'P30504')"
"('Q03014', 'O14786')"
"('P16220', 'Q9NQV8')"
"('Q86VH2', 'Q13573')"
"('406884', 'P08727')"
"('Q9NPJ4', 'P13631')"
"('P62805', 'Q16695')"
"('Q13158', 'P55210')"
"('Q06323', 'Q12873')"
"('Q15233', 'P11387')"
"('Q01130', 'O95218')"
"('O00182', 'O00214')"
"('Q9Y620', 'Q96JP2')"
"('Q8N6P7', 'P29597')"
"('P01871', 'Q16644')"
"('O75334', 'Q99459')"
"('P62166', 'P21918')"
"('P07948', 'Q13444')"
"('P62330', 'O95347')"
"('P51553', 'P50213')"
"('Q8TCG1', 'Q9HBA0')"
"('O00206', 'P01100')"
"('P30559', 'O60840')"
"('P02647', 'P02766')"
"('O43707', 'Q05397')"
"('Q53ET0', 'P16220')"
"('P46783', 'P62857')"
"('Q96DH6', 'Q96DU9')"
"('P25098', 'P49682')"
"('P78364', 'P11142')"
"('P04183', 'P38606')"
"('P27361', 'O76070')"
"('P21781', 'P22607')"
"('P52333', 'Q15464')"
"('P62495', 'Q8IYD1')"
"('P30050', 'P27635')"
"('P02452', 'P31431')"
"('Q8NHQ1', 'Q9BPY3')"
"('Q13952', 'P30304')"
"('Q7Z2G1', 'Q9UQL6')"
"('O95433', 'O43281')"
"('Q06323', 'O75832')"
"('O43463', 'Q16254')"
"('P02686', 'P01903')"
"('O14777', 'Q9BZD4')"
"('Q9NWA0', 'O95402')"
"('P52797', 'P16234')"
"('P31943', 'Q86V81')"
"('P68371', 'P68363')"
"('P55895', 'P15918')"
"('P42336', 'Q9UKG1')"
"('O60341', 'Q9BTC8')"
"('O75367', 'Q96DB2')"
"('Q7L5N1', 'P60903')"
"('Q6R327', 'P13645')"
"('O60244', 'O95402')"
"('P41221', 'Q9ULV1')"
"('P55036', 'Q99436')"
"('P11177', 'P23508')"
"('P11142', 'P11021')"
"('Q13315', 'P26641')"
"('Q92574', 'Q6R327')"
"('Q9BRP4', 'P43686')"
"('P11926', 'P04183')"
"('Q8WWM7', 'P55854')"
"('P25942', 'O75376')"
"('Q99816', 'P06733')"
"('Q99962', 'P08581')"
"('Q92793', 'P10827')"
"('P12318', 'Q6PI73')"
"('P02776', 'O00574')"
"('O43719', 'Q99689')"
"('Q9BZD4', 'P18847')"
"('P35626', 'Q8NGC7')"
"('P41235', 'Q07869')"
"('P33991', 'Q7L590')"
"('P62701', 'P62280')"
"('P15498', 'Q07666')"
"('O43240', 'Q5UIP0')"
"('Q5RKV6', 'Q7L5N1')"
"('Q99959', 'O15198')"
"('P62273', 'P62269')"
"('Q9Y3U8', 'P18124')"
"('P61313', 'P63173')"
"('P33981', 'Q6WCQ1')"
"('Q15648', 'Q13158')"
"('P35637', 'O75937')"
"('P06241', 'P42338')"
"('Q8IZL8', 'P46379')"
"('Q99714', 'Q12873')"
"('Q9Y6W6', 'O15264')"
"('P35080', 'Q9Y478')"
"('Q13315', 'O14531')"
"('Q9H832', 'Q6UVK1')"
"('O75880', 'Q14061')"
"('Q9UQC2', 'O43561')"
"('P53778', 'P62714')"
"('P49815', 'P14635')"
"('Q92831', 'Q8IYH5')"
"('P08887', 'P52333')"
"('Q9NS73', 'Q9NR33')"
"('P37198', 'Q9Y3C0')"
"('P02768', 'O75419')"
"('Q9H171', 'Q9UHX1')"
"('Q7Z4H7', 'Q86UT6')"
"('P61981', 'A0MZ66')"
"('P21675', 'P23527')"
"('Q15853', 'P38398')"
"('O75381', 'Q13547')"
"('P49841', 'Q9Y3F4')"
"('P04632', 'Q9C099')"
"('Q9Y4K3', 'P10721')"
"('Q13177', 'P06241')"
"('P17947', 'P33076')"
"('P04141', 'P51532')"
"('Q13535', 'Q92785')"
"('O60603', 'P04839')"
"('P46108', 'Q9UBS5')"
"('Q86WV6', 'Q96A33')"
"('P28799', 'Q5VTD9')"
"('P22455', 'Q8WYR1')"
