negatives
"('P63165', 'Q969V5')"
"('P60983', 'P12980')"
"('P43657', 'P63218')"
"('P01106', 'P57088')"
"('P80098', 'P35222')"
"('O14777', 'Q53G59')"
"('Q92569', 'Q15046')"
"('O60502', 'P54257')"
"('P01106', 'Q9BZL6')"
"('Q7L590', 'P53350')"
"('P05198', 'Q13347')"
"('Q00978', 'Q8WXG1')"
"('P02787', 'Q30201')"
"('P17542', 'Q16576')"
"('P04004', 'P08648')"
"('Q8N3U4', 'Q02224')"
"('O60237', 'O14950')"
"('P42566', 'Q15303')"
"('Q9P2W3', 'O60840')"
"('Q96FE5', 'Q969H0')"
"('P40855', 'O60683')"
"('Q99962', 'P60709')"
"('Q9Y297', 'Q04206')"
"('P05412', 'P20226')"
"('O00585', 'P46094')"
"('Q9NRV9', 'O14964')"
"('Q99683', 'P45984')"
"('Q7L5N1', 'P21673')"
"('P61254', 'Q9UKV8')"
"('Q13107', 'Q53GS9')"
"('P05067', 'Q13867')"
"('Q96F07', 'P55160')"
"('O14686', 'Q6UXN9')"
"('O14492', 'P29353')"
"('Q9NVC6', 'Q71F56')"
"('Q13573', 'Q9BWF3')"
"('Q9BSJ8', 'Q9Y6K9')"
"('Q16659', 'Q96N66')"
"('O43818', 'P10114')"
"('Q9UJU6', 'Q92918')"
"('P49257', 'Q9BS26')"
"('P42771', 'Q99741')"
"('P26441', 'Q6UXL0')"
"('P78545', 'P62807')"
"('O43707', 'P19838')"
"('Q13509', 'Q13838')"
"('P60866', 'P62244')"
"('P32121', 'Q8NGN5')"
"('Q8TBB1', 'Q12933')"
"('P10321', 'P43626')"
"('Q13564', 'Q8TBC4')"
"('P32121', 'Q6IFH4')"
"('P12956', 'Q9NUW8')"
"('Q8WXG9', 'Q13402')"
"('Q9GZS1', 'Q9UH99')"
"('P35269', 'P27540')"
"('Q13315', 'Q8TE77')"
"('P12236', 'P19438')"
"('P31749', 'P62140')"
"('P38646', 'O43318')"
"('P02768', 'Q9GZU2')"
"('P86790', 'Q99459')"
"('Q9UEW8', 'Q9Y376')"
"('Q02045', 'Q9P2M7')"
"('Q8NFP9', 'P06241')"
"('P12931', 'Q05193')"
"('P02647', 'Q8N139')"
"('P05121', 'P00749')"
"('O43920', 'Q9Y375')"
"('Q86YW0', 'Q9NRD5')"
"('Q99683', 'P45985')"
"('P52732', 'Q13573')"
"('Q9NRZ5', 'P46108')"
"('Q01844', 'O15162')"
"('O43307', 'Q9HAU0')"
"('Q8IX03', 'Q5T3J3')"
"('O60333', 'Q12959')"
"('Q15717', 'P01100')"
"('Q53GS9', 'Q99459')"
"('P34995', 'P50148')"
"('Q9UBU8', 'Q9Y230')"
"('P08754', 'Q9P2W3')"
"('P68400', 'Q14005')"
"('Q8N4P2', 'Q9BPU9')"
"('P49840', 'O75581')"
"('P28066', 'P25787')"
"('Q9UBQ0', 'Q70Z53')"
"('Q9H6Z4', 'P84022')"
"('Q13363', 'Q8WW38')"
"('Q9NP79', 'Q53G59')"
"('P02647', 'P02654')"
"('P10721', 'Q06124')"
"('Q5T3J3', 'P61513')"
"('P42574', 'P08670')"
"('P84022', 'P15692')"
"('Q13315', 'Q5VTL8')"
"('O00716', 'Q06609')"
"('P55196', 'Q9NQS3')"
"('Q7L190', 'P23443')"
