negatives
"('Q5T3J3', 'P13385')"
"('Q9UHI6', 'Q9UGN5')"
"('P01106', 'O94910')"
"('P31785', 'P14784')"
"('P62917', 'Q9H6J7')"
"('P63151', 'Q15170')"
"('Q15691', 'P25054')"
"('P04183', 'P01023')"
"('P42575', 'P55957')"
"('Q15788', 'P05412')"
"('Q6UWE0', 'Q9NPR9')"
"('Q93062', 'Q15038')"
"('Q8IVF5', 'P17081')"
"('O75832', 'O00231')"
"('P04637', 'Q66K89')"
"('P61981', 'Q86X27')"
"('Q96KP1', 'Q9UGK8')"
"('O43684', 'Q8N5F7')"
"('O60341', 'Q16891')"
"('Q16384', 'O95863')"
"('P05121', 'Q13485')"
"('P30281', 'O94921')"
"('Q9HAU4', 'P10721')"
"('O75569', 'O75925')"
"('P62330', 'P00505')"
"('Q6P2C8', 'Q9BWU1')"
"('P61960', 'Q9UK32')"
"('P37173', 'P84022')"
"('P14854', 'Q8IXH7')"
"('Q13751', 'P18564')"
"('Q9H9J2', 'P42356')"
