negatives
"('Q9NVI7', 'P62993')"
"('Q5T5Y3', 'P18146')"
"('P21796', 'P49662')"
"('Q00597', 'P14625')"
"('Q9UQ72', 'P68104')"
"('P61224', 'P13612')"
"('P05112', 'Q9UHF4')"
"('Q9Y4K3', 'Q9Y4L1')"
"('P27986', 'P20273')"
"('P42574', 'Q14203')"
"('Q14160', 'Q15700')"
"('Q5VWQ8', 'Q15628')"
"('Q13148', 'P07942')"
"('Q9UKR5', 'P78560')"
"('Q96PM5', 'P0CG48')"
"('Q8IWW6', 'P08134')"
"('Q14164', 'Q08380')"
"('Q99750', 'Q9BUY5')"
"('O15264', 'P50990')"
"('P63104', 'P00558')"
"('O43597', 'P53384')"
"('Q14573', 'Q13555')"
"('Q10586', 'P49959')"
"('Q8WXH5', 'Q13651')"
"('P01116', 'O00329')"
"('Q9UM47', 'P67870')"
"('Q12933', 'P21333')"
"('A6NM45', 'P56880')"
"('Q96BK5', 'P61088')"
"('Q9HAU4', 'Q14315')"
"('Q07955', 'O75937')"
"('Q00987', 'P61978')"
"('Q05086', 'P33993')"
"('P63092', 'P59768')"
"('P55735', 'Q15437')"
"('P16035', 'O95757')"
"('Q9UPT5', 'Q8IWZ6')"
"('P35626', 'Q96R48')"
"('Q9Y3U8', 'O15479')"
"('Q96SB4', 'Q14151')"
"('P17706', 'P56199')"
"('P60709', 'P55884')"
"('P36873', 'Q9BUA6')"
"('Q00013', 'Q15418')"
"('Q14872', 'P67870')"
"('Q02218', 'O15162')"
"('O00217', 'Q9UI09')"
"('Q9P0J0', 'Q99816')"
"('Q04206', 'O95644')"
"('P04150', 'P03956')"
"('O76094', 'P12757')"
"('Q9NYB9', 'Q9Y2A7')"
"('P63104', 'Q9BQA1')"
"('Q9UL18', 'P62917')"
"('P62913', 'P18621')"
"('Q13310', 'O15198')"
"('Q99459', 'Q99816')"
"('P26196', 'O94817')"
"('O14788', 'Q16560')"
"('P48643', 'P62714')"
"('Q8WVZ9', 'Q9GZQ8')"
"('P05106', 'Q9BRC7')"
"('P06239', 'P16410')"
"('Q9BX73', 'Q9UGN5')"
"('O75365', 'Q9NVI1')"
"('P49703', 'P15104')"
"('P17676', 'Q16548')"
"('Q9Y6I3', 'P21802')"
"('P01106', 'Q86VP6')"
"('P22681', 'Q9UHF4')"
"('Q9Y2Q3', 'O94874')"
"('P18754', 'Q8IZ69')"
"('Q06265', 'Q9NPD3')"
"('Q01831', 'P51532')"
"('P36897', 'Q9H4E5')"
"('Q92560', 'Q15819')"
"('Q13415', 'O43929')"
"('P05112', 'Q8N6P7')"
"('O95168', 'Q9Y6M9')"
"('Q12778', 'Q03135')"
"('P32121', 'Q6IEZ7')"
"('Q8IY92', 'O75663')"
"('P09012', 'Q9HCK8')"
"('Q9UJX2', 'Q8NHZ8')"
"('Q96DB2', 'P33778')"
"('P02462', 'P18564')"
"('P62837', 'Q969Q1')"
"('P62249', 'P15880')"
"('Q12933', 'P42336')"
"('Q15329', 'O15392')"
"('P62714', 'O95267')"
"('Q9Y6K9', 'Q16643')"
"('Q9UP38', 'Q01970')"
"('P34741', 'P15311')"
"('Q13541', 'P0CG12')"
"('P49790', 'Q96EE3')"
"('A8MTJ3', 'P18545')"
"('P08648', 'O43707')"
"('P31947', 'P63104')"
"('P13987', 'O95782')"
"('P31946', 'P30307')"
