negatives
"('O14867', 'Q9BXI6')"
"('Q9H6L5', 'P61254')"
"('Q08AM6', 'P35680')"
"('Q07666', 'Q08211')"
"('P05019', 'P24593')"
"('Q8TBA6', 'Q01968')"
"('Q9NQ25', 'Q15047')"
"('Q86YT6', 'Q5VVX9')"
"('P80188', 'Q04206')"
"('P78396', 'P49674')"
"('P25098', 'P25963')"
"('P62633', 'P24941')"
"('Q14207', 'P14859')"
"('Q9BZZ5', 'P42226')"
"('Q96E29', 'Q12905')"
"('Q13191', 'Q9Y6Q6')"
"('O43633', 'P51149')"
"('P24752', 'Q9NRD1')"
"('P02458', 'P26010')"
"('Q5T3J3', 'P16870')"
"('B3EWF7', 'P27635')"
"('Q02878', 'O60260')"
"('P48023', 'P04150')"
"('P42695', 'Q9BYT8')"
"('Q9UIH9', 'Q92625')"
"('P33991', 'Q9UKB1')"
"('Q9HCE7', 'Q13404')"
"('Q9UM54', 'Q14677')"
"('P09067', 'Q92485')"
"('Q9BRK4', 'P78337')"
"('Q8IUQ4', 'O60333')"
"('Q9UKB1', 'Q96T88')"
"('Q15717', 'Q9UJX2')"
"('Q9Y2Q3', 'P21796')"
"('Q8IYT8', 'O76003')"
"('P49407', 'Q8NH72')"
"('O14654', 'Q13618')"
"('P25205', 'Q15714')"
"('O75376', 'P04150')"
"('Q9BYR7', 'Q8N6W0')"
"('P27635', 'P61254')"
"('Q68CZ6', 'Q2KHM9')"
"('O00555', 'Q9BXJ1')"
"('Q7L0Y3', 'Q9HA77')"
"('P18077', 'P62987')"
"('Q96HA1', 'P51116')"
"('Q9P2N7', 'Q92734')"
"('Q9Y3M2', 'Q08AD1')"
"('P18887', 'Q9UGN5')"
"('Q06587', 'P63208')"
"('Q49AN0', 'Q15831')"
"('P30154', 'P00533')"
"('Q15758', 'Q16659')"
"('Q9H9E3', 'Q8WVM8')"
"('O75312', 'O14530')"
"('Q96C19', 'O15144')"
"('Q13748', 'Q5TF39')"
"('Q02543', 'P46776')"
"('P0DP23', 'Q8IZD9')"
"('P08218', 'Q13137')"
"('P48736', 'O00329')"
"('Q9UKF6', 'Q9Y2Q3')"
"('Q9NWB6', 'Q05519')"
"('Q99828', 'P52565')"
"('Q8TDY2', 'Q86WA8')"
"('Q16539', 'Q16512')"
"('Q8IVT5', 'O75147')"
"('Q13114', 'Q9NYF3')"
"('Q15554', 'Q96EV2')"
"('Q6IQ23', 'P15924')"
"('P09651', 'P04075')"
"('Q9BYC9', 'Q00325')"
"('Q8N0Z3', 'Q5EBL8')"
"('Q9GZP4', 'P49356')"
"('O15520', 'P00533')"
"('Q00341', 'Q6IQ23')"
"('O75427', 'P60410')"
"('Q14161', 'Q9ULX9')"
"('Q75N90', 'O43809')"
"('Q96G27', 'Q9ULF5')"
"('Q96AV8', 'Q9Y265')"
"('Q9UQP3', 'P18084')"
"('Q8TAD2', 'P08887')"
"('P27449', 'Q8IX19')"
"('P12236', 'Q9Y5J7')"
"('P07911', 'P01584')"
"('Q6PL24', 'Q9BTD3')"
"('P04629', 'Q8WZ42')"
"('P55854', 'Q13111')"
"('O00442', 'P62330')"
"('P62829', 'P54578')"
"('Q15084', 'Q7Z6Z7')"
"('P62888', 'P46778')"
"('Q7KZN9', 'O75208')"
"('Q9Y6E0', 'P15924')"
"('Q9UJM3', 'Q9GZS3')"
"('P49773', 'P09104')"
"('P63104', 'O75594')"
"('Q9Y295', 'P38432')"
"('Q15369', 'P40337')"
"('Q96JH8', 'P22607')"
"('Q9NQC7', 'P54278')"
"('Q9UM73', 'P01889')"
"('Q96GF1', 'P54727')"
"('Q86TI0', 'P04792')"
"('Q96GX1', 'Q9H6U8')"
"('Q13547', 'Q9BZD6')"
"('Q9BWD1', 'Q3LXA3')"
"('Q99853', 'P49916')"
"('Q9NX04', 'Q96EL1')"
"('Q969Q6', 'Q8WWY3')"
"('Q9H492', 'O14979')"
"('Q15059', 'P10451')"
"('Q13239', 'O43561')"
"('Q92575', 'Q5SWX8')"
"('P05067', 'P54760')"
"('P04637', 'O15524')"
"('Q9NZC7', 'Q96DA0')"
"('P61960', 'Q9Y2X8')"
"('P49792', 'P61956')"
"('Q6P5W5', 'Q658P3')"
"('Q0VD86', 'Q96CS2')"
"('P09651', 'Q9P0M9')"
"('O14964', 'Q9NRV9')"
"('P09067', 'Q08379')"
"('O60573', 'Q5T124')"
"('O00148', 'Q9NYQ6')"
"('P06493', 'P30153')"
"('P40425', 'O60663')"
"('Q9UKX7', 'Q9Y3A5')"
"('Q49A26', 'Q12905')"
"('P05423', 'P53803')"
"('P42701', 'Q9BRT8')"
"('P52732', 'Q15717')"
"('P52434', 'Q8WVC0')"
"('P07101', 'P63104')"
"('Q9UBD9', 'Q99497')"
"('Q14146', 'O95817')"
"('P05412', 'O43324')"
"('P09874', 'P17096')"
"('Q16254', 'Q8N682')"
"('P61978', 'P38936')"
"('Q13509', 'Q14315')"
"('O14980', 'Q9Y3F4')"
"('P35568', 'P62258')"
"('Q8N4V1', 'P19404')"
"('Q15561', 'P14373')"
"('O95433', 'P07195')"
"('Q15021', 'P03372')"
"('Q8N682', 'Q01094')"
"('Q9C0B0', 'P16615')"
"('Q00839', 'Q9Y5B9')"
"('Q96AE4', 'Q08J23')"
"('P01912', 'P20963')"
"('Q15797', 'Q8TEW0')"
"('O95139', 'O00483')"
"('Q96KQ7', 'P19022')"
"('P55822', 'O94868')"
"('Q99496', 'P61956')"
"('Q7Z7C8', 'Q2M1P5')"
"('Q7Z4W3', 'A8MQ03')"
"('Q96BQ5', 'Q9Y3C5')"
"('Q9Y3F4', 'P19320')"
"('Q9UBU9', 'Q9UL03')"
"('Q15427', 'P19338')"
"('P48431', 'Q9H7D7')"
