negatives
"('P51693', 'Q99547')"
"('P62873', 'P48736')"
"('P55317', 'Q9Y261')"
"('P63000', 'P14598')"
"('P38398', 'Q09028')"
"('O43504', 'Q96AW1')"
"('Q9Y2I6', 'P13805')"
"('P38398', 'O96019')"
"('Q14807', 'P20393')"
"('P49674', 'Q99743')"
"('Q99759', 'P17066')"
"('O95168', 'Q86Y39')"
"('Q8NFH5', 'Q92621')"
"('Q13509', 'Q6PEY2')"
"('Q13573', 'P17980')"
"('Q13309', 'Q13415')"
"('P27348', 'Q6ICG6')"
"('P46108', 'P54253')"
"('P35372', 'P61952')"
"('Q13952', 'P35638')"
"('P61586', 'O60331')"
"('P49841', 'P48729')"
"('406883', 'P01112')"
"('P15407', 'P03956')"
"('Q9Y253', 'Q9UBZ9')"
"('Q8WV28', 'P16333')"
"('Q9UNA1', 'O00255')"
"('P35626', 'Q8NH01')"
"('P16144', 'P50552')"
"('P16070', 'P52735')"
"('Q9Y4K3', 'P16070')"
"('P00519', 'Q14191')"
"('O76071', 'Q14203')"
"('P01567', 'P26951')"
"('P01106', 'Q13905')"
"('Q96LR5', 'Q5VTB9')"
"('Q07021', 'Q9NYJ8')"
"('P41220', 'Q9P2H0')"
"('P01106', 'P23511')"
"('Q16539', 'Q07812')"
"('Q13425', 'Q16849')"
"('Q15008', 'P43686')"
"('Q9UBL3', 'P08047')"
"('Q8IUQ4', 'Q15059')"
"('O95870', 'P03901')"
"('P01562', 'P16471')"
"('Q9NQL2', 'P42345')"
"('Q9UBL3', 'P03372')"
"('P11387', 'Q14197')"
"('O43597', 'Q96B97')"
"('Q6P1K2', 'Q9Y3C7')"
"('O14757', 'P30304')"
"('P11940', 'Q00653')"
"('P35626', 'Q8NGS0')"
"('P17844', 'P07437')"
"('O60504', 'P24278')"
"('Q9UKY1', 'Q9C0J8')"
"('P36897', 'Q96JC1')"
"('Q9Y466', 'O00505')"
"('P20338', 'Q9UI14')"
"('Q9NS23', 'Q13043')"
"('P04899', 'P01116')"
"('P26373', 'P84098')"
"('P35638', 'Q9NPF7')"
"('Q13490', 'P20248')"
"('Q9UL18', 'P12236')"
"('P13807', 'P46976')"
"('Q14BN4', 'P30153')"
"('P08138', 'Q9NQ66')"
"('Q86Y07', 'P10415')"
"('Q8TCE6', 'P05091')"
"('Q9NWT6', 'Q8TAK5')"
"('Q8IYD8', 'P27694')"
"('P43405', 'O43914')"
"('Q12802', 'Q16611')"
"('P46108', 'P43403')"
"('Q9Y312', 'P36382')"
"('O95757', 'Q15170')"
"('O15198', 'Q6PD62')"
"('P63261', 'Q9HBI1')"
"('O60282', 'Q8IXI2')"
"('O00602', 'P26022')"
"('Q9NZ81', 'Q53G59')"
"('P32881', 'P78552')"
"('P18146', 'Q92839')"
"('P42858', 'P19838')"
"('P25098', 'P51677')"
"('Q9UNX3', 'P61254')"
"('P22607', 'Q13191')"
"('P49821', 'Q14197')"
"('O43264', 'Q15714')"
"('Q15019', 'Q9UHD8')"
"('Q14103', 'P52272')"
"('Q9BQA1', 'Q9Y3C6')"
"('P01106', 'Q13946')"
"('P08670', 'Q9UGL9')"
"('P43487', 'Q9UBN6')"
"('Q99814', 'Q8WYA1')"
"('Q9BVP2', 'O43586')"
"('P34903', 'P60520')"
"('P04406', 'Q9Y490')"
"('P34932', 'Q99683')"
"('Q9NY65', 'Q14204')"
"('P45983', 'P18847')"
"('Q99933', 'Q9Y618')"
"('O43809', 'P56182')"
"('P34947', 'P61073')"
"('Q8N163', 'P78396')"
"('Q16531', 'Q7Z569')"
"('P08107', 'P19838')"
"('P27986', 'O43150')"
"('P36776', 'Q99759')"
"('Q16665', 'P11169')"
"('Q9NP62', 'Q13616')"
"('Q92624', 'Q9H1J7')"
"('P30876', 'Q9NZC7')"
"('Q8IWT3', 'P12931')"
"('P22694', 'P19838')"
"('Q15149', 'P61073')"
"('Q12929', 'P05107')"
"('Q9P2K6', 'Q9UMX0')"
"('A6NIT4', 'Q99665')"
"('Q9UL18', 'P36578')"
"('P55884', 'P41567')"
"('P52797', 'P06213')"
"('Q9UQM7', 'Q7Z3S7')"
"('P25490', 'P84022')"
"('P21860', 'P04626')"
"('P24394', 'P29597')"
"('Q9Y5X4', 'Q13547')"
"('P01308', 'Q9UK32')"
"('O43561', 'Q13588')"
"('P12931', 'Q9P1A6')"
"('Q9P2K3', 'Q7Z6G3')"
"('Q13751', 'Q13753')"
"('Q07869', 'P28702')"
"('Q8IUE6', 'P56524')"
"('Q71UI9', 'Q7Z2G1')"
"('Q14192', 'Q9UHR5')"
"('Q9GZX7', 'Q96EY1')"
"('P46782', 'P61247')"
"('Q8NBJ7', 'P16104')"
"('Q9UJX2', 'P12004')"
"('Q9HCJ0', 'Q9UKV8')"
"('Q15835', 'P08588')"
"('Q8N752', 'P08151')"
"('P01833', 'P09341')"
"('Q9UI14', 'P20340')"
"('Q9Y572', 'Q05639')"
"('Q14247', 'P60709')"
"('P04183', 'Q9NPB8')"
"('P32121', 'O14920')"
"('Q92876', 'Q9HBG4')"
"('Q9Y6F8', 'O15131')"
"('Q11130', 'Q9BXR5')"
"('Q15714', 'Q9UNN5')"
"('O95167', 'P03886')"
"('P31946', 'Q13309')"
"('Q9H6Z4', 'P50053')"
"('P52333', 'Q99570')"
"('O95251', 'P21127')"
"('P35609', 'Q13683')"
"('P13569', 'Q92736')"
"('Q9UGU5', 'P13805')"
"('Q01974', 'P56705')"
"('Q8IUE6', 'Q5QNW6')"
"('Q16594', 'P62263')"
"('Q8ND90', 'P0CW26')"
"('Q13233', 'Q13451')"
"('P35606', 'Q9Y478')"
"('P61313', 'Q9Y3U8')"
"('P09429', 'P06400')"
"('P60510', 'P48643')"
"('P17676', 'Q06546')"
"('Q9UHV9', 'Q9P2S5')"
"('P46098', 'P27824')"
"('P35241', 'P60709')"
"('P20333', 'P19438')"
"('406952', 'P24385')"
"('O43561', 'P06241')"
"('P68431', 'O43918')"
"('Q96HF1', 'O75084')"
"('P01574', 'P48551')"
"('Q13315', 'Q5FWF5')"
"('P21246', 'P40763')"
"('Q9Y230', 'P01889')"
"('Q15750', 'P0CG48')"
"('O94832', 'Q99759')"
"('P53350', 'P25786')"
"('Q8N122', 'Q8TCU6')"
"('P48556', 'O00233')"
"('P26045', 'P63104')"
"('P46937', 'Q9H204')"
"('O14807', 'P04049')"
"('P61981', 'Q96N67')"
"('P13232', 'P08887')"
"('Q8N8B7', 'Q9Y620')"
"('P16471', 'P42229')"
"('A8MVU1', 'P19878')"
"('P36873', 'P04049')"
"('Q8TBB1', 'Q53G59')"
"('P51003', 'Q10570')"
"('Q71U36', 'P01374')"
"('P12004', 'P01889')"
"('P49407', 'P08588')"
"('P63173', 'Q9Y5J5')"
"('Q9H9Y6', 'O60264')"
"('Q9H9Y6', 'P60709')"
"('O43586', 'Q05209')"
"('Q13162', 'P16104')"
"('P63104', 'P27448')"
"('P21333', 'P22694')"
"('P49792', 'O60260')"
"('Q13885', 'O15259')"
"('O15344', 'P61077')"
"('Q12968', 'O14788')"
"('P25208', 'P20248')"
"('P07766', 'Q12929')"
"('P04626', 'P42679')"
"('Q9NYW8', 'P63165')"
"('P49023', 'P20936')"
"('Q9UKV8', 'P62753')"
"('Q9UPN9', 'Q8IY57')"
"('P48023', 'Q8WV41')"
"('Q92905', 'Q16531')"
"('Q9UBL3', 'Q5QNW6')"
"('P25054', 'O94910')"
"('Q76N89', 'O14640')"
"('Q9UKF6', 'Q13573')"
"('Q5T5S1', 'Q13137')"
"('Q969H0', 'Q15041')"
"('P11182', 'Q9H9G7')"
"('Q86UD3', 'P61077')"
"('Q13526', 'Q07820')"
"('Q09028', 'P68400')"
"('O94952', 'Q9C0A0')"
"('Q12805', 'P04049')"
"('P56199', 'Q9NVD7')"
"('Q9NSU2', 'Q01105')"
"('P05000', 'P38484')"
"('Q9H204', 'Q12774')"
"('P0CG47', 'Q99942')"
"('Q9BWH2', 'Q9NXU5')"
"('Q03135', 'P06241')"
"('Q08209', 'Q9UJX6')"
"('Q03111', 'Q9UHB7')"
"('P40818', 'Q13107')"
"('Q06609', 'Q6UWZ7')"
"('P14867', 'Q15111')"
"('P43897', 'P63104')"
"('P52926', 'Q16548')"
"('Q93009', 'Q96L34')"
"('O95983', 'Q96T58')"
"('Q13418', 'Q86Y56')"
"('P53350', 'O95251')"
"('Q08211', 'Q9NX58')"
"('Q99708', 'Q9NY61')"
"('P09651', 'P48634')"
"('Q9NPD3', 'Q99547')"
"('O00401', 'P59998')"
"('P60953', 'Q99683')"
"('P31751', 'P23945')"
"('Q9H0F5', 'P62837')"
"('P62306', 'P25788')"
"('P78423', 'P51679')"
"('O43318', 'Q00610')"
"('Q00839', 'P26599')"
"('P22607', 'Q9ULV8')"
"('Q04206', 'Q9NWQ8')"
"('Q6NV75', 'Q9Y4A5')"
"('Q9GZR7', 'Q14181')"
"('Q9UHB6', 'Q99759')"
"('P10721', 'P07947')"
"('O00206', 'Q15399')"
"('Q9NQG6', 'Q15388')"
"('O75478', 'O94864')"
"('P12270', 'Q5SRE5')"
"('P23396', 'Q13573')"
"('Q9Y468', 'P68431')"
"('Q9H3G5', 'Q9NSA3')"
"('Q12824', 'Q9NYL2')"
"('P42263', 'Q12879')"
"('Q13094', 'O75886')"
"('P35125', 'Q8N8A2')"
"('Q07955', 'Q13573')"
"('P32121', 'Q96R45')"
"('P02675', 'P38936')"
"('P00519', 'O43586')"
"('P27797', 'P30101')"
"('P13639', 'P63104')"
"('Q9NPA1', 'Q01668')"
"('Q9Y6K9', 'P63244')"
"('P43405', 'P46109')"
"('Q8TDR0', 'P08238')"
"('Q8ND90', 'O43347')"
"('Q96HS1', 'Q15047')"
"('O75925', 'P06401')"
"('Q9NP66', 'Q13485')"
"('P34947', 'P32121')"
"('P38398', 'P24522')"
"('Q9UHB6', 'Q9Y572')"
"('P13667', 'Q14164')"
"('Q9H8T0', 'Q3ZCQ8')"
"('Q9H1A4', 'P14635')"
"('Q96LR5', 'P00338')"
"('P12956', 'Q15102')"
"('P62269', 'P08708')"
"('O00329', 'P49841')"
"('Q9BYG5', 'Q15147')"
"('P41220', 'Q9P2D0')"
"('O94762', 'Q13352')"
"('Q9NR33', 'P56282')"
"('P50570', 'P12931')"
"('Q00005', 'P60953')"
"('O43914', 'P43631')"
"('P27694', 'Q86U06')"
"('P04626', 'Q9UBN7')"
"('Q8WX92', 'P62993')"
"('Q8WZA2', 'Q9NRZ7')"
"('Q00987', 'O43524')"
"('Q9H8Y8', 'P15531')"
"('P15514', 'P14780')"
"('Q16665', 'P06731')"
"('P13631', 'Q9UKP3')"
"('Q96ES7', 'P31947')"
"('P46778', 'P42766')"
"('P10721', 'P19174')"
"('P01700', 'P01871')"
"('Q9UBC5', 'P22087')"
"('Q9Y297', 'P56645')"
"('Q14164', 'P55884')"
"('P47914', 'O43586')"
"('Q7L590', 'Q00534')"
"('P38919', 'P61326')"
"('P05107', 'P42336')"
"('P42229', 'O14965')"
"('P53350', 'Q9H773')"
"('P10275', 'P18146')"
"('Q9UBT7', 'Q93009')"
"('Q9GZY6', 'Q13480')"
"('Q9UBS8', 'P62837')"
"('Q13099', 'O75940')"
"('P62244', 'P62851')"
"('Q8NCD3', 'P62805')"
"('Q8TAQ2', 'P24928')"
"('O00257', 'Q03164')"
"('Q9NS69', 'O96008')"
"('P04899', 'P48544')"
"('O00212', 'Q13153')"
"('P28360', 'P08047')"
"('P08631', 'Q92569')"
"('P17538', 'P01009')"
"('Q9UKV0', 'Q8WUI4')"
"('Q8IYX3', 'Q9BQ66')"
"('Q00536', 'P61981')"
"('P49407', 'P04731')"
"('P19838', 'P29459')"
"('Q15286', 'P63000')"
"('O43147', 'O75525')"
"('Q9Y6R4', 'P07355')"
"('P56748', 'Q16625')"
"('P05129', 'Q9UK08')"
"('P35573', 'P84022')"
"('P22670', 'P35611')"
"('Q9H1J1', 'Q8IYD1')"
"('Q96B33', 'Q07157')"
"('Q9H4B7', 'Q13573')"
"('P55884', 'Q13347')"
"('Q9H0E3', 'O94864')"
"('Q9H7U1', 'P32780')"
"('Q9NYF0', 'Q02156')"
"('Q99612', 'O60861')"
"('P62714', 'Q9UBS0')"
"('Q99447', 'Q15047')"
"('Q13424', 'P12956')"
"('Q15836', 'Q15027')"
"('P31946', 'Q9P0K7')"
"('P15923', 'Q9NR48')"
"('P32121', 'Q8NHC7')"
"('O14686', 'Q86VZ2')"
"('P56524', 'P20671')"
"('Q9UNN5', 'Q8TAD8')"
"('P15104', 'Q86Z02')"
"('P22105', 'P05556')"
"('Q01780', 'Q9NZW5')"
"('Q13315', 'Q8N137')"
"('P05154', 'Q7L5N1')"
"('Q92905', 'Q99459')"
"('Q8N2Z9', 'A8MT69')"
"('Q9UHF1', 'P48059')"
"('P16104', 'Q99879')"
"('P01903', 'P04233')"
"('Q16659', 'Q9UJ83')"
"('Q9Y478', 'P13667')"
"('Q14442', 'P37287')"
"('Q14457', 'Q08999')"
"('P60953', 'Q9NPB6')"
"('Q5VTD9', '26012')"
"('Q9UBY5', 'P62873')"
"('P08779', 'P01857')"
"('Q86U86', 'Q8NFD5')"
"('Q96AH8', 'P29372')"
"('Q13017', 'Q9HAU4')"
"('Q08945', 'P62826')"
"('Q9H4L4', 'Q6VMQ6')"
"('Q9NR50', 'P20042')"
"('P49815', 'P42345')"
"('Q9BUN5', 'P18146')"
"('Q13573', 'P05388')"
"('P62993', 'O75326')"
"('Q13363', 'Q15583')"
"('P10275', 'P07451')"
"('O60244', 'Q6P2C8')"
"('Q92769', 'P09455')"
"('P80075', 'P46094')"
"('Q13554', 'O60359')"
"('Q7L5N1', 'P30519')"
"('P52735', 'P0CG47')"
"('P08588', 'P63092')"
"('P49336', 'Q9NX70')"
"('P03905', 'P51970')"
"('Q13557', 'Q9UBN1')"
"('P25788', 'Q9H307')"
"('Q9HAV0', 'P63096')"
"('P61073', 'P01730')"
"('Q09028', 'Q9UBN6')"
"('P39023', 'P47914')"
"('P63104', 'Q9Y2A7')"
"('P06865', 'P16104')"
"('P04183', 'Q86XA0')"
"('Q9UDY2', 'P78369')"
"('Q14790', 'Q7LC44')"
"('P14416', 'P32121')"
"('P55196', 'Q96FS4')"
"('P22612', 'Q05397')"
"('Q13547', 'Q08999')"
"('P17535', 'P14780')"
"('P19256', 'Q9UGN5')"
"('P99999', 'Q9UET6')"
"('P52434', 'Q9Y535')"
"('P05412', 'P62714')"
"('O00255', 'Q8N2W9')"
"('Q9P013', 'Q96I25')"
"('Q14CB8', 'P52198')"
"('O75832', 'Q16401')"
"('Q9NQU5', 'P04049')"
"('Q01196', 'Q15723')"
"('Q13535', 'Q9NS91')"
"('P18084', 'P35609')"
"('Q13509', 'Q15012')"
"('Q9UHI6', 'Q16637')"
"('Q9Y620', 'Q8TBB1')"
"('P14373', 'P43364')"
"('Q14164', 'Q9HB71')"
"('Q9NYB0', 'Q9BSI4')"
"('P07202', 'P38484')"
"('P62888', 'P26373')"
"('Q9BV57', 'P50281')"
"('P42345', 'Q6R327')"
"('Q96BK5', 'P68036')"
"('Q9Y697', 'P00519')"
"('P46108', 'P31995')"
"('P21452', 'P50148')"
"('Q06609', 'Q96RT8')"
"('P01730', 'Q13432')"
"('P01100', 'P18846')"
"('P62979', 'P62269')"
"('Q9UHV2', 'P11802')"
"('Q8WYK2', 'P15336')"
"('Q9UBT7', 'Q92888')"
"('P62280', 'P62851')"
"('Q96EY7', 'Q01629')"
"('Q9HD26', 'P98095')"
"('Q14994', 'Q3L8U1')"
"('P31947', 'O95382')"
"('P30203', 'O00560')"
"('P35222', 'P51636')"
"('P07101', 'P63104')"
"('O15530', 'O14920')"
"('Q9UKV0', 'Q9UQL6')"
"('O43390', 'P16104')"
"('Q96HA8', 'P14923')"
"('P01876', 'P01620')"
"('Q6P2Q9', 'Q13435')"
"('Q08170', 'P14866')"
"('P12107', 'P13612')"
"('Q9NSE2', 'P40763')"
"('O15350', 'Q96PG8')"
"('P18146', 'P16035')"
"('Q9UGJ0', 'O43741')"
"('Q8N9I9', 'P51668')"
"('Q8NC60', 'Q9NUT2')"
"('P14859', 'P26583')"
"('406952', 'P23458')"
"('Q86YV0', 'O14807')"
"('P09382', 'P57678')"
"('P25398', 'P08708')"
"('P21333', 'Q9H2G2')"
"('P42345', 'Q9Y4H2')"
"('P51970', 'P03923')"
"('Q9Y2T1', 'P62714')"
"('Q13155', 'P60709')"
"('Q99459', 'Q9NUQ8')"
"('Q9Y3E7', 'Q15797')"
"('Q9Y3M8', 'Q9HBH0')"
"('Q9Y4K3', 'Q9BYM8')"
"('Q14164', 'P39019')"
"('Q9UNH5', 'Q9UJX2')"
"('P17813', 'Q03167')"
"('Q15436', 'Q99459')"
"('Q15029', 'Q04637')"
"('Q15654', 'Q9H8S9')"
"('P19388', 'P01100')"
"('Q15750', 'Q9H6R7')"
"('Q04724', 'Q15038')"
"('Q96Q15', 'P67775')"
"('Q15834', 'Q9UBZ4')"
"('Q9Y6J9', 'Q86TJ2')"
"('Q9Y333', 'Q6P2Q9')"
"('406967', 'P38936')"
"('P62993', 'P51398')"
"('Q04206', 'P34931')"
"('P62244', 'P62857')"
"('P30101', 'P56817')"
"('Q99613', 'Q8TAD8')"
"('P54253', 'P07332')"
"('Q9BT67', 'P49281')"
"('P98164', 'P80188')"
"('P55773', 'P32246')"
"('P42766', 'Q9UKV8')"
"('P49736', 'Q9UJX2')"
"('O43929', 'Q13415')"
"('Q15628', 'Q13501')"
"('Q9P2M7', 'P10916')"
"('P42766', 'Q13233')"
"('P84022', 'Q13952')"
"('Q04771', 'O00212')"
"('Q16659', 'P55060')"
"('P42766', 'Q02878')"
"('P32969', 'P26373')"
"('Q9UET6', 'Q9HCH5')"
"('406982', 'P10145')"
"('Q86UE4', 'O60739')"
"('O43541', 'Q99717')"
"('Q92769', 'Q9P0W2')"
"('P07858', 'Q9NYA1')"
"('Q9BZZ2', 'P16150')"
"('P62847', 'Q00653')"
"('Q7Z2G1', 'Q9BY41')"
"('Q07021', 'P27361')"
"('O95602', 'Q10586')"
"('Q92769', 'P25490')"
"('Q96EE3', 'Q9BW27')"
"('P52797', 'P10721')"
"('O94972', 'Q13114')"
"('Q9H5I1', 'Q8IXL6')"
"('Q14739', 'Q8N3X1')"
"('Q5UIP0', 'Q9H9Y6')"
"('P15104', 'Q9H8W4')"
"('P10451', 'O43765')"
"('Q8TEX9', 'O76071')"
"('P11362', 'P19174')"
"('P10275', 'P11182')"
"('P54259', 'Q96CN9')"
"('O95219', 'P16234')"
"('P51654', 'P56706')"
"('P63220', 'P15880')"
"('O00459', 'P49841')"
"('Q6GPH4', 'Q96CA5')"
"('Q86VH2', 'Q13573')"
"('P62158', 'Q01201')"
"('Q9Y6M9', 'P56556')"
"('Q16828', 'P45983')"
"('P06127', 'P06239')"
"('O75528', 'Q9NRF9')"
"('Q8N7P3', 'A6NM45')"
"('Q99759', 'Q07021')"
"('P36402', 'Q15562')"
"('P20702', 'Q8TAK5')"
"('Q08209', 'P14316')"
"('Q99878', 'P58876')"
"('O43318', 'Q92905')"
"('P14923', 'O95759')"
"('Q15034', 'P62987')"
"('P56645', 'P23760')"
"('P61218', 'Q6PD62')"
"('P10275', 'Q13451')"
"('P62841', 'P62277')"
"('Q13794', 'Q14653')"
"('P46108', 'P53779')"
"('P55774', 'P49238')"
"('P98082', 'P06493')"
"('Q92993', 'O00213')"
"('Q8WXI9', 'Q9UBB5')"
"('Q92973', 'P62993')"
"('P20042', 'P78344')"
"('P78527', 'Q10586')"
"('Q9NPF5', 'Q9NV56')"
"('P43351', 'P15927')"
"('Q9NRI5', 'Q96S59')"
"('Q96LR5', 'O76064')"
"('P05771', 'P04049')"
"('Q96I34', 'Q9UHX1')"
"('O75084', 'P35222')"
"('P42229', 'P01589')"
"('P49765', 'P00533')"
"('P31751', 'Q8TEY5')"
"('P02679', 'P04004')"
"('Q15388', 'P27824')"
"('P31946', 'Q9Y6M7')"
"('P61758', 'P12956')"
"('P46779', 'Q9UNX3')"
"('O43809', 'Q9BWH2')"
"('Q16537', 'Q13936')"
"('Q9P1U1', 'P42771')"
"('P49418', 'Q15078')"
"('O75578', 'P08648')"
"('P68871', 'P01871')"
"('Q8TCW9', 'Q8WTW4')"
"('Q01094', 'Q14207')"
"('P78423', 'Q04206')"
"('O75626', 'P28062')"
"('P01106', 'Q9NVR5')"
"('P62136', 'P14649')"
"('P51817', 'P63211')"
"('Q8IYD1', 'Q92900')"
"('P22694', 'O43306')"
"('Q8IW50', 'O43597')"
"('P21815', 'P26010')"
"('Q9H0R8', 'P47870')"
"('P17948', 'P42338')"
"('P24863', 'P15170')"
"('P46527', 'P31946')"
"('P43405', 'P51452')"
"('Q9H1A4', 'Q9NYG5')"
"('P03901', 'P03923')"
"('P60520', 'P50502')"
"('Q01780', 'O77932')"
"('P18440', 'Q13424')"
"('Q99558', 'P00533')"
"('Q96RF0', 'P48023')"
"('O60244', 'P35609')"
"('P08047', 'Q99706')"
"('Q99962', 'P50570')"
"('406957', 'P35625')"
"('Q5T3J3', 'Q8WXF1')"
"('O00294', 'P16333')"
"('Q13573', 'Q8N1G4')"
"('P36897', 'P30153')"
"('Q9UJY4', 'O14964')"
"('O43913', 'Q99741')"
"('Q9UKX5', 'P49023')"
"('P49721', 'Q96RN5')"
"('P12270', 'P28482')"
"('Q9H190', 'Q7Z7J5')"
"('Q13309', 'P19838')"
"('P21802', 'P63104')"
"('P40337', 'Q99700')"
"('Q7Z6A9', 'P15391')"
"('O15264', 'Q13541')"
"('O43324', 'O60739')"
"('P84022', 'Q96PU5')"
"('P16333', 'Q14315')"
"('51776', 'Q8N184')"
"('P19823', 'P36542')"
"('Q8TC90', 'O15162')"
"('P17275', 'P15336')"
"('P04839', 'P53778')"
"('Q9P1A6', 'P16333')"
"('P02766', 'P25713')"
"('P04183', 'P50224')"
"('Q86VN1', 'P62987')"
"('P61106', 'O43747')"
"('P49716', 'Q13370')"
"('P21796', 'P19367')"
"('P62979', 'Q9NYJ8')"
"('Q9NV56', 'Q9NRQ2')"
"('P54253', 'Q14157')"
"('Q15257', 'P50991')"
"('P48736', 'P61073')"
"('Q8IY92', 'Q9Y5V3')"
"('Q13573', 'Q15796')"
"('Q15714', 'P47897')"
"('Q9UET6', 'Q96AG4')"
"('P18146', 'Q96Q05')"
"('P42285', 'Q9HAU5')"
"('Q96SZ6', 'Q9NQT4')"
"('Q8N2W9', 'P08670')"
"('O14508', 'P52333')"
"('Q9Y4P1', 'Q9BQ83')"
"('P61812', 'P36897')"
"('Q7Z434', 'Q9H1Y0')"
"('Q9BQ66', 'O15162')"
"('Q8TE77', 'Q9Y281')"
"('Q13404', 'Q8ND25')"
"('P51681', 'P35579')"
"('P19438', 'P50591')"
"('Q15326', 'O75376')"
"('Q86Z14', 'P11362')"
"('O15239', 'P03901')"
"('P33991', 'Q9UJX2')"
"('Q15691', 'P30480')"
"('P46109', 'P22681')"
"('P07951', 'Q9NR12')"
"('P36406', 'Q9H4K1')"
"('Q8N5R6', 'Q12933')"
"('Q99459', 'Q8TAQ2')"
"('P01579', 'Q9UHF4')"
"('Q9Y262', 'Q15796')"
"('P17252', 'Q9H0R8')"
"('P56747', 'P56880')"
"('P25490', 'P62942')"
"('Q16543', 'Q13501')"
"('P39656', 'P62330')"
"('Q9P2F8', 'P61224')"
"('P63208', 'Q6PJ61')"
"('26765', 'P55209')"
"('Q14683', 'P33993')"
"('Q92901', 'P61313')"
"('P53778', 'P28482')"
"('P30953', 'P38405')"
"('P61927', 'P05386')"
"('P09693', 'P27986')"
"('P41159', 'P40238')"
"('Q99578', 'P18206')"
"('P35626', 'Q8NGX9')"
"('P11021', 'Q9Y4K3')"
"('P42224', 'P05161')"
"('Q9UKR5', 'P49841')"
"('Q4V326', 'Q96IK5')"
"('P07550', 'P62633')"
"('P01570', 'Q01344')"
"('P23469', 'P29353')"
"('Q9HBW0', 'P16520')"
"('Q9HCK5', 'Q9UBX3')"
"('Q16539', 'P68400')"
"('Q9NVW2', 'O75626')"
"('O00175', 'P51677')"
"('P26447', 'Q13432')"
"('P00374', 'P62942')"
"('P42772', 'Q9P2H0')"
"('Q9UM73', 'Q14004')"
"('Q9NPQ8', 'Q13885')"
"('P16619', 'P51681')"
"('P54259', 'P17858')"
"('O14530', 'Q99570')"
"('Q9H3D4', 'Q15796')"
"('Q9Y624', 'Q9NSI5')"
"('Q9Y297', 'Q13616')"
"('P35609', 'Q9UKX5')"
"('P61073', 'O60674')"
"('Q9NZT1', 'Q96NX5')"
"('Q92997', 'O15169')"
"('Q13191', 'Q13651')"
"('P49023', 'P25054')"
"('P49915', 'Q14164')"
"('Q15038', 'P46934')"
"('Q9BQ67', 'Q99558')"
"('Q00013', 'P04183')"
"('P42677', 'Q9NQC3')"
"('P53396', 'O75815')"
"('Q06830', 'P62993')"
"('P09529', 'P27037')"
"('Q9Y383', 'Q96EY7')"
"('Q6SZW1', 'P46977')"
"('O15360', 'Q8N2Z9')"
"('Q8WYP5', 'P57740')"
"('P18084', 'Q9Y490')"
"('Q15075', 'Q7Z3T8')"
"('O94817', 'Q15323')"
"('Q12840', 'P42261')"
"('P08729', 'Q16695')"
"('Q07889', 'Q13683')"
"('Q96RU2', 'Q14676')"
"('P04150', 'P10145')"
"('P28749', 'Q06190')"
"('Q12778', 'P55273')"
"('O60237', 'P62136')"
"('Q14232', 'P14866')"
"('Q12778', 'P35558')"
"('O43187', 'Q16543')"
"('Q13237', 'P54709')"
"('P00533', 'O96018')"
"('Q16627', 'P51684')"
"('P42338', 'O14939')"
"('Q04206', 'P31689')"
"('Q9Y572', 'Q9ULV4')"
"('P61247', 'Q96GM8')"
"('P16220', 'Q96AQ7')"
"('O15360', 'Q86U86')"
"('O15455', 'Q02556')"
"('P00519', 'Q00535')"
"('P27986', 'P01133')"
"('P60900', 'P51665')"
"('Q9Y5K6', 'Q13191')"
"('P01567', 'Q8N6P7')"
"('P63104', 'Q9BQE3')"
"('Q9NPH3', 'Q13158')"
"('Q12824', 'Q9UJX2')"
"('Q9NPP4', 'Q96P20')"
"('P61353', 'P42766')"
"('Q96KQ7', 'Q96GT9')"
"('P43243', 'P01106')"
"('Q9NQB0', 'P49768')"
"('P02461', 'P31431')"
"('Q9Y575', 'Q93034')"
"('P62750', 'Q13573')"
"('O15264', 'P67775')"
"('Q9H2G2', 'P56945')"
"('O75533', 'O15379')"
"('O15511', 'P63261')"
"('P41586', 'P62873')"
"('P10070', 'Q9UMX1')"
"('P40259', 'P11912')"
"('P26368', 'Q8IX12')"
"('P10914', 'P19878')"
"('P67775', 'Q562F6')"
"('P01106', 'P12757')"
"('P32121', 'O60403')"
"('P01106', 'Q9UM21')"
"('Q09472', 'O15105')"
"('P07942', 'Q14118')"
"('P22392', 'O14713')"
"('Q96SB3', 'P62140')"
"('Q13485', 'Q13642')"
"('P30457', 'P30455')"
"('P55060', 'P00533')"
"('O15123', 'P16234')"
"('Q9UJV9', 'Q9H2G2')"
"('Q71U36', 'P38936')"
"('Q14847', 'O15162')"
"('P01106', 'Q9Y4A5')"
"('Q04206', 'P35637')"
"('Q96BK5', 'Q9NVP1')"
"('P68400', 'P55010')"
"('P46940', 'P60709')"
"('Q03001', 'Q8TDR0')"
"('P22004', 'P49716')"
"('P0CG48', 'O14964')"
"('P00533', 'O14543')"
"('P41279', 'Q05639')"
"('Q93077', 'Q13547')"
"('Q9UK08', 'P48051')"
"('Q9HC62', 'Q92997')"
"('P24043', 'P06756')"
"('P01579', 'P31785')"
"('P10275', 'Q92831')"
"('O14746', 'P23443')"
"('P17612', 'Q02750')"
"('Q9BUZ4', 'Q13137')"
"('P31689', 'Q04206')"
"('P21333', 'P13569')"
"('Q8N6Y0', 'O14639')"
"('O95297', 'Q9NPD3')"
