negatives
"('O15360', 'P51532')"
"('P78527', 'P63104')"
"('P54132', 'O95985')"
"('P51817', 'Q8TCU5')"
"('Q04206', 'Q16548')"
"('Q5T3J3', 'Q99728')"
"('P55157', 'Q14999')"
"('P31749', 'Q15027')"
"('P01574', 'Q08334')"
"('O15446', 'Q15653')"
"('P61604', 'Q14164')"
"('P19784', 'Q9UKI9')"
"('Q9UM73', 'Q99558')"
"('Q9UBN6', 'P26640')"
"('Q96BY9', 'Q9NRS6')"
"('O94973', 'Q96CW1')"
"('P68104', 'Q12905')"
"('Q96NC0', 'O00505')"
"('P01100', 'P19784')"
"('P63173', 'P83731')"
"('P31749', 'Q99941')"
"('P03901', 'P03915')"
"('P30050', 'P35268')"
"('Q6UX71', 'Q9H171')"
"('Q9HAU4', 'P62070')"
"('Q92597', 'Q8TCG1')"
"('P83731', 'Q13233')"
"('Q96GF1', 'Q9Y2X8')"
"('P35914', 'Q9BV68')"
"('Q13263', 'Q969S8')"
"('P08238', 'Q99459')"
"('P00533', 'Q03135')"
"('Q8WYK2', 'P17544')"
"('Q96I34', 'P14902')"
"('P30153', 'Q99623')"
"('Q14511', 'Q9UM11')"
"('P05231', 'P52333')"
"('P18124', 'P05387')"
"('O43524', 'P30153')"
"('Q9NQT5', 'Q92841')"
"('Q08945', 'Q9UPN9')"
"('P06748', 'Q13547')"
"('P62877', 'Q92466')"
"('Q15003', 'O95347')"
"('P27482', 'Q8IY92')"
"('P06241', 'P43405')"
"('P62945', 'Q9Y3U8')"
"('P61927', 'P84098')"
"('Q93079', 'P16104')"
"('P01889', 'P31040')"
"('O75771', 'O15315')"
"('Q9H0R8', 'Q16445')"
"('P27695', 'P62330')"
"('P10827', 'Q9NPJ6')"
"('Q96BZ8', 'Q9NPF4')"
"('Q96EB6', 'Q9Y618')"
"('Q99496', 'Q16777')"
"('P63244', 'P56537')"
"('P26368', 'P52272')"
"('P04183', 'Q6P0Q8')"
"('Q9NPP4', 'Q13075')"
"('P50395', 'Q9Y478')"
"('Q12982', 'P10415')"
"('P22492', 'Q13185')"
"('442918', 'P16070')"
"('Q86V24', 'Q96RR4')"
"('P10451', 'P05106')"
"('P14174', 'Q14164')"
"('O94829', 'Q15699')"
"('P52333', 'Q14765')"
"('Q9NRQ2', 'Q15645')"
"('P18146', 'Q05193')"
"('28881', 'Q96PG8')"
"('P27361', 'Q12778')"
"('Q13418', 'Q8NAF0')"
"('Q86US8', 'P63151')"
"('P49366', 'P32969')"
"('Q9P2Y5', 'Q7Z3C6')"
"('P21731', 'P27824')"
"('Q9UJX2', 'Q969G3')"
"('P11171', 'Q01081')"
"('P49841', 'O60502')"
"('O94842', 'Q13573')"
"('Q9BUJ2', 'Q99816')"
"('P02679', 'P05362')"
"('O60907', 'Q13227')"
"('Q04864', 'P63261')"
"('O14757', 'P67870')"
"('Q06190', 'P10415')"
"('Q9UJC3', 'Q9H8T0')"
"('Q14164', 'P34897')"
"('Q13315', 'Q9P244')"
"('Q99496', 'P0C0S5')"
"('Q96QB1', 'P28749')"
"('P45985', 'Q05655')"
"('P01911', 'P01730')"
"('Q09472', 'P15884')"
"('P16885', 'P15391')"
"('P63211', 'Q9H1C0')"
"('Q5VVX9', 'Q9C040')"
"('Q00688', 'Q9UKE5')"
"('Q12933', 'P24278')"
"('P53350', 'P12272')"
"('P62875', 'P36954')"
"('Q70Z53', 'Q96NB3')"
"('Q9Y2Q3', 'P42224')"
"('P78527', 'P33992')"
"('P60520', 'Q96QV1')"
"('O43293', 'P04150')"
"('P08238', 'Q13541')"
"('Q5UIP0', 'P55769')"
"('Q15436', 'O94855')"
"('Q8TBB1', 'Q96M61')"
"('Q8IU54', 'Q8IU57')"
"('Q16254', 'Q14188')"
"('P01106', 'Q8IWX5')"
"('Q01094', 'Q9UQ80')"
"('P24534', 'Q9H1Y0')"
"('P49765', 'Q02763')"
"('P09874', 'P11388')"
"('P34931', 'Q13217')"
"('P62273', 'P62330')"
"('Q9UKS6', 'P62750')"
"('P40763', 'Q5TA89')"
"('Q13131', 'Q86TI0')"
"('P26368', 'Q99717')"
"('P62993', 'Q9C0E4')"
"('Q01344', 'P52333')"
"('P62877', 'Q9H469')"
"('P62888', 'P62913')"
"('O60739', 'P59998')"
"('P16070', 'Q13464')"
"('P29474', 'Q8TD86')"
"('Q13233', 'P62258')"
"('P05387', 'O15264')"
"('O14641', 'Q96CW1')"
"('P08123', 'P02452')"
"('O95398', 'P53779')"
"('Q9NP81', 'Q14197')"
"('P27986', 'P29353')"
"('P01106', 'Q9Y5Q9')"
"('Q969Y2', 'P01876')"
"('Q9P035', 'Q9BUV8')"
"('Q01130', 'O14893')"
"('O95819', 'P10412')"
"('Q2TBE0', 'Q07021')"
"('P84098', 'Q9Y3U8')"
"('O43294', 'Q9Y2X7')"
"('Q9UJC5', 'P13569')"
"('Q99677', 'Q5JWF2')"
"('Q14242', 'O60507')"
"('Q9HCU9', 'Q969G3')"
"('Q02156', 'P51828')"
"('Q9H936', 'P49662')"
"('Q15797', 'Q9NYN1')"
"('Q13131', 'Q15717')"
"('Q96EZ8', 'O96019')"
"('P06241', 'Q9H7E9')"
"('P52564', 'P24522')"
"('Q00005', 'Q5VY09')"
"('P09651', 'Q15428')"
"('O15164', 'P08107')"
"('P07766', 'Q9Y2R2')"
"('P05556', 'Q14315')"
"('Q16585', 'Q13326')"
"('Q8N5U6', 'Q9GZT6')"
"('Q13363', 'Q13547')"
"('Q9HAT8', 'P78364')"
"('P15391', 'Q9UKW4')"
"('Q13315', 'O94782')"
"('P22694', 'A8MYU2')"
"('Q9BQA1', 'Q9H9G7')"
"('P19438', 'P54136')"
"('Q15572', 'Q16514')"
"('P08195', 'Q9UPY5')"
"('Q9Y572', 'Q9UHB6')"
"('P10721', 'P07332')"
"('P06493', 'P29692')"
"('Q9Y2X8', 'Q8IUQ4')"
"('P42336', 'O00329')"
"('P30084', 'P01889')"
"('Q9UBF6', 'Q99619')"
"('O14543', 'P78552')"
"('P03928', 'O75964')"
"('P52594', 'P42566')"
"('P22607', 'Q99962')"
"('P17405', 'P55210')"
"('O15162', 'P31269')"
"('P04629', 'P19174')"
"('P62158', 'P01112')"
"('P12931', 'P56539')"
"('P57088', 'P48039')"
"('Q8IVT5', 'P33241')"
"('P02461', 'P05556')"
"('P07996', 'P16144')"
"('P28223', 'O75970')"
"('Q9UHX1', 'Q9H171')"
"('P01106', 'Q04637')"
"('Q13309', 'P49427')"
"('Q96KP6', 'Q04206')"
"('P04637', 'Q9NY72')"
"('Q13263', 'P30504')"
"('Q13573', 'Q9UHX1')"
"('P19532', 'Q14152')"
"('P26196', 'P27348')"
"('P49368', 'P63104')"
"('O00254', 'P06241')"
"('Q9Y375', 'P56556')"
"('P13631', 'Q09472')"
"('O60551', 'P20073')"
"('Q9NQC7', 'Q12933')"
"('P60953', 'Q16539')"
"('Q9P0M9', 'P16220')"
"('Q13485', 'P0CG47')"
"('Q17RB8', 'O14933')"
"('O14933', 'Q6UVK1')"
"('P42858', 'Q9Y3C7')"
"('Q92956', 'Q9H008')"
"('P16220', 'O60880')"
"('P01562', 'Q99650')"
"('P45985', 'Q9UPT6')"
"('P19838', 'P15336')"
"('Q96AQ9', 'P28799')"
"('P39019', 'P62753')"
"('O75369', 'P45985')"
"('O94921', 'O00238')"
"('Q9H2F5', 'Q96L91')"
"('P08700', 'P19235')"
"('O14508', 'Q9HC73')"
"('P01241', 'P29401')"
"('O00238', 'P11802')"
"('O75581', 'O75084')"
"('Q9UIF9', 'P55157')"
"('Q8WWM7', 'P54253')"
"('O15519', 'Q12933')"
"('Q9Y2Q3', 'O95347')"
"('O14974', 'P35609')"
"('P04626', 'P42224')"
"('P60228', 'Q969Q1')"
"('Q01094', 'Q96B01')"
"('P22090', 'P42677')"
"('Q9Y230', 'Q9NV56')"
"('P67870', 'P04049')"
"('P30519', 'Q09028')"
"('P49720', 'Q9Y5K5')"
"('P19793', 'Q71SY5')"
"('O96019', 'P51532')"
"('P16871', 'P51692')"
"('P01127', 'Q13442')"
"('Q9BT09', 'O00206')"
"('Q01831', 'Q96KM6')"
"('P26373', 'P18124')"
"('O60306', 'Q9BRX9')"
"('P05412', 'P15408')"
"('P52943', 'P04183')"
"('O60711', 'P18146')"
"('Q5VU43', 'O60925')"
"('Q8IYS0', 'Q9UGN5')"
"('P10275', 'Q12778')"
"('Q15172', 'P53355')"
"('P49354', 'P49356')"
"('Q8TDR0', 'P63261')"
"('O14681', 'P51668')"
"('P26006', 'Q6UVK1')"
"('P16383', 'P54253')"
"('Q07869', 'Q9Y618')"
"('P06858', 'Q7L5N1')"
"('Q96GM5', 'Q86U86')"
"('Q9UKB1', 'Q13616')"
"('P61353', 'P18077')"
"('P84022', 'P39023')"
"('P30050', 'P62829')"
"('Q8WYR1', 'P00533')"
"('P27448', 'O14920')"
"('P29350', 'P40259')"
"('P27986', 'P19174')"
"('P20936', 'O15524')"
"('P46013', 'P04183')"
"('P01568', 'P40189')"
"('P34931', 'P45984')"
"('Q15645', 'Q86UW9')"
"('P83731', 'P61313')"
"('Q15654', 'P28749')"
