negatives
"('Q13087', 'P55157')"
"('Q96EB6', 'Q07021')"
"('P04899', 'P47712')"
"('Q00403', 'Q16594')"
"('P01732', 'P30443')"
"('Q5PRF9', 'P27348')"
"('P53618', 'P13569')"
"('O43264', 'Q9Y5J5')"
"('P84098', 'P50914')"
"('P51116', 'P02794')"
"('O75400', 'Q9Y6D5')"
"('P01241', 'P52333')"
"('Q13490', 'Q13077')"
"('P41594', 'Q05586')"
"('Q9P287', 'Q96IP4')"
"('Q15554', 'Q13416')"
"('P46060', 'A0JLT2')"
"('Q8TEW0', 'P61981')"
"('P22301', 'P26951')"
"('P16333', 'Q9HCM9')"
"('P01137', 'Q04771')"
"('Q9Y297', 'Q12933')"
"('Q13315', 'Q9BXS6')"
"('P16471', 'Q99490')"
"('Q8NI35', 'O95832')"
"('Q99816', 'Q6UWE0')"
"('Q92569', 'Q9Y243')"
"('P01375', 'Q9Y297')"
"('P63104', 'P19474')"
"('Q8IYB3', 'P84103')"
"('Q01844', 'Q9BQY4')"
"('Q96B02', 'Q96P09')"
"('Q9BWC9', 'Q9UKR5')"
"('Q15910', 'Q9UBS4')"
"('Q9ULT6', 'O75800')"
"('P07437', 'P15498')"
"('O00193', 'P21246')"
"('Q16659', 'Q07866')"
"('P52803', 'P21802')"
"('Q9Y4K3', 'Q9BXL7')"
"('P63000', 'O15056')"
"('Q16594', 'Q16531')"
"('Q13485', 'O60231')"
"('Q9UK08', 'Q13972')"
"('P56134', 'P54257')"
"('A6BM72', 'P54259')"
"('Q9Y244', 'O14818')"
"('P49286', 'P62873')"
"('P78314', 'P52735')"
"('Q5UIP0', 'P05386')"
"('P78545', 'P47712')"
"('A1L0T0', 'P01106')"
"('P10153', 'P13489')"
"('P17301', 'P46109')"
"('Q99459', 'P42285')"
"('Q06323', 'P18206')"
"('Q13077', 'P12931')"
"('P36897', 'Q03167')"
"('Q92830', 'Q8NEM7')"
"('P51681', 'P29074')"
"('P07333', 'O95208')"
"('Q92905', 'P13569')"
"('Q16594', 'O75478')"
"('O95067', 'P30307')"
"('O95863', 'O14744')"
"('Q9UGN5', 'Q5W0V3')"
"('Q00534', 'Q7L590')"
"('Q16254', 'O14777')"
"('P08708', 'P35544')"
"('P18146', 'P35713')"
"('Q93034', 'Q03164')"
"('O14640', 'P46531')"
"('P04406', 'O60684')"
"('P23921', 'P01889')"
"('P05067', 'Q13867')"
"('Q92831', 'O75528')"
"('O14561', 'O95298')"
"('Q96SN8', 'Q9UKR5')"
"('P61981', 'Q96NE9')"
"('Q99986', 'Q13573')"
"('Q9Y6I3', 'P21802')"
"('Q9H469', 'Q96PU5')"
"('P53816', 'Q9NRR5')"
"('Q9UDV6', 'P15336')"
"('Q13263', 'Q9Y4K3')"
"('Q14257', 'O95166')"
"('P78524', 'Q15796')"
"('Q9UL54', 'P46734')"
"('P49888', 'P52849')"
"('Q9H6I2', 'P35222')"
"('Q13315', 'P46459')"
"('P13631', 'P28702')"
"('Q02878', 'P30050')"
"('O00744', 'O00144')"
"('Q9NR28', 'P61960')"
"('Q9UQC2', 'P63104')"
"('Q96EQ8', 'Q9BYX4')"
"('Q9Y4D1', 'P12931')"
"('Q96L14', 'Q06455')"
"('Q99963', 'Q92529')"
"('O00161', 'O75558')"
"('Q8IYF3', 'Q96HA1')"
"('P30450', 'Q13241')"
"('P36402', 'P24385')"
"('P04637', 'P04271')"
"('P42357', 'P41235')"
"('P03923', 'O43676')"
"('Q96L14', 'Q9P2A4')"
"('Q9UBC3', 'Q9Y3D7')"
"('O00459', 'P63104')"
"('P14867', 'O60296')"
"('Q92841', 'Q99459')"
"('P10451', 'P08648')"
"('Q16787', 'Q496J9')"
"('O15379', 'P10827')"
"('P22612', 'Q02641')"
"('Q9GZX6', 'Q8N6P7')"
"('P40227', 'Q66LE6')"
"('P35227', 'P35226')"
"('Q8IY92', 'Q9GZZ9')"
"('P50613', 'P51946')"
"('P13693', 'O60739')"
"('Q9UBU8', 'Q15906')"
"('Q86YZ3', 'O43502')"
"('P34932', 'P25963')"
"('P61254', 'P62829')"
"('P62140', 'P15336')"
"('P16144', 'P05129')"
"('Q13547', 'Q9UER7')"
"('Q9UHL9', 'O15379')"
"('Q01844', 'P52565')"
"('P02790', 'P02768')"
"('P27701', 'Q8TAA9')"
"('P31947', 'Q2M3G4')"
"('P35222', 'Q99569')"
"('P63261', 'Q15942')"
"('Q02539', 'P83916')"
"('P26373', 'Q8IW41')"
"('P61619', 'Q15714')"
"('P43115', 'O95837')"
"('Q01844', 'Q8IVA1')"
"('P81274', 'P63096')"
"('Q96K19', 'Q5VVX9')"
"('P24390', 'Q9HC98')"
"('P31749', 'Q12824')"
"('P54257', 'P46783')"
"('Q9UI10', 'P49770')"
"('Q9Y6M7', 'P31946')"
"('P42677', 'P62269')"
"('P10914', 'Q00403')"
"('Q86UL8', 'P18146')"
"('P60953', 'P05814')"
"('P08246', 'Q9P2S5')"
"('P60568', 'P31785')"
"('Q92793', 'P48436')"
"('P18146', 'Q14585')"
"('P13385', 'O60383')"
"('O60341', 'Q13573')"
"('Q99877', 'Q96RL1')"
"('Q13477', 'P14151')"
"('P10644', 'P00533')"
"('Q9UM13', 'Q9BS18')"
"('Q13573', 'Q14204')"
"('P78527', 'Q14566')"
"('Q5QNW6', 'Q9BY41')"
"('P49023', 'Q14289')"
"('Q13315', 'Q14517')"
"('O00442', 'Q9NR30')"
"('Q02548', 'P15391')"
"('P01106', 'Q92609')"
"('O43374', 'P10301')"
"('Q9HCK5', 'P48643')"
"('P68104', 'P40937')"
"('Q9GZT8', 'Q8N5Z5')"
"('Q96EE3', 'P49792')"
"('Q14498', 'Q8TBK6')"
"('Q99547', 'P51532')"
"('P12956', 'Q96RP7')"
"('P35225', 'Q99665')"
"('Q9H0H5', 'Q9H4E5')"
"('P62158', 'Q93100')"
"('Q9H9G7', 'O14744')"
"('Q9Y6K9', 'P33981')"
"('P34897', 'Q9UBN6')"
"('P27361', 'P04054')"
"('P28482', 'P17302')"
"('P17931', 'P02786')"
"('O75074', 'Q9UJY4')"
"('P61254', 'Q96BK5')"
"('P43405', 'P06241')"
"('P28335', 'Q01668')"
"('P17612', 'Q9UGI9')"
"('P62330', 'Q15459')"
"('P11274', 'P01106')"
"('Q969Q1', 'Q15155')"
"('P12643', 'Q13705')"
"('Q96L34', 'Q8ND90')"
"('Q13224', 'Q9P0X4')"
"('Q9HAV0', 'P53778')"
"('Q03001', 'P16144')"
"('Q15366', 'Q9UKF6')"
"('Q9Y5I7', 'P56747')"
"('P01567', 'Q8IU57')"
"('P30154', 'P57087')"
"('P42768', 'Q86TM6')"
"('Q86Y39', 'O95182')"
"('P61513', 'P62891')"
"('Q07890', 'O00212')"
"('Q96E14', 'P27694')"
"('P01106', 'P60763')"
"('Q96BR9', 'Q9BXS5')"
"('P61513', 'P61313')"
"('P51817', 'O43889')"
"('Q9P258', 'Q9Y478')"
"('P28074', 'Q9Y4K3')"
"('P11233', 'P53779')"
"('Q14289', 'P63000')"
"('Q9NSB8', 'Q9Y566')"
"('Q9UKK9', 'O95989')"
"('P02768', 'Q9HCM1')"
"('Q9HC35', 'P01111')"
"('Q13547', 'Q16890')"
"('Q13233', 'O15111')"
"('Q13485', 'P28749')"
"('Q96SB3', 'O96017')"
"('P31994', 'Q92835')"
"('Q13620', 'Q9BQ67')"
"('P17676', '26765')"
"('Q00653', 'P33778')"
"('O95167', 'P03901')"
"('P05112', 'Q13651')"
"('Q6P1J9', 'O75031')"
"('Q13522', 'Q12972')"
"('Q7LG56', 'P62987')"
"('P45983', 'P68133')"
"('Q13573', 'P16989')"
"('P56524', 'P06400')"
"('P62993', 'P36542')"
"('Q92997', 'Q9UM47')"
"('Q9UJX5', 'Q9BS18')"
"('P19838', 'P46531')"
"('Q9BVP2', 'Q9Y6K5')"
"('P11171', 'O60493')"
"('Q9UKM9', 'O00329')"
"('P08727', 'Q15154')"
"('Q92831', 'P22736')"
"('Q9BQ83', 'Q96AY2')"
"('P42772', 'Q00987')"
"('Q92692', 'Q15762')"
"('Q9BUF5', 'Q9NY65')"
"('Q96B02', 'Q13064')"
"('P52790', 'P14618')"
"('Q15750', 'Q16539')"
"('P46940', 'P04271')"
"('P53667', 'Q9Y281')"
"('Q92979', 'Q99436')"
"('P19838', 'P61626')"
"('Q15047', 'Q9H4M7')"
"('O00212', 'Q9HAU4')"
"('O14497', 'P01106')"
"('P06748', 'Q9UKF6')"
"('O94921', 'P30281')"
"('Q14164', 'Q8NC51')"
"('406938', 'P61073')"
"('Q9GZP0', 'P08069')"
"('P46940', 'O15264')"
"('P16520', 'O60503')"
"('P60660', 'O60739')"
"('Q9H0R8', 'Q9UN88')"
"('P01106', 'Q08722')"
"('Q02878', 'P50914')"
"('Q9BXM0', 'P16333')"
"('P61978', 'P06730')"
"('Q13077', 'O00459')"
"('Q92905', 'Q14814')"
"('P60709', 'P61601')"
"('Q14209', 'P12004')"
"('Q9H361', 'Q14106')"
"('P31751', 'Q92945')"
"('Q9Y2T4', 'P46937')"
"('Q9Y2T4', 'Q01668')"
"('Q6UX71', 'P49768')"
"('P41235', 'Q13503')"
"('P63104', 'Q96L34')"
"('P49841', 'P49715')"
"('Q07955', 'Q08211')"
"('Q05397', 'P08514')"
"('P46940', 'P15056')"
"('Q9BQ66', 'Q8TBE0')"
"('407008', 'P16949')"
"('Q969T4', 'Q99942')"
"('Q05513', 'P42226')"
"('P60709', 'O14950')"
"('O75688', 'O14920')"
"('P31151', 'Q00005')"
"('Q07890', 'P00519')"
"('Q8NGV7', 'P38405')"
"('P08034', 'P29033')"
"('P62993', 'P01116')"
"('P22301', 'P35228')"
"('O14933', 'P78317')"
"('Q07960', 'Q9HBH0')"
"('P61978', 'Q99873')"
"('P67809', 'Q13247')"
"('P20020', 'P11274')"
"('P61927', 'P62424')"
"('Q92734', 'P29350')"
"('Q13485', 'O15264')"
"('P49815', 'P04183')"
"('Q13477', 'P26010')"
"('P20333', 'P43405')"
"('Q96SB3', 'Q9H2G2')"
"('Q9Y3Q8', 'P25786')"
"('O43374', 'Q9HDC9')"
"('Q13882', 'P23246')"
"('Q99459', 'Q9H0E9')"
"('Q13315', 'Q9H4A3')"
"('P37173', 'Q8NER5')"
"('P42574', 'P80303')"
"('P63104', 'O00471')"
"('Q96EP1', 'O14933')"
"('P06400', 'P49716')"
"('Q9BUF5', 'P19838')"
"('Q15853', 'P61769')"
"('Q8TC12', 'Q6QNY1')"
"('O14777', 'Q9P1Z2')"
"('P49720', 'Q9Y478')"
"('P48729', 'P62495')"
"('Q8IU60', 'Q6P2E9')"
"('Q96SN8', 'Q14194')"
"('P12931', 'P21333')"
"('Q9Y4W2', 'Q99459')"
"('P0CG47', 'Q9UNE7')"
"('P60709', 'O15198')"
"('Q66LE6', 'Q9UBN1')"
"('O75578', 'P53708')"
"('P10276', 'P24522')"
"('P04899', 'Q9NQ66')"
"('Q9NZT1', 'O95622')"
"('Q9Y468', 'Q01094')"
"('P43146', 'P46783')"
"('P40429', 'Q92901')"
"('P06239', 'Q8WYR1')"
"('O75694', 'P40337')"
"('O75015', 'Q8N6C8')"
"('P51003', 'Q9UKF6')"
"('Q13772', 'Q14289')"
"('P33991', 'Q92794')"
"('Q96A00', 'P36873')"
"('Q14674', 'P33552')"
"('P07737', 'P16871')"
"('Q9P2K6', 'Q9UMX0')"
"('O00499', 'P62993')"
"('406987', 'P09486')"
"('406940', 'O75469')"
"('Q01449', 'Q9P2M7')"
"('P09619', 'P53618')"
"('Q16520', 'Q10587')"
"('P30154', 'Q13188')"
"('Q14839', 'Q13535')"
"('Q9P0W2', 'Q13547')"
"('Q15366', 'P84103')"
"('Q8IY81', 'Q9Y6K5')"
"('P09564', 'P09382')"
"('Q15329', 'O75496')"
"('Q01082', 'Q9NQ66')"
"('O15297', 'O96017')"
"('Q9NPP4', 'Q13075')"
"('Q14240', 'O95400')"
"('P62701', 'P62857')"
"('P11473', 'Q09472')"
"('P23677', 'Q8TD86')"
"('Q12933', 'O15111')"
"('Q9UL45', 'Q12929')"
"('P62993', 'Q86SG6')"
"('Q13616', 'P04217')"
"('O75581', 'P62987')"
"('Q02556', 'Q9GZX7')"
"('Q8N7P3', 'P56747')"
"('Q92598', 'P08238')"
"('P01034', 'P25774')"
"('O95139', 'O14561')"
"('P56747', 'P56856')"
"('P14784', 'P29597')"
"('Q96ME1', 'Q13137')"
"('P02768', 'Q8NHC8')"
"('P35998', 'Q14164')"
"('Q14194', 'O75582')"
"('O00329', 'P42336')"
"('P07948', 'P40197')"
"('Q63HR2', 'P05556')"
"('P55212', 'P08670')"
"('P11142', 'O95817')"
"('O15504', 'P12270')"
"('Q16890', 'Q8IZ08')"
"('P38646', 'Q96EY1')"
"('406950', 'P10415')"
"('O00401', 'P08238')"
"('Q9Y385', 'Q86TM6')"
"('P29350', 'P26358')"
"('P47871', 'P50148')"
"('P38936', 'P62820')"
"('Q6PCD5', 'P61088')"
"('P04350', 'Q14204')"
"('O14763', 'O15519')"
"('O14493', 'Q8N7P3')"
"('Q04721', 'Q96JK9')"
"('P42345', 'P05771')"
"('P63279', 'Q9NS56')"
"('P12757', 'Q8N2W9')"
"('Q92956', 'Q969V3')"
"('Q14232', 'P14866')"
"('P06241', 'O43914')"
"('P28222', 'P16520')"
"('P04350', 'Q92974')"
"('P17544', 'Q9BYV9')"
"('Q16478', 'P58340')"
"('P40313', 'P18146')"
"('P84077', 'Q8N6T3')"
"('P04049', 'P55211')"
"('Q8N684', 'P26368')"
"('P37173', 'P78545')"
"('P63241', 'Q9H0D6')"
"('Q8N1C3', 'Q9H0R8')"
"('P61421', 'P56559')"
"('P62280', 'P23396')"
"('P78329', 'P16333')"
"('P13725', 'P05231')"
"('Q9BUJ2', 'Q9Y3C6')"
"('Q14240', 'Q15056')"
"('P01112', 'P45984')"
"('P46695', 'P50591')"
"('P51149', 'Q9H1Y0')"
"('Q92833', 'P02768')"
"('Q9HBL7', 'P12956')"
"('P63279', 'Q9BUZ4')"
"('Q7L590', 'P25205')"
"('Q9UKV8', 'Q16531')"
"('P16220', 'O14529')"
"('Q15797', 'Q8WUD1')"
"('P14635', 'Q13526')"
"('O00463', 'P48736')"
"('P02788', 'Q8TAX7')"
"('Q13233', 'Q9UPT6')"
"('P60604', 'Q8WWF5')"
"('O95298', 'O43676')"
"('P23921', 'Q5UIP0')"
"('Q7L5N1', 'P84090')"
"('P25786', 'P04040')"
"('Q8NHJ6', 'P12314')"
"('Q04637', 'Q9BUB5')"
"('P42345', 'Q15019')"
"('Q9Y4K3', 'O76080')"
"('P50395', 'O60739')"
"('O75508', 'Q8N7P3')"
"('P05106', 'Q05397')"
"('P05771', 'P05106')"
"('P40225', 'P42702')"
"('Q13885', 'O15259')"
"('Q9UGP4', 'P10276')"
"('Q8IXK0', 'Q06587')"
"('Q03518', 'P61769')"
"('O75528', 'Q96BN2')"
"('Q96RL7', 'P06241')"
"('Q9Y243', 'Q14653')"
"('P68400', 'Q9UQE7')"
"('P38646', 'Q92844')"
"('Q13620', 'Q6UXN9')"
"('P50591', 'Q14790')"
"('Q13424', 'P30872')"
"('P01241', 'Q6UXL0')"
"('O75928', 'P51692')"
"('P28702', 'Q93074')"
"('O95989', 'Q9H063')"
"('Q13242', 'O43390')"
"('Q12788', 'P51784')"
"('P01889', 'P43629')"
"('P0C0S8', 'Q9UBN7')"
"('Q06124', 'Q14289')"
"('Q13368', 'Q96RT1')"
"('Q00839', 'P52597')"
"('Q6WCQ1', 'P07437')"
"('Q9HCI7', 'P62258')"
"('P62318', 'Q9UK45')"
"('Q9Y4K3', 'Q12933')"
"('Q8WVT3', 'O43617')"
"('O75081', 'Q99081')"
"('O95166', 'Q13509')"
"('O15460', 'P48634')"
"('Q99684', 'Q06455')"
"('Q92698', 'Q92878')"
"('Q9UM73', 'Q96HC4')"
"('Q92540', 'P22607')"
"('O60814', 'Q92769')"
"('P48736', 'P31749')"
"('Q9H8M9', 'P21673')"
"('Q00839', 'Q13243')"
"('Q96QC0', 'P62136')"
"('P62993', 'P58107')"
"('Q08117', 'Q02543')"
"('A1A4S6', 'Q9H4E5')"
"('Q9UJS0', 'Q9UKV8')"
"('P18564', 'P28482')"
"('P54253', 'Q6ZMT1')"
"('P31947', 'Q07812')"
"('Q9ULV8', 'P08069')"
"('P48634', 'P60228')"
"('Q16695', 'Q12888')"
"('O14610', 'Q9UBY5')"
"('P01574', 'P14784')"
"('P05771', 'O60262')"
"('P62879', 'P25116')"
"('Q9Y3U8', 'O43353')"
"('P07900', 'Q07869')"
"('P03950', 'Q15904')"
"('Q9ULV8', 'Q08334')"
"('Q8IZP0', 'P07948')"
"('O75909', 'Q9BQ66')"
"('P51671', 'O00590')"
"('P15498', 'P60763')"
"('P10275', 'P55317')"
"('Q14790', 'P19338')"
"('P20226', 'A6H8Y1')"
"('Q14451', 'P43246')"
"('P35222', 'P26232')"
"('P25963', 'P0CG48')"
"('Q02790', 'Q9Y572')"
"('Q8WTQ7', 'P25025')"
"('Q92794', 'P25205')"
"('P56703', 'Q9NPG1')"
"('O14905', 'O00144')"
"('Q5VU43', 'P04156')"
"('P62249', 'P42677')"
"('Q93009', 'Q9Y4K3')"
"('P14550', 'Q03001')"
"('P61421', 'P49789')"
"('Q3V6T2', 'Q9Y478')"
"('P35606', 'P49798')"
"('Q99459', 'Q9H9A5')"
"('P62330', 'Q92538')"
"('P27824', 'O95990')"
"('P21980', 'P12830')"
"('Q14653', 'P29965')"
"('P68133', 'Q13315')"
"('Q14164', 'Q14657')"
"('Q13535', 'Q01433')"
"('P01023', 'Q92599')"
"('Q9H0C2', 'P21796')"
"('P11362', 'Q14974')"
"('P21980', 'Q14766')"
"('Q8IX12', 'P98175')"
"('P01241', 'Q99650')"
"('P06241', 'Q13023')"
"('Q96BY6', 'Q9H4E5')"
"('Q16665', 'Q8N122')"
"('Q8IXH7', 'Q13330')"
"('P17931', 'P05556')"
"('P52907', 'Q9NR96')"
"('Q9H8M9', 'P61956')"
"('P49703', 'Q13432')"
"('Q9H857', 'Q99816')"
"('Q00987', 'P04150')"
"('Q9BTL3', 'Q93062')"
"('P14866', 'P22626')"
"('Q02156', 'Q15349')"
"('Q00005', 'P62979')"
"('Q13309', 'P10244')"
"('Q08050', 'P24941')"
"('Q52LR7', 'O96019')"
"('Q8WUI4', 'Q6FI13')"
"('P61586', 'Q05397')"
"('Q14194', 'P51114')"
"('P62979', 'Q99759')"
"('Q92997', 'P60763')"
"('Q16637', 'P22087')"
"('Q13564', 'Q15843')"
"('O00623', 'P40855')"
"('P02747', 'P26022')"
"('P31947', 'P40818')"
"('P43364', 'P10275')"
"('P01579', 'Q6UXL0')"
"('Q14457', 'O95219')"
"('Q16186', 'P60709')"
"('P62158', 'Q9H0B3')"
"('Q16513', 'P19838')"
"('Q9P2W3', 'P08172')"
"('Q15393', 'Q13368')"
"('Q9UKJ5', 'P32242')"
"('P21333', 'O95163')"
"('O95084', 'Q99081')"
"('O60500', 'P06241')"
"('P27361', 'Q01196')"
"('P40763', 'Q13163')"
"('Q02779', 'P46734')"
"('P01106', 'Q14498')"
"('P31150', 'Q9UET6')"
"('P07711', 'P43629')"
"('O95067', 'Q8NE35')"
"('Q5T3J3', 'P09466')"
"('Q8NFJ9', 'Q14152')"
"('P01106', 'Q96BZ4')"
"('Q99759', 'Q13163')"
"('O15020', 'Q9NYQ7')"
"('Q13363', 'Q13422')"
"('Q13315', 'P51587')"
"('Q08211', 'P38398')"
"('Q8NHB1', 'P38405')"
"('Q15653', 'P63261')"
"('P36897', 'P15882')"
"('Q13077', 'O14920')"
"('P41597', 'P27986')"
"('Q9NX14', 'O75438')"
"('Q9Y5J5', 'Q9UBB4')"
"('Q99623', 'Q8IXH7')"
"('P56199', 'P06756')"
"('Q92543', 'Q16254')"
"('P16403', 'P63104')"
"('P37023', 'P36897')"
"('Q9NXX6', 'Q8WV22')"
"('P62837', 'Q9HCM9')"
"('Q9NRZ9', 'P09630')"
"('P45973', 'Q9Y6K1')"
"('O75676', 'Q13573')"
"('Q15637', 'Q9Y580')"
"('P06733', 'P49023')"
"('P15153', 'P63261')"
"('P31947', 'P63104')"
"('P26641', 'P49589')"
"('P29692', 'P10589')"
"('Q92878', 'O00471')"
"('P28222', 'P63215')"
"('P22234', 'P11171')"
"('Q13797', 'O15111')"
"('P29401', 'Q9H1Y0')"
"('P68036', 'Q6ZMZ0')"
"('P51955', 'Q9BQ70')"
"('P18146', 'P23511')"
"('Q99814', 'P19419')"
"('Q9NX70', 'P30876')"
"('P62906', 'P83731')"
"('Q15365', 'O60508')"
"('Q14738', 'Q5FBB7')"
"('Q9NPF5', 'Q66LE6')"
"('O15344', 'Q969T4')"
"('O75376', 'Q96T58')"
"('P01563', 'Q9UHF4')"
"('O43295', 'Q7L0Q8')"
"('Q9H832', 'Q96S59')"
"('P05556', 'Q14315')"
"('P56856', 'P56746')"
"('P46108', 'Q13087')"
"('Q8TDY2', 'Q92574')"
"('P51681', 'Q8TBK6')"
"('Q8IZP0', 'Q08881')"
"('Q8WUI4', 'Q16777')"
"('Q9UQN3', 'Q70EL1')"
"('Q9ULD4', 'P00519')"
"('P28566', 'P09471')"
"('P06748', 'Q9BXL5')"
"('Q9UNM6', 'Q9UKE5')"
"('Q01844', 'O00160')"
"('O95685', 'P13807')"
"('P32881', 'Q01113')"
"('P04637', 'Q86XK2')"
"('O75444', 'P02489')"
"('P16234', 'P98077')"
"('Q8WXH5', 'P19235')"
"('P02545', 'P50402')"
"('P16298', 'Q13002')"
"('P02647', 'Q14684')"
"('P23511', 'P49715')"
"('P57088', 'Q14164')"
"('P56559', 'P61421')"
"('Q13616', 'Q9NP62')"
"('Q8WZA2', 'P62987')"
"('P19875', 'P61073')"
"('P50542', 'O95149')"
"('Q9BVI4', 'Q8N6Y0')"
"('P09012', 'O95400')"
"('P09871', 'P0C0L5')"
"('O75159', 'P42224')"
"('Q9Y271', 'P50148')"
"('Q9C086', 'Q96EZ8')"
"('P01857', 'Q8WZ42')"
"('P18847', 'Q14103')"
"('P35626', 'Q8NGX9')"
"('P52798', 'P08581')"
"('Q13237', 'P05026')"
"('P17301', 'P12931')"
"('P14778', 'Q9H0E2')"
"('Q9NPE3', 'Q15025')"
"('Q9H0E9', 'P25440')"
"('P49765', 'P09619')"
"('P46940', 'Q00005')"
"('Q6P1J9', 'Q15388')"
"('P01889', 'P41091')"
"('Q99750', 'Q16828')"
"('P49841', 'P48058')"
"('Q99418', 'Q9Y487')"
"('P01137', 'P45983')"
"('Q9BX66', 'O15357')"
"('Q13751', 'Q14118')"
"('Q9UDY2', 'O95832')"
"('P27816', 'P19174')"
"('P36897', 'Q9C0J8')"
"('P06454', 'Q99623')"
"('P08754', 'P53779')"
"('Q9Y5J5', 'Q2I0M4')"
"('P37173', 'P63010')"
"('P55789', 'Q9H1I8')"
"('P63104', 'O15264')"
"('Q9UGU0', 'Q15797')"
"('P63162', 'P04637')"
"('Q13554', 'P62158')"
"('Q15653', 'Q71U36')"
"('P04424', 'Q9H1D9')"
"('P22234', 'Q9Y4K3')"
"('P34969', 'P61952')"
"('P83881', 'P46777')"
"('Q13216', 'Q03468')"
"('O15264', 'Q86XL3')"
"('P10242', 'P01106')"
"('P54105', 'O14744')"
"('P80075', 'P51677')"
"('O95400', 'Q15427')"
"('P05186', 'Q12933')"
"('Q01081', 'P98175')"
"('P26441', 'Q99665')"
"('P30304', 'Q9NYV4')"
"('P68032', 'P45379')"
"('Q15326', 'Q9Y4K3')"
"('O75800', 'O76064')"
"('Q16548', 'P21675')"
"('Q9Y478', 'Q16836')"
"('P29965', 'P25942')"
"('P62979', 'Q14596')"
"('Q9HC98', 'Q14683')"
"('Q14444', 'Q96BK5')"
"('P01889', 'Q14166')"
"('P18031', 'P42229')"
"('P53708', 'P26006')"
"('Q99750', 'Q9BR84')"
"('O95298', 'P56556')"
"('Q9HD36', 'Q07812')"
"('Q8TAQ2', 'P32121')"
"('P04275', 'P10144')"
"('P36551', 'O15131')"
"('Q9Y272', 'P09471')"
"('Q9NWZ3', 'Q9Y4K3')"
"('P62330', 'O14617')"
"('Q12962', 'Q9H0E3')"
"('Q15287', 'Q86VM9')"
"('P08253', 'Q96GW7')"
"('Q01105', 'P63000')"
"('P51965', 'Q96FW1')"
"('406947', 'O14867')"
"('Q16254', 'P10244')"
"('Q96RL7', 'P27986')"
"('Q00005', 'P05165')"
"('Q13444', 'Q8WV41')"
"('O95786', 'O14879')"
"('Q04206', 'Q969Q1')"
"('Q04917', 'O43524')"
"('P51817', 'P49841')"
"('Q96JB5', 'Q9H2U1')"
"('P82933', 'Q99547')"
"('Q96RG2', 'P52945')"
"('Q6SZW1', 'P51617')"
"('Q8NFZ0', 'P62877')"
"('Q9Y243', 'Q13370')"
"('P07237', 'P16871')"
"('Q9Y6J8', 'P36897')"
"('P42574', 'O15392')"
"('P62875', 'O14802')"
"('Q6P1J9', 'O95639')"
"('Q13555', 'Q12778')"
"('Q9HB71', 'P56537')"
"('Q15269', 'O75674')"
"('P49841', 'O75474')"
"('Q9UBD5', 'Q14566')"
"('Q6GPH4', 'P98170')"
"('Q9NPF7', 'P19235')"
"('Q9UK53', 'O00422')"
"('Q04721', 'P46109')"
"('Q9UBW7', 'Q96KM6')"
"('O00522', 'Q9BSQ5')"
"('Q9UGJ0', 'O00418')"
"('Q9Y572', 'P40939')"
"('P42574', 'Q9BYP7')"
"('P61981', 'P0CG48')"
"('Q86UW9', 'Q9NRR5')"
"('P63215', 'P40145')"
"('Q9UM73', 'P51532')"
"('Q9NP95', 'P22607')"
"('Q9NSE2', 'P32927')"
"('P11142', 'O75528')"
"('P0CG48', 'P67809')"
"('Q14188', 'Q16254')"
"('P15248', 'Q13651')"
"('Q9BQI3', 'Q15653')"
"('P42575', 'P78560')"
"('O15520', 'P17948')"
"('P38432', 'P35609')"
"('P19438', 'P0CG48')"
"('P30281', 'P36873')"
"('P17535', 'Q9HBE5')"
"('P31943', 'Q8IWZ8')"
"('Q13315', 'Q9Y4R8')"
"('B1A4H9', 'Q9HBE5')"
"('Q7Z7K6', 'P06241')"
"('P22694', 'Q9UK08')"
"('P53778', 'P30305')"
"('P04183', 'Q8N6T3')"
"('Q9C000', 'P99999')"
"('Q6ZVK8', 'Q9BPX1')"
"('Q9HC29', 'Q9H257')"
"('P24864', 'Q13042')"
"('P05455', 'Q9Y478')"
"('Q12846', 'Q9H2B2')"
"('Q9UBT2', 'P30480')"
"('P03915', 'P03886')"
"('P68032', 'P07384')"
"('Q7Z4H7', 'Q9BT25')"
"('O14508', 'P40763')"
"('P10275', 'P63244')"
"('P01106', 'Q9NQH7')"
"('P30153', 'Q14738')"
"('Q15102', 'Q7L5N1')"
"('O94868', 'P35790')"
"('P30480', 'P20700')"
"('P38936', 'Q8WTW4')"
"('P29400', 'O00339')"
"('P60484', 'Q01094')"
"('P43694', 'Q9Y2Y9')"
"('P17181', 'O60674')"
"('Q96JB5', 'Q96RT7')"
"('P62873', 'Q5JWF2')"
"('Q969L4', 'P62308')"
"('P27986', 'P62993')"
"('P01857', 'Q9H974')"
"('Q13557', 'Q13469')"
"('Q09472', 'P25490')"
"('P20618', 'P55036')"
"('P56705', 'P56704')"
"('Q16543', 'Q9NRG4')"
"('Q15788', 'Q9H204')"
"('P32927', 'P07332')"
"('Q92633', 'Q9HAV0')"
"('P29692', 'O15264')"
"('Q12933', 'Q96GX9')"
"('P06576', 'P63104')"
"('406984', 'Q9P2R6')"
"('Q93062', 'Q14576')"
"('Q9Y6Q1', 'P21281')"
"('Q9HBM6', 'O94864')"
"('P52797', 'P29317')"
"('P08047', 'P18146')"
"('Q14192', 'Q12933')"
"('Q9H2F5', 'Q9Y265')"
"('P25445', 'O75340')"
