negatives
"('Q9UEU0', 'Q9UNK0')"
"('Q9Y6W6', 'Q14192')"
"('P04629', 'Q92896')"
"('Q9H944', 'Q9BTT4')"
"('P63313', 'O95817')"
"('Q5BJH7', 'Q9BSJ8')"
"('Q13011', 'Q4VC31')"
"('P46781', 'Q969P0')"
"('Q58FF7', 'Q14004')"
"('Q8N726', 'Q13287')"
"('Q96HA8', 'Q5T3J3')"
"('Q8ND90', 'Q53FD0')"
"('O95429', 'O00308')"
"('P49069', 'O00463')"
"('Q13546', 'Q9ULZ3')"
"('P10644', 'Q9NPI1')"
"('Q15323', 'Q01130')"
"('Q8IXL7', 'Q15654')"
"('Q9BYE7', 'P50990')"
"('Q96FS4', 'P38936')"
"('Q13099', 'Q96LJ8')"
"('Q01433', 'Q9UGJ1')"
"('O60939', 'O14787')"
"('Q9BT09', 'P18146')"
"('Q9UM11', 'Q86T82')"
