negatives
"('Q9H6U8', 'Q6NUS6')"
"('Q9Y4R8', 'Q9NWS0')"
"('Q96Q15', 'P62495')"
"('P15153', 'Q86VI3')"
"('Q96SB3', 'Q13972')"
"('Q13206', 'Q8TDD1')"
"('P05412', 'Q12931')"
"('P49736', 'Q15758')"
"('P08047', 'P10620')"
"('Q13362', 'Q9Y5P4')"
"('A6H8Z2', 'A8MQ03')"
"('P08754', 'P47736')"
"('P48058', 'Q12840')"
"('Q9Y230', 'Q15365')"
"('Q8NFJ9', 'Q6ZW61')"
"('Q12983', 'Q15382')"
"('P22004', 'P98066')"
"('Q13586', 'P01903')"
"('Q9Y623', 'Q9BSB4')"
"('Q9NQW6', 'Q8N4C6')"
"('Q04864', 'Q5T011')"
"('P60033', 'P23246')"
"('Q9UBS5', 'P54578')"
"('P60900', 'Q99460')"
"('Q13315', 'Q9Y6D5')"
"('Q9Y680', 'P06733')"
"('Q99832', 'Q8NHV4')"
"('P06241', 'O60716')"
"('P22695', 'P51991')"
"('Q5JQS5', 'P62873')"
"('Q96GD4', 'Q8WYJ6')"
"('O75530', 'Q9BZJ0')"
"('Q15006', 'Q96I25')"
"('O95232', 'Q13616')"
"('O43847', 'Q9Y6H1')"
"('Q9UBU6', 'O43462')"
"('Q9NZC7', 'Q7L2E3')"
"('P37837', 'O75191')"
"('Q9Y261', 'P20719')"
"('P03372', 'Q14686')"
"('O95425', 'P37231')"
"('Q9NRC8', 'Q9P1Y6')"
"('Q86YC2', 'Q9HCE1')"
"('Q9UK53', 'O75446')"
"('Q92558', 'O14530')"
"('Q8WXF1', 'P35637')"
"('P60228', 'P07498')"
"('Q96RT1', 'O60716')"
"('O75874', 'Q99623')"
"('Q6L8H1', 'Q07627')"
"('Q15654', 'Q9Y316')"
"('Q9NP58', 'P20036')"
"('Q9P0K7', 'P31946')"
"('Q9NRR6', 'P21359')"
"('Q8N357', 'Q96EI5')"
"('P35251', 'P54132')"
"('P60763', 'O14733')"
"('Q13480', 'Q96JZ2')"
"('A6NEM1', 'Q3KQV3')"
"('Q9Y6D9', 'P38432')"
"('Q9Y5U9', 'Q9HCE1')"
"('P51617', 'Q9H6S0')"
"('Q15811', 'P60981')"
"('Q9Y371', 'P35573')"
"('Q15796', 'P10070')"
"('P25105', 'Q05397')"
"('Q9NRD1', 'Q16543')"
"('P05455', 'Q8IZP0')"
"('Q96QZ7', 'Q9BST9')"
"('Q96B02', 'O94874')"
"('P23490', 'P08670')"
"('Q96RG2', 'P56545')"
"('Q401N2', 'Q9Y672')"
"('P06239', 'Q16539')"
"('Q96B26', 'Q9BUU2')"
"('P51991', 'P38159')"
"('Q9H2S9', 'P56524')"
"('Q9NPL8', 'Q8IUX1')"
"('Q9UKT9', 'P09917')"
"('Q14241', 'Q96DX5')"
"('Q9BUJ2', 'P35637')"
"('P60410', 'Q6IB77')"
"('P53350', 'P28070')"
"('P23396', 'Q12834')"
"('Q15910', 'Q07955')"
"('O43745', 'Q99750')"
"('P24941', 'Q9GZV4')"
"('O75530', 'Q00610')"
"('P63162', 'Q99963')"
"('Q15583', 'P05067')"
"('Q86VQ0', 'Q9BRX9')"
"('Q9BRJ2', 'Q9BYD6')"
"('P49736', 'P50402')"
"('P27448', 'P11309')"
"('Q8WW24', 'Q9GZU7')"
"('Q8NI60', 'Q969L2')"
"('O75746', 'P19838')"
"('Q14008', 'P12081')"
"('P04792', 'P78417')"
"('Q9H160', 'Q01167')"
"('P08670', 'P01730')"
"('Q66GS9', 'Q9NQC7')"
"('P05067', 'P48552')"
"('Q93034', 'Q01130')"
"('O60573', 'Q7Z6Z7')"
"('Q8TBB1', 'Q15631')"
"('Q9H3D4', 'P35637')"
"('P63220', 'P36508')"
